location_id,proxyMedian,transactions,affordabilityScore,affordabilityConfidence,oneBedCount,marketScore,stockScore,screenScore,priorityScore,confidenceComposite,unknowns,affordabilityReason
barnsley,100000,214,5,High,25,3,2.5,66.5,51,2.142857142857143,0,"Median of 214 achieved standard flat/maisonette sales; this is an all-size flat screening proxy, not a one-bedroom estimate."
birmingham,150000,3183,1,High,854,5,4.5,62.5,39,2.142857142857143,0,"Median of 3183 achieved standard flat/maisonette sales; this is an all-size flat screening proxy, not a one-bedroom estimate."
blackburn,110000,141,5,High,8,1,1,57,48,2,0,"Median of 141 achieved standard flat/maisonette sales; this is an all-size flat screening proxy, not a one-bedroom estimate."
blackpool,80000,297,5,High,77,4,3.5,58.5,42,2.142857142857143,0,"Median of 297 achieved standard flat/maisonette sales; this is an all-size flat screening proxy, not a one-bedroom estimate."
bolton,114000,493,3,High,64,3,2.5,60.588235294117645,45,2,1,"Median of 493 achieved standard flat/maisonette sales; this is an all-size flat screening proxy, not a one-bedroom estimate."
bradford,99000,453,5,High,76,4,3.5,61.5,45,2.142857142857143,0,"Median of 453 achieved standard flat/maisonette sales; this is an all-size flat screening proxy, not a one-bedroom estimate."
burnley,88625,98,5,Medium,5,1,1,57,48,1.8571428571428572,0,"Median of 98 achieved standard flat/maisonette sales; this is an all-size flat screening proxy, not a one-bedroom estimate."
burton-on-trent,104000,147,5,High,26,3,2.5,71.5,54,2,0,"Median of 147 achieved standard flat/maisonette sales; this is an all-size flat screening proxy, not a one-bedroom estimate."
cardiff,165000,1883,1,High,259,5,4.5,63.5,42,2.2857142857142856,0,"Median of 1883 achieved standard flat/maisonette sales; this is an all-size flat screening proxy, not a one-bedroom estimate."
chester,165000,570,1,High,43,3,2.5,72.5,57,2.142857142857143,0,"Median of 570 achieved standard flat/maisonette sales; this is an all-size flat screening proxy, not a one-bedroom estimate."
chesterfield,115500,204,3,High,14,2,1.5,65.5,51,2.142857142857143,0,"Median of 204 achieved standard flat/maisonette sales; this is an all-size flat screening proxy, not a one-bedroom estimate."
coventry,135000,830,3,High,88,4,3.5,65.5,45,2.142857142857143,0,"Median of 830 achieved standard flat/maisonette sales; this is an all-size flat screening proxy, not a one-bedroom estimate."
darlington,95000,220,5,High,23,2,1.5,64.5,54,2,0,"Median of 220 achieved standard flat/maisonette sales; this is an all-size flat screening proxy, not a one-bedroom estimate."
derby,125000,532,3,High,73,3,2.5,59.5,42,2,0,"Median of 532 achieved standard flat/maisonette sales; this is an all-size flat screening proxy, not a one-bedroom estimate."
doncaster,108000,281,5,High,25,3,2.5,65.5,48,2.142857142857143,0,"Median of 281 achieved standard flat/maisonette sales; this is an all-size flat screening proxy, not a one-bedroom estimate."
gateshead,101000,597,5,High,32,3,2.5,64.5,51,2,0,"Median of 597 achieved standard flat/maisonette sales; this is an all-size flat screening proxy, not a one-bedroom estimate."
gloucester,145000,681,1,High,74,3,2.5,65.5,48,2.142857142857143,0,"Median of 681 achieved standard flat/maisonette sales; this is an all-size flat screening proxy, not a one-bedroom estimate."
halifax,127500,216,3,High,34,3,2.5,64.5,51,2.142857142857143,0,"Median of 216 achieved standard flat/maisonette sales; this is an all-size flat screening proxy, not a one-bedroom estimate."
hartlepool,83014,106,5,High,16,2,1.5,56.5,48,2,0,"Median of 106 achieved standard flat/maisonette sales; this is an all-size flat screening proxy, not a one-bedroom estimate."
huddersfield,110000,288,5,High,33,3,2.5,70.5,57,2.142857142857143,0,"Median of 288 achieved standard flat/maisonette sales; this is an all-size flat screening proxy, not a one-bedroom estimate."
hull-kingston-upon-hull,95000,406,5,High,92,4,3.5,70.5,54,2,0,"Median of 406 achieved standard flat/maisonette sales; this is an all-size flat screening proxy, not a one-bedroom estimate."
ipswich,137000,545,1,High,117,4,3.5,63.5,45,2,0,"Median of 545 achieved standard flat/maisonette sales; this is an all-size flat screening proxy, not a one-bedroom estimate."
kettering,129475,210,3,High,15,2,1.5,62.5,48,2,0,"Median of 210 achieved standard flat/maisonette sales; this is an all-size flat screening proxy, not a one-bedroom estimate."
lancaster,130000,231,3,High,26,3,2.5,72.5,57,2.142857142857143,0,"Median of 231 achieved standard flat/maisonette sales; this is an all-size flat screening proxy, not a one-bedroom estimate."
leeds,155000,2152,1,High,453,5,4.5,63.5,42,2.2857142857142856,0,"Median of 2152 achieved standard flat/maisonette sales; this is an all-size flat screening proxy, not a one-bedroom estimate."
leicester,130000,803,3,High,190,4,3.5,59.5,39,2,0,"Median of 803 achieved standard flat/maisonette sales; this is an all-size flat screening proxy, not a one-bedroom estimate."
lincoln,118000,285,3,High,47,3,2.5,60.5,45,2.142857142857143,0,"Median of 285 achieved standard flat/maisonette sales; this is an all-size flat screening proxy, not a one-bedroom estimate."
liverpool,145000,2356,1,High,965,5,4.5,60.5,39,2.2857142857142856,0,"Median of 2356 achieved standard flat/maisonette sales; this is an all-size flat screening proxy, not a one-bedroom estimate."
loughborough,132000,206,3,High,17,2,1.5,65.5,51,2,0,"Median of 206 achieved standard flat/maisonette sales; this is an all-size flat screening proxy, not a one-bedroom estimate."
manchester,192500,4478,1,High,1372,5,4.5,67.6470588235294,45,2.142857142857143,1,"Median of 4478 achieved standard flat/maisonette sales; this is an all-size flat screening proxy, not a one-bedroom estimate."
merthyr-tydfil,66248,22,5,Low,3,1,1,61,54,1.7142857142857142,0,"Median of 22 achieved standard flat/maisonette sales; this is an all-size flat screening proxy, not a one-bedroom estimate."
middlesbrough,85000,183,5,High,14,2,1.5,55.5,45,2,0,"Median of 183 achieved standard flat/maisonette sales; this is an all-size flat screening proxy, not a one-bedroom estimate."
neath,91250,42,5,Medium,3,1,1,66,57,1.8571428571428572,0,"Median of 42 achieved standard flat/maisonette sales; this is an all-size flat screening proxy, not a one-bedroom estimate."
newcastle-upon-tyne,139950,1733,1,High,119,4,3.5,55.5,39,2.2857142857142856,0,"Median of 1733 achieved standard flat/maisonette sales; this is an all-size flat screening proxy, not a one-bedroom estimate."
newport,128000,541,3,High,31,3,2.5,56.5,39,2.142857142857143,0,"Median of 541 achieved standard flat/maisonette sales; this is an all-size flat screening proxy, not a one-bedroom estimate."
northampton,150000,717,1,High,104,4,3.5,53.5,33,2,0,"Median of 717 achieved standard flat/maisonette sales; this is an all-size flat screening proxy, not a one-bedroom estimate."
norwich,155000,1272,1,High,144,4,3.5,66.5,48,2.142857142857143,0,"Median of 1272 achieved standard flat/maisonette sales; this is an all-size flat screening proxy, not a one-bedroom estimate."
nottingham,140000,1524,1,High,225,5,4.5,62.5,39,2.2857142857142856,0,"Median of 1524 achieved standard flat/maisonette sales; this is an all-size flat screening proxy, not a one-bedroom estimate."
peterborough,129000,420,3,High,91,4,3.5,62.5,42,2,0,"Median of 420 achieved standard flat/maisonette sales; this is an all-size flat screening proxy, not a one-bedroom estimate."
plymouth,138500,1343,1,High,147,4,3.5,53.5,39,2.142857142857143,0,"Median of 1343 achieved standard flat/maisonette sales; this is an all-size flat screening proxy, not a one-bedroom estimate."
portsmouth,165000,541,1,High,177,4,3.5,57.5,39,2.142857142857143,0,"Median of 541 achieved standard flat/maisonette sales; this is an all-size flat screening proxy, not a one-bedroom estimate."
preston,104625,470,5,High,72,3,2.5,63.5,48,2,0,"Median of 470 achieved standard flat/maisonette sales; this is an all-size flat screening proxy, not a one-bedroom estimate."
rotherham,111625,260,3,High,19,2,1.5,57.5,45,2.142857142857143,0,"Median of 260 achieved standard flat/maisonette sales; this is an all-size flat screening proxy, not a one-bedroom estimate."
salford,190000,1850,1,High,513,5,4.5,64.11764705882354,41.25,1.8571428571428572,1,"Median of 1850 achieved standard flat/maisonette sales; this is an all-size flat screening proxy, not a one-bedroom estimate."
sheffield,140000,1707,1,High,257,5,4.5,63.5,42,2.2857142857142856,0,"Median of 1707 achieved standard flat/maisonette sales; this is an all-size flat screening proxy, not a one-bedroom estimate."
shrewsbury,157500,309,1,High,33,3,2.5,69.5,54,2.142857142857143,0,"Median of 309 achieved standard flat/maisonette sales; this is an all-size flat screening proxy, not a one-bedroom estimate."
