location_id,violenceSexualIndicator,asbIndicator,geography,score,confidence,reason
barnsley,2047,851,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,4,Medium,"Identical-radius centre proxy: 2047 violence/sexual-offence and 851 ASB records in 12 months; relative composite places it in screening band 4/5, but this is not a population-normalised town or neighbourhood rate."
birmingham,7628,985,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,2,Medium,"Identical-radius centre proxy: 7628 violence/sexual-offence and 985 ASB records in 12 months; relative composite places it in screening band 2/5, but this is not a population-normalised town or neighbourhood rate."
blackburn,2399,1597,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,3,Medium,"Identical-radius centre proxy: 2399 violence/sexual-offence and 1597 ASB records in 12 months; relative composite places it in screening band 3/5, but this is not a population-normalised town or neighbourhood rate."
blackpool,5053,2641,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,1,Medium,"Identical-radius centre proxy: 5053 violence/sexual-offence and 2641 ASB records in 12 months; relative composite places it in screening band 1/5, but this is not a population-normalised town or neighbourhood rate."
bolton,,,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,,Low,Unknown: Greater Manchester Police crime data are unavailable on Police.uk; sparse point-query returns are cross-force records and cannot support a comparable indicator.
bradford,5287,978,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,2,Medium,"Identical-radius centre proxy: 5287 violence/sexual-offence and 978 ASB records in 12 months; relative composite places it in screening band 2/5, but this is not a population-normalised town or neighbourhood rate."
burnley,2417,1565,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,3,Medium,"Identical-radius centre proxy: 2417 violence/sexual-offence and 1565 ASB records in 12 months; relative composite places it in screening band 3/5, but this is not a population-normalised town or neighbourhood rate."
burton-on-trent,1710,499,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,5,Medium,"Identical-radius centre proxy: 1710 violence/sexual-offence and 499 ASB records in 12 months; relative composite places it in screening band 5/5, but this is not a population-normalised town or neighbourhood rate."
cardiff,4514,1753,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,2,Medium,"Identical-radius centre proxy: 4514 violence/sexual-offence and 1753 ASB records in 12 months; relative composite places it in screening band 2/5, but this is not a population-normalised town or neighbourhood rate."
chester,1929,438,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,5,Medium,"Identical-radius centre proxy: 1929 violence/sexual-offence and 438 ASB records in 12 months; relative composite places it in screening band 5/5, but this is not a population-normalised town or neighbourhood rate."
chesterfield,1799,878,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,4,Medium,"Identical-radius centre proxy: 1799 violence/sexual-offence and 878 ASB records in 12 months; relative composite places it in screening band 4/5, but this is not a population-normalised town or neighbourhood rate."
coventry,4663,555,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,3,Medium,"Identical-radius centre proxy: 4663 violence/sexual-offence and 555 ASB records in 12 months; relative composite places it in screening band 3/5, but this is not a population-normalised town or neighbourhood rate."
darlington,2195,1576,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,3,Medium,"Identical-radius centre proxy: 2195 violence/sexual-offence and 1576 ASB records in 12 months; relative composite places it in screening band 3/5, but this is not a population-normalised town or neighbourhood rate."
derby,4711,1581,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,2,Medium,"Identical-radius centre proxy: 4711 violence/sexual-offence and 1581 ASB records in 12 months; relative composite places it in screening band 2/5, but this is not a population-normalised town or neighbourhood rate."
doncaster,3126,1193,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,3,Medium,"Identical-radius centre proxy: 3126 violence/sexual-offence and 1193 ASB records in 12 months; relative composite places it in screening band 3/5, but this is not a population-normalised town or neighbourhood rate."
gateshead,3208,2044,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,2,Medium,"Identical-radius centre proxy: 3208 violence/sexual-offence and 2044 ASB records in 12 months; relative composite places it in screening band 2/5, but this is not a population-normalised town or neighbourhood rate."
gloucester,1819,941,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,4,Medium,"Identical-radius centre proxy: 1819 violence/sexual-offence and 941 ASB records in 12 months; relative composite places it in screening band 4/5, but this is not a population-normalised town or neighbourhood rate."
halifax,2608,618,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,4,Medium,"Identical-radius centre proxy: 2608 violence/sexual-offence and 618 ASB records in 12 months; relative composite places it in screening band 4/5, but this is not a population-normalised town or neighbourhood rate."
hartlepool,2928,1192,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,3,Medium,"Identical-radius centre proxy: 2928 violence/sexual-offence and 1192 ASB records in 12 months; relative composite places it in screening band 3/5, but this is not a population-normalised town or neighbourhood rate."
huddersfield,2621,498,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,4,Medium,"Identical-radius centre proxy: 2621 violence/sexual-offence and 498 ASB records in 12 months; relative composite places it in screening band 4/5, but this is not a population-normalised town or neighbourhood rate."
hull-kingston-upon-hull,2361,405,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,4,Medium,"Identical-radius centre proxy: 2361 violence/sexual-offence and 405 ASB records in 12 months; relative composite places it in screening band 4/5, but this is not a population-normalised town or neighbourhood rate."
ipswich,2451,442,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,4,Medium,"Identical-radius centre proxy: 2451 violence/sexual-offence and 442 ASB records in 12 months; relative composite places it in screening band 4/5, but this is not a population-normalised town or neighbourhood rate."
kettering,1819,1216,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,4,Medium,"Identical-radius centre proxy: 1819 violence/sexual-offence and 1216 ASB records in 12 months; relative composite places it in screening band 4/5, but this is not a population-normalised town or neighbourhood rate."
lancaster,1646,1154,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,4,Medium,"Identical-radius centre proxy: 1646 violence/sexual-offence and 1154 ASB records in 12 months; relative composite places it in screening band 4/5, but this is not a population-normalised town or neighbourhood rate."
leeds,5009,1514,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,2,Medium,"Identical-radius centre proxy: 5009 violence/sexual-offence and 1514 ASB records in 12 months; relative composite places it in screening band 2/5, but this is not a population-normalised town or neighbourhood rate."
leicester,5784,2366,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,1,Medium,"Identical-radius centre proxy: 5784 violence/sexual-offence and 2366 ASB records in 12 months; relative composite places it in screening band 1/5, but this is not a population-normalised town or neighbourhood rate."
lincoln,2430,1967,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,2,Medium,"Identical-radius centre proxy: 2430 violence/sexual-offence and 1967 ASB records in 12 months; relative composite places it in screening band 2/5, but this is not a population-normalised town or neighbourhood rate."
liverpool,6195,1908,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,1,Medium,"Identical-radius centre proxy: 6195 violence/sexual-offence and 1908 ASB records in 12 months; relative composite places it in screening band 1/5, but this is not a population-normalised town or neighbourhood rate."
loughborough,1448,703,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,5,Medium,"Identical-radius centre proxy: 1448 violence/sexual-offence and 703 ASB records in 12 months; relative composite places it in screening band 5/5, but this is not a population-normalised town or neighbourhood rate."
manchester,,,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,,Low,Unknown: Greater Manchester Police crime data are unavailable on Police.uk; sparse point-query returns are cross-force records and cannot support a comparable indicator.
merthyr-tydfil,878,417,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,5,Medium,"Identical-radius centre proxy: 878 violence/sexual-offence and 417 ASB records in 12 months; relative composite places it in screening band 5/5, but this is not a population-normalised town or neighbourhood rate."
middlesbrough,3270,1498,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,2,Medium,"Identical-radius centre proxy: 3270 violence/sexual-offence and 1498 ASB records in 12 months; relative composite places it in screening band 2/5, but this is not a population-normalised town or neighbourhood rate."
neath,1009,319,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,5,Medium,"Identical-radius centre proxy: 1009 violence/sexual-offence and 319 ASB records in 12 months; relative composite places it in screening band 5/5, but this is not a population-normalised town or neighbourhood rate."
newcastle-upon-tyne,3596,2989,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,1,Medium,"Identical-radius centre proxy: 3596 violence/sexual-offence and 2989 ASB records in 12 months; relative composite places it in screening band 1/5, but this is not a population-normalised town or neighbourhood rate."
newport,3122,2020,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,2,Medium,"Identical-radius centre proxy: 3122 violence/sexual-offence and 2020 ASB records in 12 months; relative composite places it in screening band 2/5, but this is not a population-normalised town or neighbourhood rate."
northampton,3637,2665,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,1,Medium,"Identical-radius centre proxy: 3637 violence/sexual-offence and 2665 ASB records in 12 months; relative composite places it in screening band 1/5, but this is not a population-normalised town or neighbourhood rate."
norwich,3200,1530,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,2,Medium,"Identical-radius centre proxy: 3200 violence/sexual-offence and 1530 ASB records in 12 months; relative composite places it in screening band 2/5, but this is not a population-normalised town or neighbourhood rate."
nottingham,5448,3157,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,1,Medium,"Identical-radius centre proxy: 5448 violence/sexual-offence and 3157 ASB records in 12 months; relative composite places it in screening band 1/5, but this is not a population-normalised town or neighbourhood rate."
peterborough,3013,1510,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,2,Medium,"Identical-radius centre proxy: 3013 violence/sexual-offence and 1510 ASB records in 12 months; relative composite places it in screening band 2/5, but this is not a population-normalised town or neighbourhood rate."
