Location,Country,Local authority,Latitude,Longitude,Violence/sexual indicator,ASB indicator,Crime geography,Safety score,Safety confidence,Buy all-flat achieved median,Buy transactions,Buy confidence,Buy affordability score,Rent one-bed modelled average pcm,Rent confidence,Rent affordability score,One-bed buy count,One-bed rent count,Tower signal,Buy market score,Rent market score,Buy stock score,Rent stock score,Local transport score,Local transport confidence,London minutes,London changes,Birmingham minutes,Birmingham changes,National transport score,National confidence,Quiet score,Quiet confidence,Condition score,Condition confidence,Buy screen /100,Rent screen /100,Buy priority /75,Rent priority /75,Serious priority weaknesses,Buy confidence /3,Rent confidence /3,Buy unknowns,Rent unknowns,Buy rank,Rent rank,Shortlist,Qualified via
Barnsley,England,Barnsley,53.553523,-1.482593,2047,851,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,4,Medium,100000,214,High,5,505,Medium,5,25,21,Unclear,3,2,2.5,1.5,3,High,145,1,105,1,4,Medium,3,Medium,2,Low,66.5,63.5,51,51,0,2.142857142857143,2,0,0,10,32,Proposed,Buy
Birmingham,England,Birmingham,52.479284,-1.902941,7628,985,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,2,Medium,150000,3183,High,1,825,Medium,1,854,1257,Unclear,5,5,4.5,4.5,5,High,82,0,0,0,5,Medium,2,Medium,3,Low,62.5,62.5,39,39,0,2.142857142857143,2,0,0,38,39,Not proposed,
Blackburn,England,Blackburn with Darwen,53.750073,-2.481528,2399,1597,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,3,Medium,110000,141,High,5,534,Medium,5,8,2,Unclear,1,1,1,1,3,Medium,170,1,135,1,3,Medium,3,Medium,2,Low,57,57,48,48,0,2,1.8571428571428572,0,0,55,54,Not proposed,
Blackpool,England,Blackpool,53.82086,-3.051542,5053,2641,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,1,Medium,80000,297,High,5,498,Medium,5,77,75,Unclear,4,4,3.5,3.5,4,High,185,1,130,1,3,Medium,2,Medium,2,Low,58.5,58.5,42,42,1,2.142857142857143,2,0,0,51,52,Not proposed,
Bolton,England,Bolton,53.577709,-2.431041,,,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,,Low,114000,493,High,3,647,Medium,3,64,78,Unclear,3,4,2.5,3.5,4,High,155,1,110,1,4,Medium,3,Medium,2,Low,60.588235294117645,64.11764705882354,45,45,0,2,1.8571428571428572,1,1,43,30,Not proposed,
Bradford,England,Bradford,53.790778,-1.754561,5287,978,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,2,Medium,99000,453,High,5,553,Medium,5,76,91,Unclear,4,4,3.5,3.5,4,High,170,1,145,1,3,Medium,2,Medium,2,Low,61.5,61.5,45,45,0,2.142857142857143,2,0,0,40,43,Not proposed,
Burnley,England,Burnley,53.787517,-2.24439,2417,1565,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,3,Medium,88625,98,Medium,5,463,Medium,5,5,22,Unclear,1,2,1,1.5,3,Medium,190,2,155,2,3,Medium,3,Medium,2,Low,57,58.5,48,48,0,1.8571428571428572,1.8571428571428572,0,0,56,49,Not proposed,
Burton-on-Trent,England,East Staffordshire,52.807376,-1.644791,1710,499,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,5,Medium,104000,147,High,5,610,Medium,3,26,34,Unclear,3,3,2.5,2.5,3,Medium,95,1,30,0,5,Medium,2,Medium,3,Low,71.5,65.5,54,48,0,2,1.8571428571428572,0,0,4,22,Proposed,Buy
Cardiff,Wales,Cardiff,51.480005,-3.176855,4514,1753,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,2,Medium,165000,1883,High,1,902,Medium,1,259,468,Unclear,5,5,4.5,4.5,5,High,110,0,120,0,4,Medium,2,Medium,4,Medium,63.5,63.5,42,42,0,2.2857142857142856,2.142857142857143,0,0,30,35,Not proposed,
Chester,England,Cheshire West and Chester,53.190204,-2.891644,1929,438,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,5,Medium,165000,570,High,1,721,Medium,1,43,54,Unclear,3,3,2.5,2.5,4,Medium,125,0,75,0,4,Medium,4,Medium,5,Medium,72.5,72.5,57,57,0,2.142857142857143,2,0,0,1,3,Proposed,Both
Chesterfield,England,Chesterfield,53.23633,-1.429206,1799,878,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,4,Medium,115500,204,High,3,538,Medium,5,14,31,Unclear,2,3,1.5,2.5,3,Medium,115,0,65,0,5,Medium,3,Medium,4,Medium,65.5,74.5,51,57,0,2.142857142857143,2,0,0,15,2,Proposed,Rent
Coventry,England,Coventry,52.407707,-1.506857,4663,555,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,3,Medium,135000,830,High,3,759,Medium,1,88,184,Unclear,4,4,3.5,3.5,4,High,60,0,20,0,5,Medium,2,Medium,3,Low,65.5,59.5,45,39,0,2.142857142857143,2,0,0,21,48,Not proposed,
Darlington,England,Darlington,54.523274,-1.553611,2195,1576,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,3,Medium,95000,220,High,5,494,Medium,5,23,24,Unclear,2,2,1.5,1.5,4,Medium,135,0,145,1,3,Medium,3,Medium,3,Low,64.5,64.5,54,54,0,2,1.8571428571428572,0,0,22,28,Not proposed,
Derby,England,Derby,52.924693,-1.478054,4711,1581,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,2,Medium,125000,532,High,3,606,Medium,3,73,214,Unclear,3,5,2.5,4.5,4,Medium,90,0,35,0,5,Medium,2,Medium,3,Low,59.5,65.5,42,42,0,2,1.8571428571428572,0,0,46,27,Not proposed,
Doncaster,England,Doncaster,53.522723,-1.132352,3126,1193,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,3,Medium,108000,281,High,5,491,Medium,5,25,27,Unclear,3,3,2.5,2.5,4,High,100,0,95,0,5,Medium,2,Medium,2,Low,65.5,65.5,48,48,0,2.142857142857143,2,0,0,17,20,Not proposed,
Gateshead,England,Gateshead,54.959914,-1.604945,3208,2044,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,2,Medium,101000,597,High,5,587,Medium,3,32,27,Unclear,3,3,2.5,2.5,5,High,180,0,190,0,3,Low,2,Medium,3,Low,64.5,58.5,51,45,0,2,1.8571428571428572,0,0,25,50,Not proposed,
Gloucester,England,Gloucester,51.86455,-2.246934,1819,941,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,4,Medium,145000,681,High,1,743,Medium,1,74,65,Unclear,3,3,2.5,2.5,4,Medium,105,0,55,0,5,Medium,3,Medium,4,Medium,65.5,65.5,48,48,0,2.142857142857143,2,0,0,18,21,Not proposed,
Halifax,England,Calderdale,53.722827,-1.860176,2608,618,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,4,Medium,127500,216,High,3,546,Medium,5,34,49,Unclear,3,3,2.5,2.5,4,High,180,1,145,1,3,Medium,3,Medium,3,Low,64.5,70.5,51,57,0,2.142857142857143,2,0,0,24,5,Proposed,Rent
Hartlepool,England,Hartlepool,54.685388,-1.212911,2928,1192,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,3,Medium,83014,106,High,5,400,Medium,5,16,9,Unclear,2,1,1.5,1,3,Medium,195,1,195,1,2,Medium,3,Medium,2,Low,56.5,55,48,48,0,2,1.8571428571428572,0,0,57,59,Not proposed,
Huddersfield,England,Kirklees,53.644281,-1.782201,2621,498,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,4,Medium,110000,288,High,5,582,Medium,3,33,91,Unclear,3,4,2.5,3.5,4,High,175,1,135,1,3,Medium,3,Medium,3,Low,70.5,67.5,57,51,0,2.142857142857143,2,0,0,5,12,Proposed,Both
Hull (Kingston upon Hull),England,"Kingston upon Hull, City of",53.744587,-0.332576,2361,405,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,4,Medium,95000,406,High,5,498,Medium,5,92,128,Unclear,4,4,3.5,3.5,4,Medium,165,0,145,1,3,Medium,2,Medium,3,Low,70.5,70.5,54,54,0,2,1.8571428571428572,0,0,6,6,Proposed,Both
