Rank,Location,Screen score /100,All-flat achieved median,Affordability,Safety,Local transport,Condition,Quiet,Stock,National transport,Priority subtotal /75,Serious weaknesses,Confidence /3,Unknowns,Shortlist,Qualified via
1,Chester,72.5,165000,1,5,4,5,4,2.5,4,57,0,2.142857142857143,0,Proposed,Both
2,Lancaster,72.5,130000,3,4,4,4,4,2.5,4,57,0,2.142857142857143,0,Proposed,Both
3,Stafford,71.5,125000,3,5,3,4,4,1.5,5,57,0,2.142857142857143,0,Proposed,Both
4,Burton-on-Trent,71.5,104000,5,5,3,3,2,2.5,5,54,0,2,0,Proposed,Buy
5,Huddersfield,70.5,110000,5,4,4,3,3,2.5,3,57,0,2.142857142857143,0,Proposed,Both
6,Hull (Kingston upon Hull),70.5,95000,5,4,4,3,2,3.5,3,54,0,2,0,Proposed,Both
7,Shrewsbury,69.5,157500,1,5,3,5,4,2.5,4,54,0,2.142857142857143,0,Proposed,Both
8,Wigan,67.6470588235294,103750,5,0,4,3,3,1.5,4,56.25,0,2,1,Proposed,Both
9,Manchester,67.6470588235294,192500,1,0,5,4,2,4.5,4,45,0,2.142857142857143,1,Proposed,Both
10,Barnsley,66.5,100000,5,4,3,2,3,2.5,4,51,0,2.142857142857143,0,Proposed,Buy
11,Telford,66.5,113500,3,5,3,3,3,2.5,4,51,0,2.142857142857143,0,Proposed,Buy
12,Worcester,66.5,145500,1,4,3,5,4,2.5,4,51,0,2,0,Proposed,Buy
13,Norwich,66.5,155000,1,2,4,5,4,3.5,4,48,0,2.142857142857143,0,Not proposed,
14,Neath,66,91250,5,5,3,3,3,1,3,57,0,1.8571428571428572,0,Not proposed,
15,Chesterfield,65.5,115500,3,4,3,4,3,1.5,5,51,0,2.142857142857143,0,Proposed,Rent
16,Loughborough,65.5,132000,3,5,3,3,3,1.5,5,51,0,2,0,Not proposed,
17,Doncaster,65.5,108000,5,3,4,2,2,2.5,5,48,0,2.142857142857143,0,Not proposed,
18,Gloucester,65.5,145000,1,4,4,4,3,2.5,5,48,0,2.142857142857143,0,Not proposed,
19,Stoke-on-Trent,65.5,85000,5,3,4,2,2,2.5,5,48,0,2,0,Not proposed,
20,Warrington,65.5,123250,3,4,4,3,2,2.5,5,48,0,2,0,Not proposed,
21,Coventry,65.5,135000,3,3,4,3,2,3.5,5,45,0,2.142857142857143,0,Not proposed,
22,Darlington,64.5,95000,5,3,4,3,3,1.5,3,54,0,2,0,Not proposed,
23,Swansea,64.5,130000,3,3,4,4,3,2.5,3,51,0,2.2857142857142856,0,Not proposed,
24,Halifax,64.5,127500,3,4,4,3,3,2.5,3,51,0,2.142857142857143,0,Proposed,Rent
25,Gateshead,64.5,101000,5,2,5,3,2,2.5,3,51,0,2,0,Not proposed,
26,Salford,64.11764705882354,190000,1,0,5,3,2,4.5,4,41.25,0,1.8571428571428572,1,Not proposed,
27,Wakefield,63.5,116000,3,4,4,3,2,2.5,4,48,0,2.142857142857143,0,Proposed,Rent
28,Preston,63.5,104625,5,2,4,3,2,2.5,4,48,0,2,0,Not proposed,
29,Ipswich,63.5,137000,1,4,4,3,3,3.5,4,45,0,2,0,Not proposed,
30,Cardiff,63.5,165000,1,2,5,4,2,4.5,4,42,0,2.2857142857142856,0,Not proposed,
31,Leeds,63.5,155000,1,2,5,4,2,4.5,4,42,0,2.2857142857142856,0,Not proposed,
32,Sheffield,63.5,140000,1,1,5,4,3,4.5,4,42,1,2.2857142857142856,0,Proposed,Rent
33,Sunderland,62.5,79000,5,3,4,3,2,2.5,2,51,0,2,0,Not proposed,
34,Kettering,62.5,129475,3,4,3,3,3,1.5,5,48,0,2,0,Not proposed,
35,Walsall,62.5,119975,3,4,4,2,2,2.5,5,45,0,2.142857142857143,0,Not proposed,
36,Wolverhampton,62.5,117500,3,4,4,2,2,2.5,5,45,0,2.142857142857143,0,Not proposed,
37,Peterborough,62.5,129000,3,2,4,3,2,3.5,5,42,0,2,0,Not proposed,
38,Birmingham,62.5,150000,1,2,5,3,2,4.5,5,39,0,2.142857142857143,0,Not proposed,
39,Nottingham,62.5,140000,1,1,5,4,2,4.5,5,39,1,2.2857142857142856,0,Not proposed,
40,Bradford,61.5,99000,5,2,4,2,2,3.5,3,45,0,2.142857142857143,0,Not proposed,
41,Torbay,61.5,148000,1,3,3,4,4,3.5,3,45,0,2,0,Not proposed,
42,Merthyr Tydfil,61,66248,5,5,3,2,3,1,2,54,0,1.7142857142857142,0,Not proposed,
43,Bolton,60.588235294117645,114000,3,0,4,2,3,2.5,4,45,0,2,1,Not proposed,
44,Lincoln,60.5,118000,3,2,3,4,3,2.5,4,45,0,2.142857142857143,0,Not proposed,
45,Liverpool,60.5,145000,1,1,5,4,2,4.5,4,39,1,2.2857142857142856,0,Not proposed,
46,Derby,59.5,125000,3,2,4,3,2,2.5,5,42,0,2,0,Not proposed,
47,Leicester,59.5,130000,3,1,4,3,2,3.5,5,39,1,2,0,Not proposed,
48,St Helens,59,94000,5,4,3,2,2,1,4,48,0,2.142857142857143,0,Not proposed,
49,Wrexham,59,112500,3,4,3,3,3,1,4,48,0,2.142857142857143,0,Not proposed,
50,Stockton-on-Tees,58.5,78000,5,3,3,3,2,1.5,3,48,0,1.8571428571428572,0,Not proposed,
51,Blackpool,58.5,80000,5,1,4,2,2,3.5,3,42,1,2.142857142857143,0,Not proposed,
52,Rotherham,57.5,111625,3,4,4,2,2,1.5,4,45,0,2.142857142857143,0,Not proposed,
53,Portsmouth,57.5,165000,1,2,4,4,2,3.5,4,39,0,2.142857142857143,0,Not proposed,
54,Stockport,57.05882352941177,165000,1,0,4,4,2,2.5,4,41.25,0,2.142857142857143,1,Not proposed,
55,Blackburn,57,110000,5,3,3,2,3,1,3,48,0,2,0,Not proposed,
56,Burnley,57,88625,5,3,3,2,3,1,3,48,0,1.8571428571428572,0,Not proposed,
57,Hartlepool,56.5,83014,5,3,3,2,3,1.5,2,48,0,2,0,Not proposed,
58,Newport,56.5,128000,3,2,4,2,2,2.5,5,39,0,2.142857142857143,0,Not proposed,
59,Swindon,56.5,148500,1,2,4,3,2,3.5,5,36,0,2,0,Not proposed,
60,Middlesbrough,55.5,85000,5,2,4,2,2,1.5,3,45,0,2,0,Not proposed,
61,Newcastle upon Tyne,55.5,139950,1,1,5,4,2,3.5,3,39,1,2.2857142857142856,0,Not proposed,
62,Plymouth,53.5,138500,1,1,4,4,3,3.5,2,39,1,2.142857142857143,0,Not proposed,
63,Northampton,53.5,150000,1,1,4,3,2,3.5,5,33,1,2,0,Not proposed,
