Proposed Stage 2 shortlist — awaiting user approval,Proposed Stage 2 shortlist — awaiting user approval,Proposed Stage 2 shortlist — awaiting user approval,Proposed Stage 2 shortlist — awaiting user approval,Proposed Stage 2 shortlist — awaiting user approval,Proposed Stage 2 shortlist — awaiting user approval,Proposed Stage 2 shortlist — awaiting user approval,Proposed Stage 2 shortlist — awaiting user approval,Proposed Stage 2 shortlist — awaiting user approval,Proposed Stage 2 shortlist — awaiting user approval,Proposed Stage 2 shortlist — awaiting user approval,Proposed Stage 2 shortlist — awaiting user approval,Proposed Stage 2 shortlist — awaiting user approval,Proposed Stage 2 shortlist — awaiting user approval

Order,Location,Qualified via,Buy rank,Buy score,Rent rank,Rent score,Buy priority,Rent priority,Serious weaknesses,Buy confidence,Rent confidence,Status,Stage 3 started?
1,Shrewsbury,Both,7,69.5,1,75.5,54,60,0,2.14,2,Proposed — awaiting user approval,No
2,Chesterfield,Rent,15,65.5,2,74.5,51,57,0,2.14,2,Proposed — awaiting user approval,No
3,Chester,Both,1,72.5,3,72.5,57,57,0,2.14,2,Proposed — awaiting user approval,No
4,Lancaster,Both,2,72.5,9,68,57,57,0,2.14,2,Proposed — awaiting user approval,No
5,Stafford,Both,3,71.5,4,71.5,57,57,0,2.14,2,Proposed — awaiting user approval,No
6,Burton-on-Trent,Buy,4,71.5,22,65.5,54,48,0,2,1.86,Proposed — awaiting user approval,No
7,Halifax,Rent,24,64.5,5,70.5,51,57,0,2.14,2,Proposed — awaiting user approval,No
8,Huddersfield,Both,5,70.5,12,67.5,57,51,0,2.14,2,Proposed — awaiting user approval,No
9,Hull (Kingston upon Hull),Both,6,70.5,6,70.5,54,54,0,2,1.86,Proposed — awaiting user approval,No
10,Wakefield,Rent,27,63.5,7,69.5,48,54,0,2.14,2,Proposed — awaiting user approval,No
11,Sheffield,Rent,32,63.5,8,69.5,42,48,1,2.29,2.14,Proposed — awaiting user approval,No
12,Wigan,Both,8,67.6,10,67.6,56.3,56.3,0,2,1.86,Proposed — awaiting user approval,No
13,Manchester,Both,9,67.6,11,67.6,45,45,0,2.14,2,Proposed — awaiting user approval,No
14,Barnsley,Buy,10,66.5,32,63.5,51,51,0,2.14,2,Proposed — awaiting user approval,No
15,Telford,Buy,11,66.5,33,63.5,51,51,0,2.14,2,Proposed — awaiting user approval,No
16,Worcester,Buy,12,66.5,14,66.5,51,51,0,2,1.86,Proposed — awaiting user approval,No
