UK one-bedroom flat locations — Stages 0–2 broad screen,UK one-bedroom flat locations — Stages 0–2 broad screen,UK one-bedroom flat locations — Stages 0–2 broad screen,UK one-bedroom flat locations — Stages 0–2 broad screen,UK one-bedroom flat locations — Stages 0–2 broad screen,UK one-bedroom flat locations — Stages 0–2 broad screen,UK one-bedroom flat locations — Stages 0–2 broad screen,UK one-bedroom flat locations — Stages 0–2 broad screen

Status,Proposed shortlist only — Stage 3 has not begun,,,,,,
Locations screened,63,Buy ranking rows,63,Rent ranking rows,63,Shortlist,16
Buy proxy,24-month achieved all-flat median (not one-bedroom),,,Rent proxy,ONS one-bedroom modelled average (not a new-let asking median),,
Primary caution,All tower signals remain Unclear in the broad screen; recurring tower stock must be tested in Stage 3,,,,,,
How to use,"Review Proposed Shortlist, then Buy/ Rent Ranking, Broad Screen, Reasons & Sources, and Evidence Log",,,,,,
Approval gate,"Approve or revise the proposed 15–20 locations before any subarea, listing or tower-block research",,,,,,

Order,Location,Via,Buy rank,Buy score,Rent rank,Rent score,Status
1,Shrewsbury,Both,7,69.5,1,75.5,Awaiting approval
2,Chesterfield,Rent,15,65.5,2,74.5,Awaiting approval
3,Chester,Both,1,72.5,3,72.5,Awaiting approval
4,Lancaster,Both,2,72.5,9,68,Awaiting approval
5,Stafford,Both,3,71.5,4,71.5,Awaiting approval
6,Burton-on-Trent,Buy,4,71.5,22,65.5,Awaiting approval
7,Halifax,Rent,24,64.5,5,70.5,Awaiting approval
8,Huddersfield,Both,5,70.5,12,67.5,Awaiting approval
9,Hull (Kingston upon Hull),Both,6,70.5,6,70.5,Awaiting approval
10,Wakefield,Rent,27,63.5,7,69.5,Awaiting approval
11,Sheffield,Rent,32,63.5,8,69.5,Awaiting approval
12,Wigan,Both,8,67.6,10,67.6,Awaiting approval
13,Manchester,Both,9,67.6,11,67.6,Awaiting approval
14,Barnsley,Buy,10,66.5,32,63.5,Awaiting approval
15,Telford,Buy,11,66.5,33,63.5,Awaiting approval
16,Worcester,Buy,12,66.5,14,66.5,Awaiting approval
