csp_code,csp_name,month,asb_count,period_start,period_end,assignment
E22000001,Bath and North East Somerset,2025-04,209,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000001,Bath and North East Somerset,2025-05,199,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000001,Bath and North East Somerset,2025-06,242,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000001,Bath and North East Somerset,2025-07,265,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000001,Bath and North East Somerset,2025-08,259,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000001,Bath and North East Somerset,2025-09,196,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000001,Bath and North East Somerset,2025-10,208,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000001,Bath and North East Somerset,2025-11,208,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000001,Bath and North East Somerset,2025-12,217,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000001,Bath and North East Somerset,2026-01,153,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000001,Bath and North East Somerset,2026-02,193,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000001,Bath and North East Somerset,2026-03,234,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000002,"Bristol, City of",2025-04,811,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000002,"Bristol, City of",2025-05,962,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000002,"Bristol, City of",2025-06,1023,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000002,"Bristol, City of",2025-07,1114,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000002,"Bristol, City of",2025-08,1047,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000002,"Bristol, City of",2025-09,903,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000002,"Bristol, City of",2025-10,1000,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000002,"Bristol, City of",2025-11,775,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000002,"Bristol, City of",2025-12,779,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000002,"Bristol, City of",2026-01,796,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000002,"Bristol, City of",2026-02,824,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000002,"Bristol, City of",2026-03,973,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000003,North Somerset,2025-04,254,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000003,North Somerset,2025-05,266,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000003,North Somerset,2025-06,248,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000003,North Somerset,2025-07,266,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000003,North Somerset,2025-08,307,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000003,North Somerset,2025-09,220,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000003,North Somerset,2025-10,230,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000003,North Somerset,2025-11,199,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000003,North Somerset,2025-12,168,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000003,North Somerset,2026-01,156,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000003,North Somerset,2026-02,213,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000003,North Somerset,2026-03,219,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000006,South Gloucestershire,2025-04,241,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000006,South Gloucestershire,2025-05,302,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000006,South Gloucestershire,2025-06,317,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000006,South Gloucestershire,2025-07,326,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000006,South Gloucestershire,2025-08,322,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000006,South Gloucestershire,2025-09,242,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000006,South Gloucestershire,2025-10,268,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000006,South Gloucestershire,2025-11,291,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000006,South Gloucestershire,2025-12,204,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000006,South Gloucestershire,2026-01,201,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000006,South Gloucestershire,2026-02,243,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000006,South Gloucestershire,2026-03,243,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000009,Bedford,2025-04,238,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000009,Bedford,2025-05,259,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000009,Bedford,2025-06,293,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000009,Bedford,2025-07,312,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000009,Bedford,2025-08,293,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000009,Bedford,2025-09,228,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000009,Bedford,2025-10,185,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000009,Bedford,2025-11,191,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000009,Bedford,2025-12,168,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000009,Bedford,2026-01,180,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000009,Bedford,2026-02,184,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000009,Bedford,2026-03,268,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000010,Luton,2025-04,305,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000010,Luton,2025-05,276,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000010,Luton,2025-06,279,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000010,Luton,2025-07,335,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000010,Luton,2025-08,336,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000010,Luton,2025-09,248,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000010,Luton,2025-10,238,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000010,Luton,2025-11,227,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000010,Luton,2025-12,190,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000010,Luton,2026-01,209,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000010,Luton,2026-02,219,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000010,Luton,2026-03,281,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000013,Cambridge,2025-04,199,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000013,Cambridge,2025-05,245,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000013,Cambridge,2025-06,252,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000013,Cambridge,2025-07,269,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000013,Cambridge,2025-08,228,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000013,Cambridge,2025-09,186,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000013,Cambridge,2025-10,207,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000013,Cambridge,2025-11,131,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000013,Cambridge,2025-12,147,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000013,Cambridge,2026-01,171,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000013,Cambridge,2026-02,150,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000013,Cambridge,2026-03,215,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000014,East Cambridgeshire,2025-04,84,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000014,East Cambridgeshire,2025-05,83,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000014,East Cambridgeshire,2025-06,111,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000014,East Cambridgeshire,2025-07,72,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000014,East Cambridgeshire,2025-08,112,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000014,East Cambridgeshire,2025-09,79,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000014,East Cambridgeshire,2025-10,108,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000014,East Cambridgeshire,2025-11,67,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000014,East Cambridgeshire,2025-12,69,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000014,East Cambridgeshire,2026-01,80,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000014,East Cambridgeshire,2026-02,51,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000014,East Cambridgeshire,2026-03,94,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
E22000015,Fenland,2025-04,151,2025-04-01,2026-03-01,LSOA21 to single LAD25/CSP25 relationship
