force_name,month,asb_count
Avon and Somerset Constabulary,2025-04,2192
Avon and Somerset Constabulary,2025-05,2437
Avon and Somerset Constabulary,2025-06,2520
Avon and Somerset Constabulary,2025-07,2737
Avon and Somerset Constabulary,2025-08,2646
Avon and Somerset Constabulary,2025-09,2214
Avon and Somerset Constabulary,2025-10,2299
Avon and Somerset Constabulary,2025-11,2054
Avon and Somerset Constabulary,2025-12,1852
Avon and Somerset Constabulary,2026-01,1804
Avon and Somerset Constabulary,2026-02,2055
Avon and Somerset Constabulary,2026-03,2326
Bedfordshire Police,2025-04,887
Bedfordshire Police,2025-05,899
Bedfordshire Police,2025-06,962
Bedfordshire Police,2025-07,1089
Bedfordshire Police,2025-08,978
Bedfordshire Police,2025-09,762
Bedfordshire Police,2025-10,731
Bedfordshire Police,2025-11,680
Bedfordshire Police,2025-12,596
Bedfordshire Police,2026-01,643
Bedfordshire Police,2026-02,661
Bedfordshire Police,2026-03,836
Cambridgeshire Constabulary,2025-04,1275
Cambridgeshire Constabulary,2025-05,1382
Cambridgeshire Constabulary,2025-06,1538
Cambridgeshire Constabulary,2025-07,1453
Cambridgeshire Constabulary,2025-08,1389
Cambridgeshire Constabulary,2025-09,1131
Cambridgeshire Constabulary,2025-10,1103
Cambridgeshire Constabulary,2025-11,930
Cambridgeshire Constabulary,2025-12,1002
Cambridgeshire Constabulary,2026-01,1087
Cambridgeshire Constabulary,2026-02,956
Cambridgeshire Constabulary,2026-03,1217
Cheshire Constabulary,2025-04,740
Cheshire Constabulary,2025-05,658
Cheshire Constabulary,2025-06,686
Cheshire Constabulary,2025-07,767
Cheshire Constabulary,2025-08,765
Cheshire Constabulary,2025-09,597
Cheshire Constabulary,2025-10,704
Cheshire Constabulary,2025-11,498
Cheshire Constabulary,2025-12,365
Cheshire Constabulary,2026-01,471
Cheshire Constabulary,2026-02,504
Cheshire Constabulary,2026-03,634
City of London Police,2025-04,18
City of London Police,2025-05,9
City of London Police,2025-06,8
City of London Police,2025-07,10
City of London Police,2025-08,18
City of London Police,2025-09,15
City of London Police,2025-10,9
City of London Police,2025-11,8
City of London Police,2025-12,5
City of London Police,2026-01,9
City of London Police,2026-02,9
City of London Police,2026-03,25
Cleveland Police,2025-04,1703
Cleveland Police,2025-05,1749
Cleveland Police,2025-06,1672
Cleveland Police,2025-07,1668
Cleveland Police,2025-08,1773
Cleveland Police,2025-09,1442
Cleveland Police,2025-10,1585
Cleveland Police,2025-11,1185
Cleveland Police,2025-12,964
Cleveland Police,2026-01,1086
Cleveland Police,2026-02,1135
Cleveland Police,2026-03,1190
Cumbria Constabulary,2025-04,216
Cumbria Constabulary,2025-05,294
Cumbria Constabulary,2025-06,269
Cumbria Constabulary,2025-07,205
Cumbria Constabulary,2025-08,245
Cumbria Constabulary,2025-09,203
Cumbria Constabulary,2025-10,229
Cumbria Constabulary,2025-11,197
Cumbria Constabulary,2025-12,140
Cumbria Constabulary,2026-01,122
Cumbria Constabulary,2026-02,138
Cumbria Constabulary,2026-03,162
Derbyshire Constabulary,2025-04,1649
Derbyshire Constabulary,2025-05,1732
Derbyshire Constabulary,2025-06,1641
Derbyshire Constabulary,2025-07,1649
Derbyshire Constabulary,2025-08,1476
Derbyshire Constabulary,2025-09,1158
Derbyshire Constabulary,2025-10,1134
Derbyshire Constabulary,2025-11,976
Derbyshire Constabulary,2025-12,804
Derbyshire Constabulary,2026-01,863
Derbyshire Constabulary,2026-02,946
Derbyshire Constabulary,2026-03,1315
Devon & Cornwall Police,2025-04,2211
Devon & Cornwall Police,2025-05,2546
Devon & Cornwall Police,2025-06,2255
Devon & Cornwall Police,2025-07,2594
Devon & Cornwall Police,2025-08,2361
Devon & Cornwall Police,2025-09,1902
Devon & Cornwall Police,2025-10,1821
Devon & Cornwall Police,2025-11,1628
Devon & Cornwall Police,2025-12,1074
Devon & Cornwall Police,2026-01,953
Devon & Cornwall Police,2026-02,1051
Devon & Cornwall Police,2026-03,1301
Dorset Police,2025-04,1212
Dorset Police,2025-05,1364
Dorset Police,2025-06,1349
Dorset Police,2025-07,1723
Dorset Police,2025-08,1446
Dorset Police,2025-09,1069
Dorset Police,2025-10,1138
Dorset Police,2025-11,945
Dorset Police,2025-12,829
Dorset Police,2026-01,843
Dorset Police,2026-02,975
Dorset Police,2026-03,1212
Durham Constabulary,2025-04,1430
Durham Constabulary,2025-05,1432
Durham Constabulary,2025-06,1329
Durham Constabulary,2025-07,1490
Durham Constabulary,2025-08,1514
Durham Constabulary,2025-09,1257
Durham Constabulary,2025-10,1381
Durham Constabulary,2025-11,988
Durham Constabulary,2025-12,949
Durham Constabulary,2026-01,938
Durham Constabulary,2026-02,1087
Durham Constabulary,2026-03,1302
Dyfed-Powys Police,2025-04,429
Dyfed-Powys Police,2025-05,425
Dyfed-Powys Police,2025-06,368
Dyfed-Powys Police,2025-07,516
Dyfed-Powys Police,2025-08,413
Dyfed-Powys Police,2025-09,272
Dyfed-Powys Police,2025-10,362
Dyfed-Powys Police,2025-11,317
Dyfed-Powys Police,2025-12,217
Dyfed-Powys Police,2026-01,292
Dyfed-Powys Police,2026-02,262
Dyfed-Powys Police,2026-03,416
Essex Police,2025-04,1246
