metric,value,old_lad_code,new_lad_code,lsoa_code,csp_code
assigned_records,853367,,,,
unmapped_or_split_records,96558,,,,
lsoa_lookup_rows,35672,,,,
la_csp_rows,332,,,,
lad_code_translation,,E08000016,E08000038,,
lad_code_translation,,E08000019,E08000039,,
assigned_lsoa,7,,,E01000001,E22000180
assigned_lsoa,15,,,E01000002,E22000180
assigned_lsoa,17,,,E01000003,E22000180
assigned_lsoa,11,,,E01000005,E22000180
assigned_lsoa,29,,,E01000006,E22000186
assigned_lsoa,152,,,E01000007,E22000186
assigned_lsoa,66,,,E01000008,E22000186
assigned_lsoa,59,,,E01000009,E22000186
assigned_lsoa,14,,,E01000011,E22000186
assigned_lsoa,103,,,E01000012,E22000186
assigned_lsoa,25,,,E01000013,E22000186
assigned_lsoa,38,,,E01000014,E22000186
assigned_lsoa,29,,,E01000015,E22000186
assigned_lsoa,13,,,E01000016,E22000186
assigned_lsoa,8,,,E01000017,E22000186
assigned_lsoa,5,,,E01000018,E22000186
assigned_lsoa,8,,,E01000019,E22000186
assigned_lsoa,15,,,E01000020,E22000186
assigned_lsoa,28,,,E01000021,E22000186
assigned_lsoa,20,,,E01000022,E22000186
assigned_lsoa,23,,,E01000024,E22000186
assigned_lsoa,13,,,E01000025,E22000186
assigned_lsoa,82,,,E01000027,E22000186
assigned_lsoa,64,,,E01000028,E22000186
assigned_lsoa,52,,,E01000029,E22000186
assigned_lsoa,84,,,E01000030,E22000186
assigned_lsoa,30,,,E01000031,E22000186
assigned_lsoa,35,,,E01000032,E22000186
assigned_lsoa,42,,,E01000033,E22000186
assigned_lsoa,25,,,E01000034,E22000186
assigned_lsoa,37,,,E01000035,E22000186
assigned_lsoa,29,,,E01000036,E22000186
assigned_lsoa,5,,,E01000037,E22000186
assigned_lsoa,19,,,E01000038,E22000186
assigned_lsoa,32,,,E01000039,E22000186
assigned_lsoa,28,,,E01000040,E22000186
assigned_lsoa,18,,,E01000041,E22000186
assigned_lsoa,27,,,E01000042,E22000186
assigned_lsoa,27,,,E01000043,E22000186
assigned_lsoa,33,,,E01000044,E22000186
assigned_lsoa,60,,,E01000045,E22000186
assigned_lsoa,16,,,E01000046,E22000186
assigned_lsoa,9,,,E01000049,E22000186
assigned_lsoa,46,,,E01000050,E22000186
assigned_lsoa,42,,,E01000051,E22000186
assigned_lsoa,16,,,E01000052,E22000186
assigned_lsoa,8,,,E01000053,E22000186
assigned_lsoa,24,,,E01000054,E22000186
assigned_lsoa,23,,,E01000055,E22000186
assigned_lsoa,24,,,E01000056,E22000186
assigned_lsoa,8,,,E01000057,E22000186
assigned_lsoa,30,,,E01000058,E22000186
assigned_lsoa,28,,,E01000059,E22000186
assigned_lsoa,42,,,E01000060,E22000186
assigned_lsoa,58,,,E01000061,E22000186
assigned_lsoa,40,,,E01000062,E22000186
assigned_lsoa,17,,,E01000063,E22000186
assigned_lsoa,45,,,E01000064,E22000186
assigned_lsoa,50,,,E01000065,E22000186
assigned_lsoa,75,,,E01000066,E22000186
assigned_lsoa,24,,,E01000067,E22000186
assigned_lsoa,67,,,E01000068,E22000186
assigned_lsoa,25,,,E01000069,E22000186
assigned_lsoa,54,,,E01000070,E22000186
assigned_lsoa,36,,,E01000071,E22000186
assigned_lsoa,29,,,E01000072,E22000186
assigned_lsoa,17,,,E01000073,E22000186
assigned_lsoa,20,,,E01000074,E22000186
assigned_lsoa,21,,,E01000075,E22000186
assigned_lsoa,14,,,E01000076,E22000186
assigned_lsoa,16,,,E01000077,E22000186
assigned_lsoa,28,,,E01000078,E22000186
assigned_lsoa,27,,,E01000079,E22000186
assigned_lsoa,15,,,E01000080,E22000186
assigned_lsoa,10,,,E01000081,E22000186
assigned_lsoa,37,,,E01000082,E22000186
assigned_lsoa,18,,,E01000083,E22000186
assigned_lsoa,29,,,E01000084,E22000186
assigned_lsoa,27,,,E01000085,E22000186
assigned_lsoa,25,,,E01000086,E22000186
assigned_lsoa,78,,,E01000087,E22000186
assigned_lsoa,20,,,E01000088,E22000186
assigned_lsoa,5,,,E01000089,E22000186
assigned_lsoa,78,,,E01000090,E22000186
assigned_lsoa,24,,,E01000091,E22000186
assigned_lsoa,39,,,E01000093,E22000186
assigned_lsoa,50,,,E01000094,E22000186
assigned_lsoa,181,,,E01000095,E22000186
assigned_lsoa,51,,,E01000096,E22000186
assigned_lsoa,25,,,E01000097,E22000186
assigned_lsoa,20,,,E01000098,E22000186
assigned_lsoa,50,,,E01000099,E22000186
assigned_lsoa,20,,,E01000100,E22000186
assigned_lsoa,39,,,E01000101,E22000186
assigned_lsoa,29,,,E01000102,E22000186
assigned_lsoa,16,,,E01000103,E22000186
assigned_lsoa,31,,,E01000104,E22000186
assigned_lsoa,108,,,E01000105,E22000186
assigned_lsoa,68,,,E01000106,E22000186
assigned_lsoa,16,,,E01000107,E22000186
assigned_lsoa,39,,,E01000108,E22000186
assigned_lsoa,29,,,E01000110,E22000186
assigned_lsoa,36,,,E01000111,E22000186
assigned_lsoa,60,,,E01000112,E22000186
assigned_lsoa,20,,,E01000113,E22000186
assigned_lsoa,41,,,E01000114,E22000186
assigned_lsoa,14,,,E01000115,E22000187
assigned_lsoa,32,,,E01000116,E22000187
assigned_lsoa,20,,,E01000117,E22000187
assigned_lsoa,15,,,E01000118,E22000187
assigned_lsoa,11,,,E01000119,E22000187
assigned_lsoa,11,,,E01000120,E22000187
assigned_lsoa,48,,,E01000121,E22000187
assigned_lsoa,18,,,E01000122,E22000187
assigned_lsoa,31,,,E01000123,E22000187
assigned_lsoa,21,,,E01000124,E22000187
assigned_lsoa,45,,,E01000126,E22000187
assigned_lsoa,38,,,E01000127,E22000187
assigned_lsoa,64,,,E01000128,E22000187
assigned_lsoa,141,,,E01000129,E22000187
assigned_lsoa,18,,,E01000130,E22000187
assigned_lsoa,25,,,E01000131,E22000187
assigned_lsoa,5,,,E01000132,E22000187
assigned_lsoa,25,,,E01000133,E22000187
assigned_lsoa,16,,,E01000134,E22000187
assigned_lsoa,15,,,E01000135,E22000187
assigned_lsoa,37,,,E01000136,E22000187
assigned_lsoa,33,,,E01000137,E22000187
assigned_lsoa,60,,,E01000138,E22000187
assigned_lsoa,30,,,E01000139,E22000187
assigned_lsoa,45,,,E01000140,E22000187
assigned_lsoa,68,,,E01000141,E22000187
assigned_lsoa,47,,,E01000142,E22000187
assigned_lsoa,38,,,E01000143,E22000187
assigned_lsoa,124,,,E01000144,E22000187
assigned_lsoa,68,,,E01000145,E22000187
assigned_lsoa,76,,,E01000146,E22000187
assigned_lsoa,47,,,E01000147,E22000187
assigned_lsoa,29,,,E01000150,E22000187
assigned_lsoa,53,,,E01000151,E22000187
assigned_lsoa,27,,,E01000152,E22000187
assigned_lsoa,49,,,E01000153,E22000187
assigned_lsoa,54,,,E01000154,E22000187
assigned_lsoa,16,,,E01000156,E22000187
assigned_lsoa,19,,,E01000157,E22000187
assigned_lsoa,28,,,E01000158,E22000187
assigned_lsoa,18,,,E01000159,E22000187
