id,name,country,localAuthority,lat,lon,buy.proxyMedian,buy.transactions,buy.housingCostConfidence,buy.oneBedCount,buy.housingCostReason,rent.proxyMonthly,rent.housingCostConfidence,rent.oneBedCount,rent.housingCostReason,market.reason,localTransport.pt_connectivity_0_100,localTransport.national_percentile,localTransport.score,localTransport.source_period,localTransport.retrieval_date,localTransport.evidence_id,localTransport.geography_code,localTransport.geography_vintage,localTransport.population_covered,localTransport.population_expected,localTransport.method_version,localTransport.confidence,localTransport.reason,nationalTransport.londonMinutes,nationalTransport.londonChanges,nationalTransport.birminghamMinutes,nationalTransport.birminghamChanges,nationalTransport.confidence,nationalTransport.reason,residentialEnvironment.air_burden,residentialEnvironment.no2_ug_m3,residentialEnvironment.pm25_ug_m3,residentialEnvironment.pm10_ug_m3,residentialEnvironment.noise_exposed_pct,residentialEnvironment.green_within_300m_pct,residentialEnvironment.green_area_within_1000m_m2,residentialEnvironment.epc_sap_mean,residentialEnvironment.air_percentile,residentialEnvironment.quiet_percentile,residentialEnvironment.green_percentile,residentialEnvironment.housing_environment_percentile,residentialEnvironment.environment_index_0_100,residentialEnvironment.national_percentile,residentialEnvironment.score,residentialEnvironment.air_period,residentialEnvironment.quiet_period,residentialEnvironment.green_period,residentialEnvironment.housing_environment_period,residentialEnvironment.air_evidence_id,residentialEnvironment.quiet_evidence_id,residentialEnvironment.green_evidence_id,residentialEnvironment.housing_environment_evidence_id,residentialEnvironment.geography_code,residentialEnvironment.geography_vintage,residentialEnvironment.air_population_covered,residentialEnvironment.quiet_population_covered,residentialEnvironment.green_population_covered,residentialEnvironment.housing_environment_population_covered,residentialEnvironment.population_expected,residentialEnvironment.method_version,residentialEnvironment.confidence,residentialEnvironment.reason,composite.safety,composite.buy.score,composite.buy.band,composite.buy.safety,composite.buy.local_transport,composite.buy.residential_environment,composite.buy.national_transport,composite.buy.housing_cost,composite.buy.stock,composite.rent.score,composite.rent.band,composite.rent.safety,composite.rent.local_transport,composite.rent.residential_environment,composite.rent.national_transport,composite.rent.housing_cost,composite.rent.stock
barnsley,Barnsley,England,Barnsley,53.553523,-1.482593,100000,214,High,25,"Median of 214 achieved standard flat/maisonette sales; this is an all-size flat proxy, not a one-bedroom estimate.",505,Medium,21,Official one-bedroom modelled average for Barnsley LA; underlying observation count is not published in the table.,"Rightmove's filtered snapshot returned 25 sale and 21 rental results; these are Rightmove headline counts, not deduplicated properties, and the query does not verify tower stock.",70.1967,56.3,3,Q4 2024 transport and destination data; 2023 provisional BRES employment data,2026-09-09,TR-LOCAL-DFT-2025,E63008268,April 2024,71394,71394,dft-connectivity-bua24-v1,High,Population-weighted mean across Barnsley; Reviewed official BUA name corresponds directly to the broad screen location.,155,2,104,1,Medium,"Reviewed National Rail Journey Planner station-to-station observation for 2026-09-11. Shortest returned public-transport itinerary departing 10:00–14:00; not a guaranteed, door-to-door, fare or accessibility measure.",1.0578,9.524,7.22,11.654,34.505,80.991,301778.99,65.659,44.928,50.574,86.787,50.782,58.268,69.015,4,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,E63008268,April 2024,71394,71394,71394,71394,71394,residential-environment-bua24-v3-country-calibrated,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, green space uses current OA origins and the union of eligible OS Open Greenspace polygons, and quiet and housing use population-weighted within-country percentile calibration.",3.5,72.4,high,3.5,3,4,3.0,5,3,68.8,high,3.5,3,4,3.0,5,2
birmingham,Birmingham,England,Birmingham,52.479284,-1.902941,150000,3183,High,854,"Median of 3183 achieved standard flat/maisonette sales; this is an all-size flat proxy, not a one-bedroom estimate.",825,Medium,1257,Official one-bedroom modelled average for Birmingham LA; underlying observation count is not published in the table.,"Rightmove's filtered snapshot returned 854 sale and 1257 rental results; these are Rightmove headline counts, not deduplicated properties, and the query does not verify tower stock.",78.2825,77.5,4,Q4 2024 transport and destination data; 2023 provisional BRES employment data,2026-09-09,TR-LOCAL-DFT-2025,E63010038,April 2024,1119786,1119786,dft-connectivity-bua24-v1,High,Population-weighted mean across Birmingham; Reviewed official BUA name corresponds directly to the broad screen location.,79,0,0,0,Medium,"Reviewed National Rail Journey Planner station-to-station observation for 2026-09-11. Shortest returned public-transport itinerary departing 10:00–14:00; not a guaranteed, door-to-door, fare or accessibility measure.",1.2895,14.575,7.89,12.493,38.139,65.533,264277.58,63.173,18.864,35.875,57.068,12.463,31.067,10.732,1,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,E63010038,April 2024,1119786,1119786,1119786,1119786,1119786,residential-environment-bua24-v3-country-calibrated,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, green space uses current OA origins and the union of eligible OS Open Greenspace polygons, and quiet and housing use population-weighted within-country percentile calibration.",1.0,56.5,low,1.0,4,1,4.5,2,5,56.5,low,1.0,4,1,4.5,2,5
blackburn,Blackburn,England,Blackburn with Darwen,53.750073,-2.481528,110000,141,High,8,"Median of 141 achieved standard flat/maisonette sales; this is an all-size flat proxy, not a one-bedroom estimate.",534,Medium,2,Official one-bedroom modelled average for Blackburn with Darwen LA; underlying observation count is not published in the table and the LA is broader than the named town.,"Rightmove's filtered snapshot returned 8 sale and 2 rental results; these are Rightmove headline counts, not deduplicated properties, and the query does not verify tower stock.",70.4066,56.9,3,Q4 2024 transport and destination data; 2023 provisional BRES employment data,2026-09-09,TR-LOCAL-DFT-2025,E63007969,April 2024,124958,124958,dft-connectivity-bua24-v1,High,Population-weighted mean across Blackburn (Blackburn with Darwen); Reviewed official BUA name corresponds to the screen location Blackburn.,170,1,149,1,Medium,"Reviewed National Rail Journey Planner station-to-station observation for 2026-09-11. Shortest returned public-transport itinerary departing 10:00–14:00; not a guaranteed, door-to-door, fare or accessibility measure.",0.916,8.363,6.308,9.753,35.677,55.8,174226.15,63.687,71.879,45.751,28.573,17.541,40.936,29.336,2,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,E63007969,April 2024,124958,124958,124958,124958,124958,residential-environment-bua24-v3-country-calibrated,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, green space uses current OA origins and the union of eligible OS Open Greenspace polygons, and quiet and housing use population-weighted within-country percentile calibration.",4.0,55.3,low,4.0,3,2,2.5,4,1,58.8,low,4.0,3,2,2.5,5,1
blackpool,Blackpool,England,Blackpool,53.82086,-3.051542,80000,297,High,77,"Median of 297 achieved standard flat/maisonette sales; this is an all-size flat proxy, not a one-bedroom estimate.",498,Medium,75,Official one-bedroom modelled average for Blackpool LA; underlying observation count is not published in the table.,"Rightmove's filtered snapshot returned 77 sale and 75 rental results; these are Rightmove headline counts, not deduplicated properties, and the query does not verify tower stock.",71.0089,58.6,3,Q4 2024 transport and destination data; 2023 provisional BRES employment data,2026-09-09,TR-LOCAL-DFT-2025,E63007890,April 2024,149087,149087,dft-connectivity-bua24-v1,High,Population-weighted mean across Blackpool; Reviewed official BUA name corresponds directly to the broad screen location.,167,1,161,1,Medium,"Reviewed National Rail Journey Planner station-to-station observation for 2026-09-11. Shortest returned public-transport itinerary departing 10:00–14:00; not a guaranteed, door-to-door, fare or accessibility measure.",0.7489,6.276,5.386,8.128,30.803,59.307,144534.93,61.939,91.048,68.957,26.722,6.31,48.259,48.1,3,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,E63007890,April 2024,149087,149087,149087,149087,149087,residential-environment-bua24-v3-country-calibrated,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, green space uses current OA origins and the union of eligible OS Open Greenspace polygons, and quiet and housing use population-weighted within-country percentile calibration.",1.0,61.2,mid,1.0,3,3,2.0,5,4,61.2,mid,1.0,3,3,2.0,5,4
bolton,Bolton,England,Bolton,53.577709,-2.431041,114000,493,High,64,"Median of 493 achieved standard flat/maisonette sales; this is an all-size flat proxy, not a one-bedroom estimate.",647,Medium,78,Official one-bedroom modelled average for Bolton LA; underlying observation count is not published in the table.,"Rightmove's filtered snapshot returned 64 sale and 78 rental results; these are Rightmove headline counts, not deduplicated properties, and the query does not verify tower stock.",73.7334,66.3,4,Q4 2024 transport and destination data; 2023 provisional BRES employment data,2026-09-09,TR-LOCAL-DFT-2025,E63008201,April 2024,184618,184618,dft-connectivity-bua24-v1,High,Population-weighted mean across Bolton (Bolton); Reviewed official BUA name corresponds to the screen location Bolton.,160,2,123,1,Medium,"Reviewed National Rail Journey Planner station-to-station observation for 2026-09-11. Shortest returned public-transport itinerary departing 10:00–14:00; not a guaranteed, door-to-door, fare or accessibility measure.",1.0831,11.504,6.882,10.835,37.599,73.558,230517.01,64.642,40.599,37.578,62.84,29.994,42.753,33.742,2,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,E63008201,April 2024,184618,184618,184618,184618,184618,residential-environment-bua24-v3-country-calibrated,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, green space uses current OA origins and the union of eligible OS Open Greenspace polygons, and quiet and housing use population-weighted within-country percentile calibration.",2.5,60.6,mid,2.5,4,2,2.5,4,3,60.6,low,2.5,4,2,2.5,3,4
bradford,Bradford,England,Bradford,53.790778,-1.754561,99000,453,High,76,"Median of 453 achieved standard flat/maisonette sales; this is an all-size flat proxy, not a one-bedroom estimate.",553,Medium,91,Official one-bedroom modelled average for Bradford LA; underlying observation count is not published in the table.,"Rightmove's filtered snapshot returned 76 sale and 91 rental results; these are Rightmove headline counts, not deduplicated properties, and the query does not verify tower stock.",74.4904,68.3,4,Q4 2024 transport and destination data; 2023 provisional BRES employment data,2026-09-09,TR-LOCAL-DFT-2025,E63007920,April 2024,333968,333968,dft-connectivity-bua24-v1,High,Population-weighted mean across Bradford; Reviewed official BUA name corresponds directly to the broad screen location.,165,1,153,1,Medium,"Reviewed National Rail Journey Planner station-to-station observation for 2026-09-11. Shortest returned public-transport itinerary departing 10:00–14:00; not a guaranteed, door-to-door, fare or accessibility measure.",1.1775,13.017,7.378,11.328,33.365,77.237,187716.4,61.34,27.535,57.234,62.205,4.569,37.886,21.383,2,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,E63007920,April 2024,333968,333968,333968,333968,333968,residential-environment-bua24-v3-country-calibrated,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, green space uses current OA origins and the union of eligible OS Open Greenspace polygons, and quiet and housing use population-weighted within-country percentile calibration.",1.5,62.9,mid,1.5,4,2,2.0,5,4,59.4,low,1.5,4,2,2.0,4,4
burnley,Burnley,England,Burnley,53.787517,-2.24439,88625,98,Medium,5,"Median of 98 achieved standard flat/maisonette sales; this is an all-size flat proxy, not a one-bedroom estimate.",463,Medium,22,Official one-bedroom modelled average for Burnley LA; underlying observation count is not published in the table.,"Rightmove's filtered snapshot returned 5 sale and 22 rental results; these are Rightmove headline counts, not deduplicated properties, and the query does not verify tower stock.",67.933,49.7,3,Q4 2024 transport and destination data; 2023 provisional BRES employment data,2026-09-09,TR-LOCAL-DFT-2025,E63007907,April 2024,78266,78266,dft-connectivity-bua24-v1,High,Population-weighted mean across Burnley; Reviewed official BUA name corresponds directly to the broad screen location.,189,1,174,2,Medium,"Reviewed National Rail Journey Planner station-to-station observation for 2026-09-11. Shortest returned public-transport itinerary departing 10:00–14:00; not a guaranteed, door-to-door, fare or accessibility measure.",0.9059,8.178,6.308,9.576,50.552,82.758,281881.99,62.37,73.605,10.256,85.662,7.529,44.263,37.494,2,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,E63007907,April 2024,78266,78266,78266,78266,78266,residential-environment-bua24-v3-country-calibrated,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, green space uses current OA origins and the union of eligible OS Open Greenspace polygons, and quiet and housing use population-weighted within-country percentile calibration.",2.0,50.6,low,2.0,3,2,2.0,5,1,54.1,low,2.0,3,2,2.0,5,2
burton-on-trent,Burton-on-Trent,England,East Staffordshire,52.807376,-1.644791,104000,147,High,26,"Median of 147 achieved standard flat/maisonette sales; this is an all-size flat proxy, not a one-bedroom estimate.",610,Medium,34,Official one-bedroom modelled average for East Staffordshire LA; underlying observation count is not published in the table and the LA is broader than the named town.,"Rightmove's filtered snapshot returned 26 sale and 34 rental results; these are Rightmove headline counts, not deduplicated properties, and the query does not verify tower stock.",65.8031,43.7,3,Q4 2024 transport and destination data; 2023 provisional BRES employment data,2026-09-09,TR-LOCAL-DFT-2025,E63009360,April 2024,76031,76031,dft-connectivity-bua24-v1,High,Population-weighted mean across Burton upon Trent; Reviewed official BUA name corresponds to the screen location Burton-on-Trent.,98,1,24,0,Medium,"Reviewed National Rail Journey Planner station-to-station observation for 2026-09-11. Shortest returned public-transport itinerary departing 10:00–14:00; not a guaranteed, door-to-door, fare or accessibility measure.",1.0008,8.795,6.828,11.358,38.968,63.282,113405.26,65.119,57.745,31.492,27.063,38.114,38.604,23.285,2,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,E63009360,April 2024,76031,76031,76031,76031,76031,residential-environment-bua24-v3-country-calibrated,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, green space uses current OA origins and the union of eligible OS Open Greenspace polygons, and quiet and housing use population-weighted within-country percentile calibration.",5.0,70.6,high,5.0,3,2,4.5,4,3,67.1,high,5.0,3,2,4.5,3,3
cardiff,Cardiff,Wales,Cardiff,51.480005,-3.176855,165000,1883,High,259,"Median of 1883 achieved standard flat/maisonette sales; this is an all-size flat proxy, not a one-bedroom estimate.",902,Medium,468,Official one-bedroom modelled average for Cardiff LA; underlying observation count is not published in the table.,"Rightmove's filtered snapshot returned 259 sale and 468 rental results; these are Rightmove headline counts, not deduplicated properties, and the query does not verify tower stock.",72.6614,63.3,4,Q4 2024 transport and destination data; 2023 provisional BRES employment data,2026-09-09,TR-LOCAL-DFT-2025,W45001208,April 2024,347880,347880,dft-connectivity-bua24-v1,High,Population-weighted mean across Cardiff; Reviewed official BUA name corresponds directly to the broad screen location.,112,0,120,0,Medium,"Reviewed National Rail Journey Planner station-to-station observation for 2026-09-11. Shortest returned public-transport itinerary departing 10:00–14:00; not a guaranteed, door-to-door, fare or accessibility measure.",1.0191,12.235,5.933,9.709,35.42,75.119,250527.6,66.559,55.224,51.333,70.968,78.187,63.928,82.373,5,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,W45001208,April 2024,347880,347880,347880,347880,347880,residential-environment-bua24-v3-country-calibrated,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, green space uses current OA origins and the union of eligible OS Open Greenspace polygons, and quiet and housing use population-weighted within-country percentile calibration.",4.5,81.8,high,4.5,4,5,4.0,2,5,78.2,high,4.5,4,5,4.0,1,5
chester,Chester,England,Cheshire West and Chester,53.190204,-2.891644,165000,570,High,43,"Median of 570 achieved standard flat/maisonette sales; this is an all-size flat proxy, not a one-bedroom estimate.",721,Medium,54,Official one-bedroom modelled average for Cheshire West and Chester LA; underlying observation count is not published in the table and the LA is broader than the named town.,"Rightmove's filtered snapshot returned 43 sale and 54 rental results; these are Rightmove headline counts, not deduplicated properties, and the query does not verify tower stock.",69.1913,53.3,3,Q4 2024 transport and destination data; 2023 provisional BRES employment data,2026-09-09,TR-LOCAL-DFT-2025,K08000011,April 2024,92756,92756,dft-connectivity-bua24-v1,High,Population-weighted mean across Chester; Reviewed official BUA name corresponds directly to the broad screen location.,123,0,85,1,Medium,"Reviewed National Rail Journey Planner station-to-station observation for 2026-09-11. Shortest returned public-transport itinerary departing 10:00–14:00; not a guaranteed, door-to-door, fare or accessibility measure.",0.8986,8.292,6.07,9.789,39.117,74.245,120403.47,66.619,74.683,31.192,47.629,70.231,55.934,64.959,4,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,K08000011,April 2024,92756,92756,92756,92756,92756,residential-environment-bua24-v3-country-calibrated,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, green space uses current OA origins and the union of eligible OS Open Greenspace polygons, and quiet and housing use population-weighted within-country percentile calibration.",4.5,66.5,mid,4.5,3,4,3.5,2,3,66.5,mid,4.5,3,4,3.5,2,3
