location_id,canonical_la_code,canonical_csp_code,canonical_csp_name,lookup_date,pair_match,lookup_member_la_codes,lookup_member_la_names,lookup_force_codes,includes_split_la,review_reason,boundary_compatibility,lsoa_to_csp_ready,source_url,retrieved_at,source_sha256,metadata_url,metadata_retrieved_at,metadata_sha256
barnsley,E08000038,E22000259,Barnsley,2025-04-01,yes,E08000038,Barnsley,E23000011,no,Codes agree; boundary footprint and LSOA membership still unverified,Unverified,no,https://services1.arcgis.com/ESMARspQHYMw9BZ9/arcgis/rest/services/LAD25_CSP25_PFA25_EW_LU/FeatureServer/0/query?where=1%3D1&outFields=*&returnGeometry=false&f=json,2026-09-05T16:12:38.925293+00:00,91b2f04797e3f9aa6d3c3c772e5474326219e2288462628fb554235f83b7d4cf,https://www.arcgis.com/sharing/rest/content/items/8f77bda25c124e43aca5f3b90494e405?f=json,2026-09-05T16:12:38.429874+00:00,b19220190c40bdeca097f2d963149b6c0494e7065a235a9428bd0ec9a1cd16db
birmingham,E08000025,E22000335,Birmingham,2025-04-01,yes,E08000025,Birmingham,E23000014,no,Codes agree; boundary footprint and LSOA membership still unverified,Unverified,no,https://services1.arcgis.com/ESMARspQHYMw9BZ9/arcgis/rest/services/LAD25_CSP25_PFA25_EW_LU/FeatureServer/0/query?where=1%3D1&outFields=*&returnGeometry=false&f=json,2026-09-05T16:12:38.925293+00:00,91b2f04797e3f9aa6d3c3c772e5474326219e2288462628fb554235f83b7d4cf,https://www.arcgis.com/sharing/rest/content/items/8f77bda25c124e43aca5f3b90494e405?f=json,2026-09-05T16:12:38.429874+00:00,b19220190c40bdeca097f2d963149b6c0494e7065a235a9428bd0ec9a1cd16db
blackburn,E06000008,E22000150,Blackburn with Darwen,2025-04-01,yes,E06000008,Blackburn with Darwen,E23000003,no,Codes agree; boundary footprint and LSOA membership still unverified,Unverified,no,https://services1.arcgis.com/ESMARspQHYMw9BZ9/arcgis/rest/services/LAD25_CSP25_PFA25_EW_LU/FeatureServer/0/query?where=1%3D1&outFields=*&returnGeometry=false&f=json,2026-09-05T16:12:38.925293+00:00,91b2f04797e3f9aa6d3c3c772e5474326219e2288462628fb554235f83b7d4cf,https://www.arcgis.com/sharing/rest/content/items/8f77bda25c124e43aca5f3b90494e405?f=json,2026-09-05T16:12:38.429874+00:00,b19220190c40bdeca097f2d963149b6c0494e7065a235a9428bd0ec9a1cd16db
blackpool,E06000009,E22000151,Blackpool,2025-04-01,yes,E06000009,Blackpool,E23000003,no,Codes agree; boundary footprint and LSOA membership still unverified,Unverified,no,https://services1.arcgis.com/ESMARspQHYMw9BZ9/arcgis/rest/services/LAD25_CSP25_PFA25_EW_LU/FeatureServer/0/query?where=1%3D1&outFields=*&returnGeometry=false&f=json,2026-09-05T16:12:38.925293+00:00,91b2f04797e3f9aa6d3c3c772e5474326219e2288462628fb554235f83b7d4cf,https://www.arcgis.com/sharing/rest/content/items/8f77bda25c124e43aca5f3b90494e405?f=json,2026-09-05T16:12:38.429874+00:00,b19220190c40bdeca097f2d963149b6c0494e7065a235a9428bd0ec9a1cd16db
bolton,E08000001,E22000099,Bolton,2025-04-01,yes,E08000001,Bolton,E23000005,no,Codes agree; boundary footprint and LSOA membership still unverified,Unverified,no,https://services1.arcgis.com/ESMARspQHYMw9BZ9/arcgis/rest/services/LAD25_CSP25_PFA25_EW_LU/FeatureServer/0/query?where=1%3D1&outFields=*&returnGeometry=false&f=json,2026-09-05T16:12:38.925293+00:00,91b2f04797e3f9aa6d3c3c772e5474326219e2288462628fb554235f83b7d4cf,https://www.arcgis.com/sharing/rest/content/items/8f77bda25c124e43aca5f3b90494e405?f=json,2026-09-05T16:12:38.429874+00:00,b19220190c40bdeca097f2d963149b6c0494e7065a235a9428bd0ec9a1cd16db
bradford,E08000032,E22000342,Bradford,2025-04-01,yes,E08000032,Bradford,E23000010,no,Codes agree; boundary footprint and LSOA membership still unverified,Unverified,no,https://services1.arcgis.com/ESMARspQHYMw9BZ9/arcgis/rest/services/LAD25_CSP25_PFA25_EW_LU/FeatureServer/0/query?where=1%3D1&outFields=*&returnGeometry=false&f=json,2026-09-05T16:12:38.925293+00:00,91b2f04797e3f9aa6d3c3c772e5474326219e2288462628fb554235f83b7d4cf,https://www.arcgis.com/sharing/rest/content/items/8f77bda25c124e43aca5f3b90494e405?f=json,2026-09-05T16:12:38.429874+00:00,b19220190c40bdeca097f2d963149b6c0494e7065a235a9428bd0ec9a1cd16db
burnley,E07000117,E22000152,Burnley,2025-04-01,yes,E07000117,Burnley,E23000003,no,Codes agree; boundary footprint and LSOA membership still unverified,Unverified,no,https://services1.arcgis.com/ESMARspQHYMw9BZ9/arcgis/rest/services/LAD25_CSP25_PFA25_EW_LU/FeatureServer/0/query?where=1%3D1&outFields=*&returnGeometry=false&f=json,2026-09-05T16:12:38.925293+00:00,91b2f04797e3f9aa6d3c3c772e5474326219e2288462628fb554235f83b7d4cf,https://www.arcgis.com/sharing/rest/content/items/8f77bda25c124e43aca5f3b90494e405?f=json,2026-09-05T16:12:38.429874+00:00,b19220190c40bdeca097f2d963149b6c0494e7065a235a9428bd0ec9a1cd16db
burton-on-trent,E07000193,E22000264,East Staffordshire,2025-04-01,yes,E07000193,East Staffordshire,E23000015,no,Codes agree; boundary footprint and LSOA membership still unverified,Unverified,no,https://services1.arcgis.com/ESMARspQHYMw9BZ9/arcgis/rest/services/LAD25_CSP25_PFA25_EW_LU/FeatureServer/0/query?where=1%3D1&outFields=*&returnGeometry=false&f=json,2026-09-05T16:12:38.925293+00:00,91b2f04797e3f9aa6d3c3c772e5474326219e2288462628fb554235f83b7d4cf,https://www.arcgis.com/sharing/rest/content/items/8f77bda25c124e43aca5f3b90494e405?f=json,2026-09-05T16:12:38.429874+00:00,b19220190c40bdeca097f2d963149b6c0494e7065a235a9428bd0ec9a1cd16db
cardiff,W06000015,W14000015,Cardiff,2025-04-01,yes,W06000015,Cardiff,W15000003,no,Codes agree; boundary footprint and LSOA membership still unverified,Unverified,no,https://services1.arcgis.com/ESMARspQHYMw9BZ9/arcgis/rest/services/LAD25_CSP25_PFA25_EW_LU/FeatureServer/0/query?where=1%3D1&outFields=*&returnGeometry=false&f=json,2026-09-05T16:12:38.925293+00:00,91b2f04797e3f9aa6d3c3c772e5474326219e2288462628fb554235f83b7d4cf,https://www.arcgis.com/sharing/rest/content/items/8f77bda25c124e43aca5f3b90494e405?f=json,2026-09-05T16:12:38.429874+00:00,b19220190c40bdeca097f2d963149b6c0494e7065a235a9428bd0ec9a1cd16db
chester,E06000050,E22000355,Cheshire West and Chester,2025-04-01,yes,E06000050,Cheshire West and Chester,E23000006,no,Codes agree; boundary footprint and LSOA membership still unverified,Unverified,no,https://services1.arcgis.com/ESMARspQHYMw9BZ9/arcgis/rest/services/LAD25_CSP25_PFA25_EW_LU/FeatureServer/0/query?where=1%3D1&outFields=*&returnGeometry=false&f=json,2026-09-05T16:12:38.925293+00:00,91b2f04797e3f9aa6d3c3c772e5474326219e2288462628fb554235f83b7d4cf,https://www.arcgis.com/sharing/rest/content/items/8f77bda25c124e43aca5f3b90494e405?f=json,2026-09-05T16:12:38.429874+00:00,b19220190c40bdeca097f2d963149b6c0494e7065a235a9428bd0ec9a1cd16db
