location_id,category,direction,rank,rate_per_1000,count,population,csp_code,csp_name,force_code,force_name,force_unallocated_percent,period_start,period_end,evidence_id,source_url,retrieval_date,source_sha256,source_cells,review_status,review_reason
bournemouth-poole,sexual_offences,lowest,1,2.262,995,439900,E22000367,Dorset,E23000039,Dorset,2.581,2025-04-01,2026-03-31,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f,Table C2!N73; Table C4!G73; Table C4!P73,Contextual review required; no safety interpretation,"Extreme rate among available CSP research rows; check geography, coverage, population and recording context"
shrewsbury,sexual_offences,lowest,2,2.605,866,332500,E22000360,Shropshire,E23000016,West Mercia,1.329,2025-04-01,2026-03-31,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f,Table C2!N384; Table C4!G384; Table C4!P384,Contextual review required; no safety interpretation,"Extreme rate among available CSP research rows; check geography, coverage, population and recording context"
worcester,sexual_offences,lowest,3,2.790,915,327900,E22000332,South Worcester,E23000016,West Mercia,1.329,2025-04-01,2026-03-31,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f,Table C2!N385; Table C4!G385; Table C4!P385,Contextual review required; no safety interpretation,"Extreme rate among available CSP research rows; check geography, coverage, population and recording context"
blackpool,sexual_offences,highest,1,6.859,989,144200,E22000151,Blackpool,E23000003,Lancashire,3.076,2025-04-01,2026-03-31,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f,Table C2!N178; Table C4!G178; Table C4!P178,Contextual review required; no safety interpretation,"Extreme rate among available CSP research rows; check geography, coverage, population and recording context"
lincoln,sexual_offences,highest,2,5.975,628,105100,E22000175,Lincoln,E23000020,Lincolnshire,0.501,2025-04-01,2026-03-31,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f,Table C2!N206; Table C4!G206; Table C4!P206,Contextual review required; no safety interpretation,"Extreme rate among available CSP research rows; check geography, coverage, population and recording context"
norwich,sexual_offences,highest,3,5.931,873,147200,E22000223,Norwich,E23000024,Norfolk,1.461,2025-04-01,2026-03-31,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f,Table C2!N259; Table C4!G259; Table C4!P259,Contextual review required; no safety interpretation,"Extreme rate among available CSP research rows; check geography, coverage, population and recording context"
bournemouth-poole,violence_against_person,lowest,1,18.882,8306,439900,E22000367,Dorset,E23000039,Dorset,1.078,2025-04-01,2026-03-31,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f,Table C2!H73; Table C4!G73; Table C4!J73,Contextual review required; no safety interpretation,"Extreme rate among available CSP research rows; check geography, coverage, population and recording context"
shrewsbury,violence_against_person,lowest,2,20.938,6962,332500,E22000360,Shropshire,E23000016,West Mercia,0.925,2025-04-01,2026-03-31,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f,Table C2!H384; Table C4!G384; Table C4!J384,Contextual review required; no safety interpretation,"Extreme rate among available CSP research rows; check geography, coverage, population and recording context"
loughborough,violence_against_person,lowest,3,24.055,4532,188400,E22000165,Charnwood,E23000021,Leicestershire,2.003,2025-04-01,2026-03-31,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f,Table C2!H194; Table C4!G194; Table C4!J194,Contextual review required; no safety interpretation,"Extreme rate among available CSP research rows; check geography, coverage, population and recording context"
blackpool,violence_against_person,highest,1,68.994,9949,144200,E22000151,Blackpool,E23000003,Lancashire,1.743,2025-04-01,2026-03-31,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f,Table C2!H178; Table C4!G178; Table C4!J178,Contextual review required; no safety interpretation,"Extreme rate among available CSP research rows; check geography, coverage, population and recording context"
