force_code,force_name,category,period_start,period_end,force_count,unallocated_count,unallocated_percent,material_threshold_percent,review_status,represented_locations,evidence_id,source_url,retrieval_date,source_sha256,source_cells
E23000003,Lancashire,sexual_offences,2025-04-01,2026-03-31,5950,183,3.076,5.000,Below 5%; retain for review,blackburn | blackpool | burnley | lancaster | preston,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f,Force total and named CSP rows in Table C2
E23000003,Lancashire,violence_against_person,2025-04-01,2026-03-31,56236,980,1.743,5.000,Below 5%; retain for review,blackburn | blackpool | burnley | lancaster | preston,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f,Force total and named CSP rows in Table C2
E23000004,Merseyside,sexual_offences,2025-04-01,2026-03-31,4984,56,1.124,5.000,Below 5%; retain for review,liverpool | st-helens,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f,Force total and named CSP rows in Table C2
E23000004,Merseyside,violence_against_person,2025-04-01,2026-03-31,55326,71,0.128,5.000,Below 5%; retain for review,liverpool | st-helens,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f,Force total and named CSP rows in Table C2
E23000005,Greater Manchester,sexual_offences,2025-04-01,2026-03-31,12751,23,0.180,5.000,Below 5%; retain for review,bolton | manchester | salford | stockport | wigan,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f,Force total and named CSP rows in Table C2
E23000005,Greater Manchester,violence_against_person,2025-04-01,2026-03-31,125640,205,0.163,5.000,Below 5%; retain for review,bolton | manchester | salford | stockport | wigan,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f,Force total and named CSP rows in Table C2
E23000006,Cheshire,sexual_offences,2025-04-01,2026-03-31,4133,65,1.573,5.000,Below 5%; retain for review,chester | warrington,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f,Force total and named CSP rows in Table C2
E23000006,Cheshire,violence_against_person,2025-04-01,2026-03-31,34480,77,0.223,5.000,Below 5%; retain for review,chester | warrington,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f,Force total and named CSP rows in Table C2
E23000007,Northumbria,sexual_offences,2025-04-01,2026-03-31,5861,110,1.877,5.000,Below 5%; retain for review,gateshead | newcastle-upon-tyne | sunderland,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f,Force total and named CSP rows in Table C2
E23000007,Northumbria,violence_against_person,2025-04-01,2026-03-31,49092,695,1.416,5.000,Below 5%; retain for review,gateshead | newcastle-upon-tyne | sunderland,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f,Force total and named CSP rows in Table C2
E23000008,Durham,sexual_offences,2025-04-01,2026-03-31,2536,66,2.603,5.000,Below 5%; retain for review,darlington | durham,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f,Force total and named CSP rows in Table C2
E23000008,Durham,violence_against_person,2025-04-01,2026-03-31,22999,186,0.809,5.000,Below 5%; retain for review,darlington | durham,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f,Force total and named CSP rows in Table C2
E23000009,North Yorkshire,sexual_offences,2025-04-01,2026-03-31,2244,17,0.758,5.000,Below 5%; retain for review,york,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f,Force total and named CSP rows in Table C2
E23000009,North Yorkshire,violence_against_person,2025-04-01,2026-03-31,17902,89,0.497,5.000,Below 5%; retain for review,york,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f,Force total and named CSP rows in Table C2
E23000010,West Yorkshire,sexual_offences,2025-04-01,2026-03-31,10639,6,0.056,5.000,Below 5%; retain for review,bradford | halifax | huddersfield | leeds | wakefield,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f,Force total and named CSP rows in Table C2
E23000010,West Yorkshire,violence_against_person,2025-04-01,2026-03-31,111552,6,0.005,5.000,Below 5%; retain for review,bradford | halifax | huddersfield | leeds | wakefield,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f,Force total and named CSP rows in Table C2
E23000011,South Yorkshire,sexual_offences,2025-04-01,2026-03-31,5705,389,6.819,5.000,Material; investigate before comparison,barnsley | doncaster | rotherham | sheffield,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f,Force total and named CSP rows in Table C2
