source_row,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U
1,"Table D4: Police recorded crime and anti-social behaviour number of incidents, year ending March 2008 to year ending March 2026 [notes 1, 2, 3]",,,,,,,,,,,,,,,,,,,,
2,England and Wales ,,,,,,,,,,,,,,,,,,,,
3,Some shorthand is used in this table. [x] indicates that data are unavailable.,,,,,,,,,,,,,,,,,,,,
4,Link to contents page,,,,,,,,,,,,,,,,,,,,
5,This worksheet contains one table. Some cells refer to notes which can be found on the notes worksheet.,,,,,,,,,,,,,,,,,,,,
6,Link to Notes,,,,,,,,,,,,,,,,,,,,
7,"Police recorded crime and ASB data are published as official statistics, not accredited official statistics",,,,,,,,,,,,,,,,,,,,
8,"Source: Total recorded crime: Police recorded crime from the Home Office, ASB incidents: years ending March 2008 to March 2010 - National Policing Improvement Agency (NPIA); year ending March 2011 - His Majesty's Inspectorate of Constabulary and Fire & Rescue services (HMICFRS); from year ending March 2012 onwards - Home Office",,,,,,,,,,,,,,,,,,,,
9,Police recorded crime and anti-social behaviour,"Apr 2007 to 
Mar 2008","Apr 2008 to 
Mar 2009","Apr 2009 to 
Mar 2010","Apr 2010 to 
Mar 2011","Apr 2011 to 
Mar 2012","Apr 2012 to 
Mar 2013","Apr 2013 to 
Mar 2014","Apr 2014 to 
Mar 2015","Apr 2015 to 
Mar 2016","Apr 2016 to 
Mar 2017","Apr 2017 to 
Mar 2018","Apr 2018 to
 Mar 2019","Apr 2019 to
 Mar 2020","Apr 2020 to
 Mar 2021","Apr 2021 to
 Mar 2022","Apr 2022 to
 Mar 2023","Apr 2022 to
 Mar 2024","Apr 2024 to 
 Mar 2025","Apr 2025 to 
 Mar 2026","Apr 2025 to
 Mar 2026 compared with previous year % change"
10,Total recorded crime (excluding fraud and computer misuse)[note 4],4881140,4630383,4265036,4078475,3903581,3553168,3506545,3574552,3898526,4321587,4890313,5266025,5304892,4615788,5326547,5578041,5402860,5307433,5235213,-1.3607331453830882
11,ASB incidents excluding BTP,3873916,3673523,3532250,3217817,2722663,2258805,2065877,1941885,1796936,1793428,1634408,1422695,1349053,2026298,1277911,1020718,1014720,993741,1011520,1.7890979641576625
12,ASB incidents including BTP,[x],[x],[x],[x],[x],2292726,2103528,1980933,1840592,1823352,1663315,1454103,1382733,2051984,1305334,1047636,1043268,1030281,1049100,1.8265890567718903
13,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,
