source_row,A,B,C,D,E,F,G,H,I,J,K,L
1,Table D5: Categories of anti-social behaviour incidents in England and Wales year ending March 2026 [note 5],,,,,,,,,,,
2,Link to contents page,,,,,,,,,,,
3,This worksheet contains one table. Some cells refer to notes which can be found on the notes worksheet.,,,,,,,,,,,
4,Link to notes,,,,,,,,,,,
5,"ASB data are published as official statistics, not accredited official statistics",,,,,,,,,,,
6,Source: ASB incidents from the Home Office,,,,,,,,,,,
7,Category,Percentage,,,,,,,,,,
8,Nuisance,74.022209512915836,,,,,,,,,,
9,Personal,17.120674864169288,,,,,,,,,,
10,Environmental,8.8571156229148791,,,,,,,,,,
11,,,,,,,,,,,,
12,,,,,,,,,,,,
13,,,,,,,,,,,,
14,,,,,,,,,,,,
15,,,,,,,,,,,,
16,,,,,,,,,,,,
17,,,,,,,,,,,,
18,,,,,,,,,,,,
19,,,,,,,,,,,,
20,,,,,,,,,,,,
21,,,,,,,,,,,,
22,,,,,,,,,,,,
