location_id,gigabit_availability_pct,residential_premises,matched_residential_premises,gigabit_available_premises,oa_rows_covered,oa_rows_expected,source_period,retrieval_date,evidence_id,geography_code,geography_vintage,method_version,confidence,reason,component_count,matched_premises_pct
bangor,56.0023,6964,6913,3900,49,49,January 2025 availability snapshot,2026-09-11,DIGITAL-OFCOM-CN-SPRING-2025,W45000697,April 2024,ofcom-gigabit-bua24-v1,High,Premise-weighted aggregation across Bangor; Reviewed official BUA name corresponds directly to the broad screen location. Ofcom OAs absent from the residential file have no residential premise row and do not enter either count.,1,99.2677
barnsley,92.0731,33771,33770,31094,238,238,January 2025 availability snapshot,2026-09-11,DIGITAL-OFCOM-CN-SPRING-2025,E63008268,April 2024,ofcom-gigabit-bua24-v1,High,Premise-weighted aggregation across Barnsley; Reviewed official BUA name corresponds directly to the broad screen location. Ofcom OAs absent from the residential file have no residential premise row and do not enter either count.,1,99.9970
bath,75.7440,42538,42426,32220,311,311,January 2025 availability snapshot,2026-09-11,DIGITAL-OFCOM-CN-SPRING-2025,E63012364,April 2024,ofcom-gigabit-bua24-v1,High,Premise-weighted aggregation across Bath; Reviewed official BUA name corresponds directly to the broad screen location. Ofcom OAs absent from the residential file have no residential premise row and do not enter either count.,1,99.7367
birmingham,95.5176,443802,441944,423909,3240,3244,January 2025 availability snapshot,2026-09-11,DIGITAL-OFCOM-CN-SPRING-2025,E63010038,April 2024,ofcom-gigabit-bua24-v1,High,Premise-weighted aggregation across Birmingham; Reviewed official BUA name corresponds directly to the broad screen location. Ofcom OAs absent from the residential file have no residential premise row and do not enter either count.,1,99.5813
blackburn,94.3928,48687,48668,45957,349,349,January 2025 availability snapshot,2026-09-11,DIGITAL-OFCOM-CN-SPRING-2025,E63007969,April 2024,ofcom-gigabit-bua24-v1,High,Premise-weighted aggregation across Blackburn (Blackburn with Darwen); Reviewed official BUA name corresponds to the screen location Blackburn. Ofcom OAs absent from the residential file have no residential premise row and do not enter either count.,1,99.9610
blackpool,88.2732,77131,76695,68086,538,538,January 2025 availability snapshot,2026-09-11,DIGITAL-OFCOM-CN-SPRING-2025,E63007890,April 2024,ofcom-gigabit-bua24-v1,High,Premise-weighted aggregation across Blackpool; Reviewed official BUA name corresponds directly to the broad screen location. Ofcom OAs absent from the residential file have no residential premise row and do not enter either count.,1,99.4347
bolton,95.7662,76385,76359,73151,554,554,January 2025 availability snapshot,2026-09-11,DIGITAL-OFCOM-CN-SPRING-2025,E63008201,April 2024,ofcom-gigabit-bua24-v1,High,Premise-weighted aggregation across Bolton (Bolton); Reviewed official BUA name corresponds to the screen location Bolton. Ofcom OAs absent from the residential file have no residential premise row and do not enter either count.,1,99.9660
bournemouth-poole,90.4647,159439,158818,144236,1049,1049,January 2025 availability snapshot,2026-09-11,DIGITAL-OFCOM-CN-SPRING-2025,E63013847;E63013860,April 2024,ofcom-gigabit-bua24-v1,High,"Premise-weighted aggregation across Bournemouth, Poole; Reviewed composite represents the named two-settlement location using the Bournemouth and Poole BUAs. Ofcom OAs absent from the residential file have no residential premise row and do not enter either count.",2,99.6105
bradford,95.8448,119634,119319,114663,900,901,January 2025 availability snapshot,2026-09-11,DIGITAL-OFCOM-CN-SPRING-2025,E63007920,April 2024,ofcom-gigabit-bua24-v1,High,Premise-weighted aggregation across Bradford; Reviewed official BUA name corresponds directly to the broad screen location. Ofcom OAs absent from the residential file have no residential premise row and do not enter either count.,1,99.7367
bridgend,95.5285,22364,22360,21364,164,165,January 2025 availability snapshot,2026-09-11,DIGITAL-OFCOM-CN-SPRING-2025,W45001212,April 2024,ofcom-gigabit-bua24-v1,High,Premise-weighted aggregation across Bridgend; Reviewed official BUA name corresponds directly to the broad screen location. Ofcom OAs absent from the residential file have no residential premise row and do not enter either count.,1,99.9821
brighton-hove,84.2846,135205,134106,113957,936,936,January 2025 availability snapshot,2026-09-11,DIGITAL-OFCOM-CN-SPRING-2025,E63013666,April 2024,ofcom-gigabit-bua24-v1,High,Premise-weighted aggregation across Brighton and Hove; Reviewed official BUA name corresponds to the screen location Brighton & Hove. Ofcom OAs absent from the residential file have no residential premise row and do not enter either count.,1,99.1872
bristol,94.6442,182120,180936,172366,1268,1269,January 2025 availability snapshot,2026-09-11,DIGITAL-OFCOM-CN-SPRING-2025,E63012168,April 2024,ofcom-gigabit-bua24-v1,High,Premise-weighted aggregation across Bristol; Reviewed official BUA name corresponds directly to the broad screen location. Ofcom OAs absent from the residential file have no residential premise row and do not enter either count.,1,99.3499
burnley,97.1945,34753,34737,33778,249,249,January 2025 availability snapshot,2026-09-11,DIGITAL-OFCOM-CN-SPRING-2025,E63007907,April 2024,ofcom-gigabit-bua24-v1,High,Premise-weighted aggregation across Burnley; Reviewed official BUA name corresponds directly to the broad screen location. Ofcom OAs absent from the residential file have no residential premise row and do not enter either count.,1,99.9540
burton-on-trent,84.3873,33921,33864,28625,229,229,January 2025 availability snapshot,2026-09-11,DIGITAL-OFCOM-CN-SPRING-2025,E63009360,April 2024,ofcom-gigabit-bua24-v1,High,Premise-weighted aggregation across Burton upon Trent; Reviewed official BUA name corresponds to the screen location Burton-on-Trent. Ofcom OAs absent from the residential file have no residential premise row and do not enter either count.,1,99.8320
cambridge,94.7661,61331,61291,58121,447,448,January 2025 availability snapshot,2026-09-11,DIGITAL-OFCOM-CN-SPRING-2025,E63010556,April 2024,ofcom-gigabit-bua24-v1,High,Premise-weighted aggregation across Cambridge (Cambridge); Reviewed official BUA name corresponds to the screen location Cambridge. Ofcom OAs absent from the residential file have no residential premise row and do not enter either count.,1,99.9348
cardiff,95.1293,152340,151770,144920,1067,1068,January 2025 availability snapshot,2026-09-11,DIGITAL-OFCOM-CN-SPRING-2025,W45001208,April 2024,ofcom-gigabit-bua24-v1,High,Premise-weighted aggregation across Cardiff; Reviewed official BUA name corresponds directly to the broad screen location. Ofcom OAs absent from the residential file have no residential premise row and do not enter either count.,1,99.6258
cheltenham,92.3311,55627,55591,51361,395,395,January 2025 availability snapshot,2026-09-11,DIGITAL-OFCOM-CN-SPRING-2025,E63011286,April 2024,ofcom-gigabit-bua24-v1,High,Premise-weighted aggregation across Cheltenham; Reviewed official BUA name corresponds directly to the broad screen location. Ofcom OAs absent from the residential file have no residential premise row and do not enter either count.,1,99.9353
chester,82.8401,43386,43346,35941,315,315,January 2025 availability snapshot,2026-09-11,DIGITAL-OFCOM-CN-SPRING-2025,K08000011,April 2024,ofcom-gigabit-bua24-v1,High,Premise-weighted aggregation across Chester; Reviewed official BUA name corresponds directly to the broad screen location. Ofcom OAs absent from the residential file have no residential premise row and do not enter either count.,1,99.9078
chesterfield,92.9307,38533,38511,35809,276,276,January 2025 availability snapshot,2026-09-11,DIGITAL-OFCOM-CN-SPRING-2025,E63008717,April 2024,ofcom-gigabit-bua24-v1,High,Premise-weighted aggregation across Chesterfield; Reviewed official BUA name corresponds directly to the broad screen location. Ofcom OAs absent from the residential file have no residential premise row and do not enter either count.,1,99.9429
colchester,88.8220,58132,57395,51634,425,425,January 2025 availability snapshot,2026-09-11,DIGITAL-OFCOM-CN-SPRING-2025,E63011220,April 2024,ofcom-gigabit-bua24-v1,High,Premise-weighted aggregation across Colchester; Reviewed official BUA name corresponds directly to the broad screen location. Ofcom OAs absent from the residential file have no residential premise row and do not enter either count.,1,98.7322
coventry,97.4277,143453,142228,139763,1043,1043,January 2025 availability snapshot,2026-09-11,DIGITAL-OFCOM-CN-SPRING-2025,E63010120,April 2024,ofcom-gigabit-bua24-v1,High,Premise-weighted aggregation across Coventry; Reviewed official BUA name corresponds directly to the broad screen location. Ofcom OAs absent from the residential file have no residential premise row and do not enter either count.,1,99.1461
darlington,97.1398,46186,46181,44865,324,324,January 2025 availability snapshot,2026-09-11,DIGITAL-OFCOM-CN-SPRING-2025,E63007428,April 2024,ofcom-gigabit-bua24-v1,High,Premise-weighted aggregation across Darlington; Reviewed official BUA name corresponds directly to the broad screen location. Ofcom OAs absent from the residential file have no residential premise row and do not enter either count.,1,99.9892
derby,97.5687,121498,121228,118544,841,841,January 2025 availability snapshot,2026-09-11,DIGITAL-OFCOM-CN-SPRING-2025,E63009183,April 2024,ofcom-gigabit-bua24-v1,High,Premise-weighted aggregation across Derby; Reviewed official BUA name corresponds directly to the broad screen location. Ofcom OAs absent from the residential file have no residential premise row and do not enter either count.,1,99.7778
doncaster,99.0815,40610,40581,40237,283,283,January 2025 availability snapshot,2026-09-11,DIGITAL-OFCOM-CN-SPRING-2025,E63008314,April 2024,ofcom-gigabit-bua24-v1,High,Premise-weighted aggregation across Doncaster; Reviewed official BUA name corresponds directly to the broad screen location. Ofcom OAs absent from the residential file have no residential premise row and do not enter either count.,1,99.9286
durham,75.0489,21466,21408,16110,140,140,January 2025 availability snapshot,2026-09-11,DIGITAL-OFCOM-CN-SPRING-2025,E63007282,April 2024,ofcom-gigabit-bua24-v1,High,Premise-weighted aggregation across Durham; Reviewed official BUA name corresponds directly to the broad screen location. Ofcom OAs absent from the residential file have no residential premise row and do not enter either count.,1,99.7298
exeter,91.1441,55793,55449,50852,390,390,January 2025 availability snapshot,2026-09-11,DIGITAL-OFCOM-CN-SPRING-2025,E63013856,April 2024,ofcom-gigabit-bua24-v1,High,Premise-weighted aggregation across Exeter; Reviewed official BUA name corresponds directly to the broad screen location. Ofcom OAs absent from the residential file have no residential premise row and do not enter either count.,1,99.3834
gateshead,93.9468,56664,56593,53234,420,420,January 2025 availability snapshot,2026-09-11,DIGITAL-OFCOM-CN-SPRING-2025,E63007200,April 2024,ofcom-gigabit-bua24-v1,High,Premise-weighted aggregation across Gateshead; Reviewed official BUA name corresponds directly to the broad screen location. Ofcom OAs absent from the residential file have no residential premise row and do not enter either count.,1,99.8747
gloucester,93.5098,52649,52634,49232,380,380,January 2025 availability snapshot,2026-09-11,DIGITAL-OFCOM-CN-SPRING-2025,E63011389,April 2024,ofcom-gigabit-bua24-v1,High,Premise-weighted aggregation across Gloucester; Reviewed official BUA name corresponds directly to the broad screen location. Ofcom OAs absent from the residential file have no residential premise row and do not enter either count.,1,99.9715
