location_id,location_name,review_london_minutes,imported_london_minutes,london_minutes_difference,review_london_changes,imported_london_changes,london_changes_difference,review_birmingham_minutes,imported_birmingham_minutes,birmingham_minutes_difference,review_birmingham_changes,imported_birmingham_changes,birmingham_changes_difference,review_confidence
barnsley,Barnsley,155,145,10,2,1,1,104,105,-1,1,1,0,Medium
birmingham,Birmingham,79,82,-3,0,0,0,0,0,0,0,0,0,Medium
blackburn,Blackburn,170,170,0,1,1,0,149,135,14,1,1,0,Medium
blackpool,Blackpool,167,185,-18,1,1,0,161,130,31,1,1,0,Medium
bolton,Bolton,160,155,5,2,1,1,123,110,13,1,1,0,Medium
bradford,Bradford,165,170,-5,1,1,0,153,145,8,1,1,0,Medium
burnley,Burnley,189,190,-1,1,2,-1,174,155,19,2,2,0,Medium
burton-on-trent,Burton-on-Trent,98,95,3,1,1,0,24,30,-6,0,0,0,Medium
cardiff,Cardiff,112,110,2,0,0,0,120,120,0,0,0,0,Medium
chester,Chester,123,125,-2,0,0,0,85,75,10,1,0,1,Medium
chesterfield,Chesterfield,112,115,-3,0,0,0,56,65,-9,0,0,0,Medium
coventry,Coventry,56,60,-4,0,0,0,20,20,0,0,0,0,Medium
darlington,Darlington,152,135,17,1,0,1,143,145,-2,0,1,-1,Medium
derby,Derby,88,90,-2,0,0,0,32,35,-3,0,0,0,Medium
doncaster,Doncaster,92,100,-8,0,0,0,88,95,-7,0,0,0,Medium
gateshead,Gateshead,192,180,12,2,0,2,198,190,8,1,0,1,Medium
gloucester,Gloucester,100,105,-5,0,0,0,56,55,1,0,0,0,Medium
halifax,Halifax,172,180,-8,0,1,-1,156,145,11,2,1,1,Medium
hartlepool,Hartlepool,188,195,-7,0,1,-1,209,195,14,1,1,0,Medium
huddersfield,Huddersfield,160,175,-15,2,1,1,142,135,7,2,1,1,Medium
hull-kingston-upon-hull,Hull (Kingston upon Hull),164,165,-1,0,0,0,159,145,14,1,1,0,Medium
ipswich,Ipswich,66,65,1,0,0,0,195,170,25,2,1,1,Medium
kettering,Kettering,47,55,-8,0,0,0,76,70,6,1,0,1,Medium
lancaster,Lancaster,151,145,6,0,0,0,126,110,16,0,0,0,Medium
leeds,Leeds,132,130,2,0,0,0,109,115,-6,0,0,0,Medium
leicester,Leicester,63,65,-2,0,0,0,48,55,-7,0,0,0,Medium
lincoln,Lincoln,116,120,-4,0,0,0,138,105,33,1,1,0,Medium
liverpool,Liverpool,140,135,5,0,0,0,96,95,1,0,0,0,Medium
loughborough,Loughborough,74,75,-1,0,0,0,66,75,-9,1,0,1,Medium
manchester,Manchester,127,125,2,0,0,0,90,90,0,0,0,0,Medium
merthyr-tydfil,Merthyr Tydfil,182,205,-23,1,1,0,196,185,11,2,2,0,Medium
middlesbrough,Middlesbrough,195,180,15,1,0,1,182,175,7,1,0,1,Medium
neath,Neath,155,150,5,0,0,0,164,165,-1,1,1,0,Medium
newcastle-upon-tyne,Newcastle upon Tyne,166,170,-4,0,0,0,174,185,-11,0,0,0,Medium
newport,Newport,97,100,-3,0,0,0,104,105,-1,1,0,1,Medium
northampton,Northampton,59,60,-1,0,0,0,64,60,4,0,0,0,Medium
norwich,Norwich,107,110,-3,0,0,0,226,210,16,1,1,0,Medium
nottingham,Nottingham,97,100,-3,0,0,0,70,75,-5,1,0,1,Medium
peterborough,Peterborough,48,50,-2,0,0,0,104,100,4,0,0,0,Medium
plymouth,Plymouth,194,190,4,0,0,0,208,205,3,0,0,0,Medium
portsmouth,Portsmouth,92,95,-3,0,0,0,204,165,39,1,0,1,Medium
preston,Preston,132,130,2,0,0,0,108,100,8,0,0,0,Medium
rotherham,Rotherham,144,145,-1,1,1,0,90,100,-10,1,1,0,Medium
salford,Salford,174,135,39,3,0,3,123,95,28,2,0,2,Medium
sheffield,Sheffield,124,120,4,0,0,0,61,75,-14,0,0,0,Medium
shrewsbury,Shrewsbury,156,150,6,1,1,0,61,60,1,0,0,0,Medium
st-helens,St Helens,136,145,-9,1,1,0,129,90,39,1,1,0,Medium
stafford,Stafford,76,75,1,0,0,0,32,35,-3,0,0,0,Medium
stockport,Stockport,117,120,-3,0,0,0,80,75,5,0,0,0,Medium
stockton-on-tees,Stockton-on-Tees,202,185,17,2,1,1,207,180,27,2,1,1,Medium
stoke-on-trent,Stoke-on-Trent,91,85,6,0,0,0,49,50,-1,0,0,0,Medium
sunderland,Sunderland,210,195,15,1,0,1,211,205,6,1,1,0,Medium
swansea,Swansea,167,170,-3,0,0,0,177,185,-8,1,1,0,Medium
swindon,Swindon,50,55,-5,0,0,0,109,95,14,1,1,0,Medium
telford,Telford,133,125,8,1,1,0,38,40,-2,0,0,0,Medium
