location_id,destination_id,origin_crs,destination_crs,measurement_date,selection_window_start_local,selection_window_end_local,planner_search_times,query_timestamp_local,selected_departure_local,selected_arrival_local,elapsed_minutes,changes,frequency_window_start_local,frequency_window_end_local,usable_departures_in_window,source_url,raw_capture_path,retrieval_timestamp,confidence,evidence_id,reason
bangor,birmingham,BNG,BHM,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,2026-09-08T22:55:32+01:00,2026-09-11T13:16:00+01:00,2026-09-11T15:57:00+01:00,161,1,,,,https://jpservices.nationalrail.co.uk/journey-planner,transport/bangor__birmingham/response-13.json,2026-09-08T22:55:32+01:00,Medium,TR-NATIONAL-20260908-DIRECT-PILOT,Reviewed retained direct responses. Shortest elapsed National Rail Journey Planner itinerary departing in the documented window; changes count equals itinerary legs minus one.
bangor,london,BNG,182,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,2026-09-08T22:55:21+01:00,2026-09-11T13:16:00+01:00,2026-09-11T16:37:00+01:00,201,0,,,,https://jpservices.nationalrail.co.uk/journey-planner,transport/bangor__london/response-13.json,2026-09-08T22:55:21+01:00,Medium,TR-NATIONAL-20260908-DIRECT-PILOT,Reviewed retained direct responses. Shortest elapsed National Rail Journey Planner itinerary departing in the documented window; changes count equals itinerary legs minus one.
barnsley,birmingham,BNY,BHM,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,2026-09-08T22:55:10+01:00,2026-09-11T11:44:00+01:00,2026-09-11T13:28:00+01:00,104,1,,,,https://jpservices.nationalrail.co.uk/journey-planner,transport/barnsley__birmingham/response-11.json,2026-09-08T22:55:10+01:00,Medium,TR-NATIONAL-20260908-DIRECT-PILOT,Reviewed retained direct responses. Shortest elapsed National Rail Journey Planner itinerary departing in the documented window; changes count equals itinerary legs minus one.
barnsley,london,BNY,182,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,2026-09-08T22:54:44+01:00,2026-09-11T10:42:00+01:00,2026-09-11T13:17:00+01:00,155,2,,,,https://jpservices.nationalrail.co.uk/journey-planner,transport/barnsley__london/response-10.json,2026-09-08T22:54:44+01:00,Medium,TR-NATIONAL-20260908-DIRECT-PILOT,Reviewed retained direct responses. Shortest elapsed National Rail Journey Planner itinerary departing in the documented window; changes count equals itinerary legs minus one.
birmingham,london,BHM,182,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,2026-09-08T22:55:40+01:00,2026-09-11T10:47:00+01:00,2026-09-11T12:06:00+01:00,79,0,,,,https://jpservices.nationalrail.co.uk/journey-planner,transport/birmingham__london/response-10.json,2026-09-08T22:55:40+01:00,Medium,TR-NATIONAL-20260908-DIRECT-PILOT,Reviewed retained direct responses. Shortest elapsed National Rail Journey Planner itinerary departing in the documented window; changes count equals itinerary legs minus one.
brighton-hove,birmingham,BTN,BHM,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,2026-09-08T22:56:03+01:00,2026-09-11T10:44:00+01:00,2026-09-11T13:56:00+01:00,192,2,,,,https://jpservices.nationalrail.co.uk/journey-planner,transport/brighton-hove__birmingham/response-10.json,2026-09-08T22:56:03+01:00,Medium,TR-NATIONAL-20260908-DIRECT-PILOT,Reviewed retained direct responses. Shortest elapsed National Rail Journey Planner itinerary departing in the documented window; changes count equals itinerary legs minus one.
brighton-hove,london,BTN,182,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,2026-09-08T22:55:53+01:00,2026-09-11T10:14:00+01:00,2026-09-11T11:15:00+01:00,61,0,,,,https://jpservices.nationalrail.co.uk/journey-planner,transport/brighton-hove__london/response-10.json,2026-09-08T22:55:53+01:00,Medium,TR-NATIONAL-20260908-DIRECT-PILOT,Reviewed retained direct responses. Shortest elapsed National Rail Journey Planner itinerary departing in the documented window; changes count equals itinerary legs minus one.
cardiff,birmingham,CDF,BHM,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,2026-09-08T22:56:30+01:00,2026-09-11T10:45:00+01:00,2026-09-11T12:45:00+01:00,120,0,,,,https://jpservices.nationalrail.co.uk/journey-planner,transport/cardiff__birmingham/response-10.json,2026-09-08T22:56:30+01:00,Medium,TR-NATIONAL-20260908-DIRECT-PILOT,Reviewed retained direct responses. Shortest elapsed National Rail Journey Planner itinerary departing in the documented window; changes count equals itinerary legs minus one.
cardiff,london,CDF,182,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,2026-09-08T22:56:17+01:00,2026-09-11T11:18:00+01:00,2026-09-11T13:10:00+01:00,112,0,,,,https://jpservices.nationalrail.co.uk/journey-planner,transport/cardiff__london/response-11.json,2026-09-08T22:56:17+01:00,Medium,TR-NATIONAL-20260908-DIRECT-PILOT,Reviewed retained direct responses. Shortest elapsed National Rail Journey Planner itinerary departing in the documented window; changes count equals itinerary legs minus one.
leeds,birmingham,LDS,BHM,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,2026-09-08T22:56:53+01:00,2026-09-11T10:15:00+01:00,2026-09-11T12:04:00+01:00,109,0,,,,https://jpservices.nationalrail.co.uk/journey-planner,transport/leeds__birmingham/response-10.json,2026-09-08T22:56:53+01:00,Medium,TR-NATIONAL-20260908-DIRECT-PILOT,Reviewed retained direct responses. Shortest elapsed National Rail Journey Planner itinerary departing in the documented window; changes count equals itinerary legs minus one.
leeds,london,LDS,182,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,2026-09-08T22:56:41+01:00,2026-09-11T10:10:00+01:00,2026-09-11T12:22:00+01:00,132,0,,,,https://jpservices.nationalrail.co.uk/journey-planner,transport/leeds__london/response-10.json,2026-09-08T22:56:41+01:00,Medium,TR-NATIONAL-20260908-DIRECT-PILOT,Reviewed retained direct responses. Shortest elapsed National Rail Journey Planner itinerary departing in the documented window; changes count equals itinerary legs minus one.
liverpool,birmingham,LIV,BHM,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,2026-09-08T22:57:17+01:00,2026-09-11T10:12:00+01:00,2026-09-11T11:48:00+01:00,96,0,,,,https://jpservices.nationalrail.co.uk/journey-planner,transport/liverpool__birmingham/response-10.json,2026-09-08T22:57:17+01:00,Medium,TR-NATIONAL-20260908-DIRECT-PILOT,Reviewed retained direct responses. Shortest elapsed National Rail Journey Planner itinerary departing in the documented window; changes count equals itinerary legs minus one.
liverpool,london,LIV,182,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,2026-09-08T22:57:04+01:00,2026-09-11T10:43:00+01:00,2026-09-11T13:03:00+01:00,140,0,,,,https://jpservices.nationalrail.co.uk/journey-planner,transport/liverpool__london/response-10.json,2026-09-08T22:57:04+01:00,Medium,TR-NATIONAL-20260908-DIRECT-PILOT,Reviewed retained direct responses. Shortest elapsed National Rail Journey Planner itinerary departing in the documented window; changes count equals itinerary legs minus one.
manchester,birmingham,MAN,BHM,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,2026-09-08T22:57:39+01:00,2026-09-11T10:03:00+01:00,2026-09-11T11:33:00+01:00,90,0,,,,https://jpservices.nationalrail.co.uk/journey-planner,transport/manchester__birmingham/response-10.json,2026-09-08T22:57:39+01:00,Medium,TR-NATIONAL-20260908-DIRECT-PILOT,Reviewed retained direct responses. Shortest elapsed National Rail Journey Planner itinerary departing in the documented window; changes count equals itinerary legs minus one.
manchester,london,MAN,182,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,2026-09-08T22:57:27+01:00,2026-09-11T10:34:00+01:00,2026-09-11T12:41:00+01:00,127,0,,,,https://jpservices.nationalrail.co.uk/journey-planner,transport/manchester__london/response-10.json,2026-09-08T22:57:27+01:00,Medium,TR-NATIONAL-20260908-DIRECT-PILOT,Reviewed retained direct responses. Shortest elapsed National Rail Journey Planner itinerary departing in the documented window; changes count equals itinerary legs minus one.
newcastle-upon-tyne,birmingham,NCL,BHM,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,2026-09-08T22:58:03+01:00,2026-09-11T10:34:00+01:00,2026-09-11T13:28:00+01:00,174,0,,,,https://jpservices.nationalrail.co.uk/journey-planner,transport/newcastle-upon-tyne__birmingham/response-10.json,2026-09-08T22:58:03+01:00,Medium,TR-NATIONAL-20260908-DIRECT-PILOT,Reviewed retained direct responses. Shortest elapsed National Rail Journey Planner itinerary departing in the documented window; changes count equals itinerary legs minus one.
newcastle-upon-tyne,london,NCL,182,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,2026-09-08T22:57:51+01:00,2026-09-11T10:24:00+01:00,2026-09-11T13:10:00+01:00,166,0,,,,https://jpservices.nationalrail.co.uk/journey-planner,transport/newcastle-upon-tyne__london/response-10.json,2026-09-08T22:57:51+01:00,Medium,TR-NATIONAL-20260908-DIRECT-PILOT,Reviewed retained direct responses. Shortest elapsed National Rail Journey Planner itinerary departing in the documented window; changes count equals itinerary legs minus one.
reading,birmingham,RDG,BHM,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,2026-09-08T23:00:13+01:00,2026-09-11T10:46:00+01:00,2026-09-11T12:16:00+01:00,90,0,,,,https://jpservices.nationalrail.co.uk/journey-planner,transport/reading__birmingham/response-10.json,2026-09-08T23:00:13+01:00,Medium,TR-NATIONAL-20260908-DIRECT-PILOT,Reviewed retained direct responses. Shortest elapsed National Rail Journey Planner itinerary departing in the documented window; changes count equals itinerary legs minus one.
