location_id,destination_id,origin_crs,destination_crs,measurement_date,selection_window_start_local,selection_window_end_local,planner_search_times,query_timestamp_local,selected_departure_local,selected_arrival_local,elapsed_minutes,changes,frequency_window_start_local,frequency_window_end_local,usable_departures_in_window,source_url,raw_capture_path,retrieval_timestamp,confidence,evidence_id,reason
bath,birmingham,BTH,BHM,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,2026-09-08T23:58:16+01:00,2026-09-11T10:31:00+01:00,2026-09-11T12:19:00+01:00,108,1,,,,https://jpservices.nationalrail.co.uk/journey-planner,transport/bath__birmingham/response-10.json,2026-09-08T23:58:16+01:00,Medium,TR-NATIONAL-20260908-DIRECT-SUPPLEMENT,Reviewed retained direct responses. Shortest elapsed National Rail Journey Planner itinerary departing in the documented window; changes count equals itinerary legs minus one.
bath,london,BTH,182,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,2026-09-08T23:58:13+01:00,2026-09-11T10:13:00+01:00,2026-09-11T11:34:00+01:00,81,0,,,,https://jpservices.nationalrail.co.uk/journey-planner,transport/bath__london/response-10.json,2026-09-08T23:58:13+01:00,Medium,TR-NATIONAL-20260908-DIRECT-SUPPLEMENT,Reviewed retained direct responses. Shortest elapsed National Rail Journey Planner itinerary departing in the documented window; changes count equals itinerary legs minus one.
blackburn,birmingham,BBN,BHM,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,2026-09-08T23:50:59+01:00,2026-09-11T10:37:00+01:00,2026-09-11T13:06:00+01:00,149,1,,,,https://jpservices.nationalrail.co.uk/journey-planner,transport/blackburn__birmingham/response-10.json,2026-09-08T23:50:59+01:00,Medium,TR-NATIONAL-20260908-DIRECT-SUPPLEMENT,Reviewed retained direct responses. Shortest elapsed National Rail Journey Planner itinerary departing in the documented window; changes count equals itinerary legs minus one.
blackburn,london,BBN,182,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,2026-09-08T23:50:56+01:00,2026-09-11T10:22:00+01:00,2026-09-11T13:12:00+01:00,170,1,,,,https://jpservices.nationalrail.co.uk/journey-planner,transport/blackburn__london/response-10.json,2026-09-08T23:50:56+01:00,Medium,TR-NATIONAL-20260908-DIRECT-SUPPLEMENT,Reviewed retained direct responses. Shortest elapsed National Rail Journey Planner itinerary departing in the documented window; changes count equals itinerary legs minus one.
blackpool,birmingham,BPN,BHM,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,2026-09-08T23:51:08+01:00,2026-09-11T10:25:00+01:00,2026-09-11T13:06:00+01:00,161,1,,,,https://jpservices.nationalrail.co.uk/journey-planner,transport/blackpool__birmingham/response-10.json,2026-09-08T23:51:08+01:00,Medium,TR-NATIONAL-20260908-DIRECT-SUPPLEMENT,Reviewed retained direct responses. Shortest elapsed National Rail Journey Planner itinerary departing in the documented window; changes count equals itinerary legs minus one.
blackpool,london,BPN,182,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,2026-09-08T23:51:02+01:00,2026-09-11T10:25:00+01:00,2026-09-11T13:12:00+01:00,167,1,,,,https://jpservices.nationalrail.co.uk/journey-planner,transport/blackpool__london/response-10.json,2026-09-08T23:51:02+01:00,Medium,TR-NATIONAL-20260908-DIRECT-SUPPLEMENT,Reviewed retained direct responses. Shortest elapsed National Rail Journey Planner itinerary departing in the documented window; changes count equals itinerary legs minus one.
bolton,birmingham,BON,BHM,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,2026-09-08T23:51:14+01:00,2026-09-11T10:54:00+01:00,2026-09-11T12:57:00+01:00,123,1,,,,https://jpservices.nationalrail.co.uk/journey-planner,transport/bolton__birmingham/response-10.json,2026-09-08T23:51:14+01:00,Medium,TR-NATIONAL-20260908-DIRECT-SUPPLEMENT,Reviewed retained direct responses. Shortest elapsed National Rail Journey Planner itinerary departing in the documented window; changes count equals itinerary legs minus one.
bolton,london,BON,182,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,2026-09-08T23:51:10+01:00,2026-09-11T10:32:00+01:00,2026-09-11T13:12:00+01:00,160,2,,,,https://jpservices.nationalrail.co.uk/journey-planner,transport/bolton__london/response-10.json,2026-09-08T23:51:10+01:00,Medium,TR-NATIONAL-20260908-DIRECT-SUPPLEMENT,Reviewed retained direct responses. Shortest elapsed National Rail Journey Planner itinerary departing in the documented window; changes count equals itinerary legs minus one.
bournemouth-poole,birmingham,BMH,BHM,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,2026-09-08T23:57:23+01:00,2026-09-11T10:45:00+01:00,2026-09-11T13:51:00+01:00,186,0,,,,https://jpservices.nationalrail.co.uk/journey-planner,transport/bournemouth-poole__birmingham/response-10.json,2026-09-08T23:57:23+01:00,Medium,TR-NATIONAL-20260908-DIRECT-SUPPLEMENT,Reviewed retained direct responses. Shortest elapsed National Rail Journey Planner itinerary departing in the documented window; changes count equals itinerary legs minus one.
bournemouth-poole,london,BMH,182,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,2026-09-08T23:57:22+01:00,2026-09-11T13:45:00+01:00,2026-09-11T15:36:00+01:00,111,1,,,,https://jpservices.nationalrail.co.uk/journey-planner,transport/bournemouth-poole__london/response-13.json,2026-09-08T23:57:22+01:00,Medium,TR-NATIONAL-20260908-DIRECT-SUPPLEMENT,Reviewed retained direct responses. Shortest elapsed National Rail Journey Planner itinerary departing in the documented window; changes count equals itinerary legs minus one.
