location_id,londonMinutes,londonChanges,birminghamMinutes,birminghamChanges,confidence,reason
bath,81,0,108,1,Medium,Review-staged National Rail observations; not canonical until approved.
blackburn,170,1,149,1,Medium,Review-staged National Rail observations; not canonical until approved.
blackpool,167,1,161,1,Medium,Review-staged National Rail observations; not canonical until approved.
bolton,160,2,123,1,Medium,Review-staged National Rail observations; not canonical until approved.
bournemouth-poole,111,1,186,0,Medium,Review-staged National Rail observations; not canonical until approved.
bradford,165,1,153,1,Medium,Review-staged National Rail observations; not canonical until approved.
bridgend,135,0,143,1,Medium,Review-staged National Rail observations; not canonical until approved.
bristol,94,0,79,0,Medium,Review-staged National Rail observations; not canonical until approved.
burnley,189,1,174,2,Medium,Review-staged National Rail observations; not canonical until approved.
burton-on-trent,98,1,24,0,Medium,Review-staged National Rail observations; not canonical until approved.
cambridge,50,0,158,0,Medium,Review-staged National Rail observations; not canonical until approved.
cheltenham,112,1,39,0,Medium,Review-staged National Rail observations; not canonical until approved.
chester,123,0,85,1,Medium,Review-staged National Rail observations; not canonical until approved.
chesterfield,112,0,56,0,Medium,Review-staged National Rail observations; not canonical until approved.
colchester,47,0,176,2,Medium,Review-staged National Rail observations; not canonical until approved.
coventry,56,0,20,0,Medium,Review-staged National Rail observations; not canonical until approved.
darlington,152,1,143,0,Medium,Review-staged National Rail observations; not canonical until approved.
derby,88,0,32,0,Medium,Review-staged National Rail observations; not canonical until approved.
doncaster,92,0,88,0,Medium,Review-staged National Rail observations; not canonical until approved.
durham,169,1,161,0,Medium,Review-staged National Rail observations; not canonical until approved.
exeter,134,0,143,0,Medium,Review-staged National Rail observations; not canonical until approved.
gateshead,192,2,198,1,Medium,Review-staged National Rail observations; not canonical until approved.
gloucester,100,0,56,0,Medium,Review-staged National Rail observations; not canonical until approved.
halifax,172,0,156,2,Medium,Review-staged National Rail observations; not canonical until approved.
hartlepool,188,0,209,1,Medium,Review-staged National Rail observations; not canonical until approved.
huddersfield,160,2,142,2,Medium,Review-staged National Rail observations; not canonical until approved.
hull-kingston-upon-hull,164,0,159,1,Medium,Review-staged National Rail observations; not canonical until approved.
ipswich,66,0,195,2,Medium,Review-staged National Rail observations; not canonical until approved.
kettering,47,0,76,1,Medium,Review-staged National Rail observations; not canonical until approved.
lancaster,151,0,126,0,Medium,Review-staged National Rail observations; not canonical until approved.
leicester,63,0,48,0,Medium,Review-staged National Rail observations; not canonical until approved.
lincoln,116,0,138,1,Medium,Review-staged National Rail observations; not canonical until approved.
llanelli,195,1,210,2,Medium,Review-staged National Rail observations; not canonical until approved.
loughborough,74,0,66,1,Medium,Review-staged National Rail observations; not canonical until approved.
luton,26,0,118,2,Medium,Review-staged National Rail observations; not canonical until approved.
merthyr-tydfil,182,1,196,2,Medium,Review-staged National Rail observations; not canonical until approved.
middlesbrough,195,1,182,1,Medium,Review-staged National Rail observations; not canonical until approved.
milton-keynes,32,0,56,0,Medium,Review-staged National Rail observations; not canonical until approved.
neath,155,0,164,1,Medium,Review-staged National Rail observations; not canonical until approved.
newport,97,0,104,1,Medium,Review-staged National Rail observations; not canonical until approved.
northampton,59,0,64,0,Medium,Review-staged National Rail observations; not canonical until approved.
norwich,107,0,226,1,Medium,Review-staged National Rail observations; not canonical until approved.
nottingham,97,0,70,1,Medium,Review-staged National Rail observations; not canonical until approved.
oxford,51,0,64,0,Medium,Review-staged National Rail observations; not canonical until approved.
peterborough,48,0,104,0,Medium,Review-staged National Rail observations; not canonical until approved.
plymouth,194,0,208,0,Medium,Review-staged National Rail observations; not canonical until approved.
portsmouth,92,0,204,1,Medium,Review-staged National Rail observations; not canonical until approved.
preston,132,0,108,0,Medium,Review-staged National Rail observations; not canonical until approved.
rhyl,165,0,125,1,Medium,Review-staged National Rail observations; not canonical until approved.
rotherham,144,1,90,1,Medium,Review-staged National Rail observations; not canonical until approved.
salford,174,3,123,2,Medium,Review-staged National Rail observations; not canonical until approved.
sheffield,124,0,61,0,Medium,Review-staged National Rail observations; not canonical until approved.
shrewsbury,156,1,61,0,Medium,Review-staged National Rail observations; not canonical until approved.
southampton,77,0,156,0,Medium,Review-staged National Rail observations; not canonical until approved.
southend-on-sea,57,0,191,2,Medium,Review-staged National Rail observations; not canonical until approved.
st-helens,136,1,129,1,Medium,Review-staged National Rail observations; not canonical until approved.
stafford,76,0,32,0,Medium,Review-staged National Rail observations; not canonical until approved.
stockport,117,0,80,0,Medium,Review-staged National Rail observations; not canonical until approved.
stockton-on-tees,202,2,207,2,Medium,Review-staged National Rail observations; not canonical until approved.
stoke-on-trent,91,0,49,0,Medium,Review-staged National Rail observations; not canonical until approved.
sunderland,210,1,211,1,Medium,Review-staged National Rail observations; not canonical until approved.
swansea,167,0,177,1,Medium,Review-staged National Rail observations; not canonical until approved.
swindon,50,0,109,1,Medium,Review-staged National Rail observations; not canonical until approved.
telford,133,1,38,0,Medium,Review-staged National Rail observations; not canonical until approved.
torbay,180,1,179,0,Medium,Review-staged National Rail observations; not canonical until approved.
wakefield,120,0,97,0,Medium,Review-staged National Rail observations; not canonical until approved.
walsall,119,1,22,0,Medium,Review-staged National Rail observations; not canonical until approved.
warrington,108,0,84,0,Medium,Review-staged National Rail observations; not canonical until approved.
wigan,119,0,95,0,Medium,Review-staged National Rail observations; not canonical until approved.
worcester,131,0,45,1,Medium,Review-staged National Rail observations; not canonical until approved.
york,113,0,112,0,Medium,Review-staged National Rail observations; not canonical until approved.
