location_id,location_name,origin_crs,origin_station_name,destination_id,destination_name,destination_planner_id,measurement_date,window_start_local,window_end_local,search_times_local,status,reason
barnsley,Barnsley,BNY,Barnsley,london,London (All Stations),182,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,pending,Use the direct Journey Planner collector; transcribe only values supported by retained JSON after review.
barnsley,Barnsley,BNY,Barnsley,birmingham,Birmingham New Street,BHM,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,pending,Use the direct Journey Planner collector; transcribe only values supported by retained JSON after review.
birmingham,Birmingham,BHM,Birmingham New Street,london,London (All Stations),182,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,pending,Use the direct Journey Planner collector; transcribe only values supported by retained JSON after review.
birmingham,Birmingham,BHM,Birmingham New Street,birmingham,Birmingham New Street,BHM,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,degenerate-zero,"Origin equals the fixed Birmingham New Street endpoint; record a zero-minute, zero-change self-route without collection."
blackburn,Blackburn,BBN,Blackburn,london,London (All Stations),182,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,pending,Use the direct Journey Planner collector; transcribe only values supported by retained JSON after review.
blackburn,Blackburn,BBN,Blackburn,birmingham,Birmingham New Street,BHM,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,pending,Use the direct Journey Planner collector; transcribe only values supported by retained JSON after review.
blackpool,Blackpool,BPN,Blackpool North,london,London (All Stations),182,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,pending,Use the direct Journey Planner collector; transcribe only values supported by retained JSON after review.
blackpool,Blackpool,BPN,Blackpool North,birmingham,Birmingham New Street,BHM,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,pending,Use the direct Journey Planner collector; transcribe only values supported by retained JSON after review.
bolton,Bolton,BON,Bolton,london,London (All Stations),182,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,pending,Use the direct Journey Planner collector; transcribe only values supported by retained JSON after review.
bolton,Bolton,BON,Bolton,birmingham,Birmingham New Street,BHM,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,pending,Use the direct Journey Planner collector; transcribe only values supported by retained JSON after review.
