location_id,topic,status,geography,source_period,artifact_hash,reason
barnsley,population,ready,E63008268,2021-03-21,b724c1208b7628c7c558156fcc619446486353a12d0b6e0bf388add225653dc6;a7f94e818336b528b14a259e96b3f0b554b00d24511abbfdc077724d537d9926,
barnsley,buy,review-required,Barnsley,,,Canonical observation has no matching retained row-level audit
barnsley,rent,review-required,Barnsley,,,Canonical observation has no matching retained row-level audit
barnsley,market,review-required,Barnsley,,,Imported baseline value has no retained row-level raw artifact
barnsley,localTransport,ready,E63008268,Q4 2024 transport and destination data; 2023 provisional BRES employment data,4f6589aeb3b3f51a26dae6d9d27c45188c36512a3dc052d848b4dc665cb16476,
barnsley,nationalTransport,review-required,Barnsley,,,Imported baseline value has no retained row-level raw artifact
barnsley,residentialEnvironment,ready,E63008268,2024 annual mean; 2021 strategic noise model; OS Open Greenspace 2026-04; EPCs 2012-2024,00e1d0532798d9f7a129d79b7b5f25fab6fc3cb0f282def3089948b05449f11a;0199e04fbf25e92aa31536e84632b303b2623fbe5a55403eee16424653b0f9f9;1b7e715936374c586efbe669d82e3f3d6d093dc5295c2d99ce6ea2349f85153a;3ad85a031e676546b9987c48cf3d60126e888f5969cfc8d2ba47aa255c930137;a0e8f44029c870c348f6a0319ab04f7d5d50913277488c55787084b357ee2bce;c8524b26c2d05c7e1d6693e5b1be0c40162eafa82a1e94c5d8da0ae6c03aa408;cb95c290ef004152cf78b637a7814b9591d32f111308dd85bd9e7810a5950ed7;cbc9ba7072bd4afb1f90897a872210ada7f20165fe400ef40d9417c238fb6ae0;d169e49479d817800be625dc75abb91870ddddfb0c1d7195f1d3fe2e98930c9d;e211da6c657c4d36dc0579a6de99f2b9428810d6184b6003afff7fa14aaf6443;e5e9b0e22a7f3b658fe11bca8a2fc29ea915d5963f7ec17ffbe92fbc484dafaf;f152217482fe7a0f2f950e47b83d4ccbe3d53c673ab05e4862160d1e5ac6862d,
barnsley,digitalConnectivity,ready,E63008268,January 2025 availability snapshot,0a6b308ef249fca55841f6c7ceab43cc8a9301743fcb1b9e68aa6a04cc78140e,
barnsley,crime,ready,E22000259,2025-04-01 to 2026-03-31,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f,
birmingham,population,ready,E63010038,2021-03-21,b724c1208b7628c7c558156fcc619446486353a12d0b6e0bf388add225653dc6;a7f94e818336b528b14a259e96b3f0b554b00d24511abbfdc077724d537d9926,
birmingham,buy,review-required,Birmingham,,,Canonical observation has no matching retained row-level audit
birmingham,rent,review-required,Birmingham,,,Canonical observation has no matching retained row-level audit
birmingham,market,review-required,Birmingham,,,Imported baseline value has no retained row-level raw artifact
birmingham,localTransport,ready,E63010038,Q4 2024 transport and destination data; 2023 provisional BRES employment data,4f6589aeb3b3f51a26dae6d9d27c45188c36512a3dc052d848b4dc665cb16476,
birmingham,nationalTransport,review-required,Birmingham,,,Imported baseline value has no retained row-level raw artifact
