location_id,country,noise_exposed_pct,baseline_quiet_percentile,country_calibrated_quiet_percentile,quiet_percentile_delta,epc_sap_mean,baseline_housing_environment_percentile,country_calibrated_housing_environment_percentile,housing_environment_percentile_delta,baseline_environment_index_0_100,baseline_score,quiet_calibrated_index_0_100,quiet_calibrated_score,housing_calibrated_index_0_100,housing_calibrated_score,both_calibrated_index_0_100,both_calibrated_score,maximum_absolute_band_change
bangor,Wales,37.177,38.748,34.563,-4.184,65.622,50.713,57.185,6.472,53.011,3,51.965,3,54.629,4,53.583,4,1
barnsley,England,34.505,50.722,50.574,-0.148,65.659,51.100,50.782,-0.318,58.384,4,58.347,4,58.305,4,58.268,4,0
bath,England,28.442,79.697,79.728,0.031,64.267,26.684,26.316,-0.368,59.668,4,59.675,4,59.576,4,59.583,4,0
birmingham,England,38.139,35.701,35.875,0.174,63.173,12.892,12.463,-0.429,31.131,1,31.175,1,31.024,1,31.067,1,0
blackburn,England,35.677,45.383,45.751,0.367,63.687,18.123,17.541,-0.583,40.990,2,41.082,2,40.844,2,40.936,2,0
blackpool,England,30.803,68.626,68.957,0.331,61.939,6.699,6.310,-0.389,48.274,3,48.356,3,48.176,3,48.259,3,0
bolton,England,37.599,37.361,37.578,0.216,64.642,30.614,29.994,-0.620,42.854,2,42.908,2,42.699,2,42.753,2,0
bournemouth-poole,England,27.928,80.801,80.873,0.072,65.805,54.590,54.358,-0.232,63.279,5,63.297,5,63.221,5,63.239,5,0
bradford,England,33.365,57.216,57.234,0.018,61.340,4.927,4.569,-0.358,37.971,2,37.975,2,37.881,2,37.886,2,0
bridgend,Wales,24.053,91.480,87.113,-4.367,68.573,91.324,97.476,6.152,72.590,5,71.498,5,74.128,5,73.036,5,0
brighton-hove,England,33.767,54.525,54.427,-0.099,65.432,46.336,45.992,-0.344,47.823,3,47.799,3,47.737,3,47.713,3,0
bristol,England,28.616,79.017,79.132,0.115,65.431,45.844,45.475,-0.369,63.953,5,63.982,5,63.861,5,63.890,5,0
burnley,England,50.552,10.308,10.256,-0.052,62.370,8.007,7.529,-0.478,44.395,2,44.382,2,44.276,2,44.263,2,0
burton-on-trent,England,38.968,31.160,31.492,0.332,65.119,38.596,38.114,-0.482,38.641,2,38.724,2,38.521,2,38.604,2,0
cambridge,England,31.617,65.478,65.799,0.322,68.880,93.361,93.113,-0.248,64.322,5,64.403,5,64.260,5,64.341,5,0
cardiff,Wales,35.420,46.912,51.333,4.422,66.559,69.490,78.187,8.697,60.648,4,61.754,4,62.823,4,63.928,5,1
cheltenham,England,26.269,86.394,86.614,0.221,65.953,57.592,57.466,-0.127,66.007,5,66.062,5,65.976,5,66.031,5,0
chester,England,39.117,30.869,31.192,0.323,66.619,70.695,70.231,-0.464,55.969,4,56.050,4,55.853,4,55.934,4,0
chesterfield,England,34.765,49.629,49.455,-0.174,64.915,35.808,35.357,-0.450,48.635,3,48.592,3,48.523,3,48.479,3,0
colchester,England,35.906,44.266,44.576,0.310,68.614,91.606,91.307,-0.299,62.925,5,63.002,5,62.850,5,62.927,4,1
coventry,England,35.177,48.133,47.929,-0.203,65.168,40.491,40.075,-0.416,43.141,2,43.090,2,43.037,2,42.986,2,0
darlington,England,34.353,51.398,51.236,-0.163,64.140,25.132,24.755,-0.377,55.823,4,55.782,4,55.728,4,55.688,4,0
derby,England,27.182,84.046,84.233,0.187,64.655,31.212,30.623,-0.589,48.848,3,48.895,3,48.701,3,48.748,3,0
doncaster,England,34.115,51.893,51.746,-0.148,64.695,31.834,31.262,-0.572,33.449,1,33.412,1,33.306,1,33.269,1,0
durham,England,39.402,29.932,30.226,0.294,68.107,87.500,87.094,-0.406,53.670,4,53.743,4,53.568,4,53.642,4,0
exeter,England,25.823,87.348,87.617,0.269,67.431,81.064,80.514,-0.550,76.011,5,76.078,5,75.874,5,75.941,5,0
gateshead,England,44.262,18.563,18.663,0.100,65.953,57.798,57.681,-0.116,54.557,4,54.582,4,54.528,4,54.553,4,0
gloucester,England,24.503,90.143,90.473,0.330,65.666,51.359,51.044,-0.315,70.327,5,70.410,5,70.249,5,70.331,5,0
halifax,England,38.780,31.855,31.894,0.039,61.502,5.333,4.975,-0.358,34.756,1,34.766,1,34.667,1,34.676,1,0
hartlepool,England,29.213,76.981,77.164,0.184,65.816,54.748,54.524,-0.224,61.381,4,61.427,4,61.325,4,61.371,4,0
huddersfield,England,36.294,41.710,41.966,0.256,63.505,15.538,14.995,-0.543,39.410,2,39.474,2,39.274,2,39.338,2,0
hull-kingston-upon-hull,England,20.798,96.839,97.062,0.224,65.782,54.431,54.234,-0.197,59.035,4,59.091,4,58.986,4,59.042,4,0
ipswich,England,36.165,43.315,43.653,0.338,65.718,52.447,52.171,-0.277,44.537,2,44.621,2,44.468,2,44.552,2,0
kettering,England,29.821,73.801,73.936,0.135,65.453,46.836,46.497,-0.339,54.243,4,54.276,4,54.158,4,54.192,4,0
lancaster,England,43.597,19.448,19.573,0.125,65.111,37.863,37.344,-0.519,56.981,4,57.012,4,56.851,4,56.883,4,0
leeds,England,36.276,42.784,43.095,0.311,64.841,34.531,34.054,-0.476,40.929,2,41.006,2,40.810,2,40.887,2,0
leicester,England,27.838,81.700,81.815,0.115,64.025,22.530,22.060,-0.470,49.558,3,49.587,3,49.441,3,49.470,3,0
lincoln,England,29.805,73.987,74.131,0.144,66.864,73.806,73.432,-0.374,55.233,4,55.269,4,55.139,4,55.175,4,0
liverpool,England,34.008,52.958,52.793,-0.165,65.858,56.125,55.971,-0.154,55.255,4,55.213,4,55.216,4,55.175,4,0
llanelli,Wales,39.983,29.108,22.858,-6.250,63.510,15.639,27.748,12.109,47.384,3,45.821,3,50.411,3,48.849,3,0
loughborough,England,29.560,75.207,75.351,0.144,66.437,66.368,66.505,0.136,52.694,3,52.730,3,52.728,3,52.764,3,0
luton,England,40.963,27.025,27.408,0.383,64.462,28.478,28.081,-0.397,32.728,1,32.824,1,32.629,1,32.725,1,0
manchester,England,41.841,23.387,23.657,0.270,67.486,82.035,81.479,-0.556,44.739,2,44.807,2,44.600,2,44.668,2,0
merthyr-tydfil,Wales,36.136,43.558,38.174,-5.384,65.543,48.908,55.933,7.025,61.908,4,60.562,4,63.664,5,62.318,4,1
middlesbrough,England,31.952,63.202,63.413,0.211,65.370,44.010,43.566,-0.444,58.498,4,58.551,4,58.387,4,58.440,4,0
milton-keynes,England,26.745,85.421,85.614,0.194,70.547,98.025,97.936,-0.089,81.501,5,81.550,5,81.479,5,81.528,5,0
neath,Wales,38.965,31.233,26.140,-5.092,65.032,37.289,47.946,10.657,49.529,3,48.256,3,52.193,3,50.920,3,0
newcastle-upon-tyne,England,41.426,25.533,25.893,0.360,66.982,75.751,75.321,-0.431,58.853,4,58.943,4,58.745,4,58.835,4,0
newport,Wales,38.798,31.696,31.085,-0.611,67.117,77.551,89.971,12.421,57.499,4,57.347,4,60.605,4,60.452,4,0
northampton,England,29.894,73.287,73.395,0.109,67.264,79.473,78.861,-0.612,62.717,5,62.744,5,62.564,4,62.591,4,1
norwich,England,28.040,80.595,80.659,0.064,66.536,68.295,68.524,0.228,55.534,4,55.550,4,55.591,4,55.607,4,0
nottingham,England,33.060,58.720,58.798,0.078,65.532,48.569,48.276,-0.294,47.554,3,47.574,3,47.481,3,47.500,3,0
