location_id,country,official_domain,bua_environment_index_0_100,bua_official_domain_rank_percentile,source_local_authority_codes,local_authority_domain_rank_percentile,bua_minus_local_authority_percentile,population_covered,population_expected,coverage_complete,use
bangor,Wales,WIMD 2025 Physical Environment,53.583,72.920287,W06000002,61.856217,11.064070,16994,16994,true,within-country validation and boundary diagnostic only
barnsley,England,English IoD 2025 Living Environment,58.268,55.904479,E08000016,59.990682,-4.086204,71394,71394,true,within-country validation and boundary diagnostic only
bath,England,English IoD 2025 Living Environment,59.583,44.216858,E06000022,53.285252,-9.068395,94080,94080,true,within-country validation and boundary diagnostic only
birmingham,England,English IoD 2025 Living Environment,31.067,31.573405,E07000234;E08000025;E08000028;E08000029,38.342076,-6.768671,1119786,1119786,true,within-country validation and boundary diagnostic only
blackburn,England,English IoD 2025 Living Environment,40.936,37.661271,E06000008;E07000120;E07000124,32.956573,4.704697,124958,124958,true,within-country validation and boundary diagnostic only
blackpool,England,English IoD 2025 Living Environment,48.259,26.975830,E06000009;E07000119;E07000128,41.089930,-14.114100,149087,149087,true,within-country validation and boundary diagnostic only
bolton,England,English IoD 2025 Living Environment,42.753,35.977979,E08000001,39.827916,-3.849936,184618,184618,true,within-country validation and boundary diagnostic only
bournemouth-poole,England,English IoD 2025 Living Environment,63.239,55.939047,E06000058,59.291904,-3.352857,337141,337141,true,within-country validation and boundary diagnostic only
bradford,England,English IoD 2025 Living Environment,37.886,27.302084,E08000032;E08000034;E08000035,37.032932,-9.730849,333968,333968,true,within-country validation and boundary diagnostic only
bridgend,Wales,WIMD 2025 Physical Environment,73.036,66.565020,W06000013;W06000014,61.038277,5.526743,51751,51751,true,within-country validation and boundary diagnostic only
brighton-hove,England,English IoD 2025 Living Environment,47.713,43.779306,E06000043,43.779306,-0.000000,277096,277096,true,within-country validation and boundary diagnostic only
bristol,England,English IoD 2025 Living Environment,63.890,38.897014,E06000023;E06000025,49.634198,-10.737184,425196,425196,true,within-country validation and boundary diagnostic only
burford,England,English IoD 2025 Living Environment,31.698,4.971115,E07000181,67.219799,-62.248683,1257,1257,true,within-country validation and boundary diagnostic only
burnley,England,English IoD 2025 Living Environment,44.263,26.645572,E07000117,26.692754,-0.047182,78266,78266,true,within-country validation and boundary diagnostic only
burton-on-trent,England,English IoD 2025 Living Environment,38.604,53.880893,E07000039;E07000193,59.188829,-5.307936,76031,76031,true,within-country validation and boundary diagnostic only
cambridge,England,English IoD 2025 Living Environment,64.341,49.427891,E07000008;E07000012,59.082087,-9.654196,152742,152742,true,within-country validation and boundary diagnostic only
cardiff,Wales,WIMD 2025 Physical Environment,63.928,17.872624,W06000014;W06000015,30.438739,-12.566115,347880,347880,true,within-country validation and boundary diagnostic only
cheltenham,England,English IoD 2025 Living Environment,66.031,57.798647,E07000078;E07000083,64.346765,-6.548119,115941,115941,true,within-country validation and boundary diagnostic only
chepstow,Wales,WIMD 2025 Physical Environment,81.817,81.953687,W06000021,57.469505,24.484182,11939,11939,true,within-country validation and boundary diagnostic only
chester,England,English IoD 2025 Living Environment,55.934,55.181590,E06000050;W06000005,59.001471,-3.819880,92756,92756,true,within-country validation and boundary diagnostic only
chesterfield,England,English IoD 2025 Living Environment,48.479,55.367354,E07000034;E07000038,60.666309,-5.298955,76394,76394,true,within-country validation and boundary diagnostic only
colchester,England,English IoD 2025 Living Environment,62.927,65.876101,E07000071;E07000076,58.733345,7.142756,130396,130396,true,within-country validation and boundary diagnostic only
coventry,England,English IoD 2025 Living Environment,42.986,43.529975,E07000222;E08000026,48.051461,-4.521486,343623,343623,true,within-country validation and boundary diagnostic only
darlington,England,English IoD 2025 Living Environment,55.688,52.523759,E06000005,54.029660,-1.505900,93058,93058,true,within-country validation and boundary diagnostic only
derby,England,English IoD 2025 Living Environment,48.748,50.567198,E06000015;E07000032;E07000039,51.544694,-0.977497,275561,275561,true,within-country validation and boundary diagnostic only
doncaster,England,English IoD 2025 Living Environment,33.269,49.671913,E08000017,57.499501,-7.827588,87094,87094,true,within-country validation and boundary diagnostic only
durham,England,English IoD 2025 Living Environment,53.642,60.552621,E06000047,57.009423,3.543199,50502,50502,true,within-country validation and boundary diagnostic only
exeter,England,English IoD 2025 Living Environment,75.941,55.810748,E07000041,55.738958,0.071790,126522,126522,true,within-country validation and boundary diagnostic only
gateshead,England,English IoD 2025 Living Environment,54.553,43.085923,E08000037,49.150113,-6.064190,114825,114825,true,within-country validation and boundary diagnostic only
gloucester,England,English IoD 2025 Living Environment,70.331,61.849510,E07000081;E07000083,67.554138,-5.704629,118562,118562,true,within-country validation and boundary diagnostic only
halifax,England,English IoD 2025 Living Environment,34.676,24.730055,E08000033,24.418705,0.311350,89394,89394,true,within-country validation and boundary diagnostic only
hartlepool,England,English IoD 2025 Living Environment,61.371,61.680508,E06000001,62.390988,-0.710480,88001,88001,true,within-country validation and boundary diagnostic only
hay-on-wye,Wales,English IoD 2025 Living Environment,58.752,69.846784,E06000019;W06000023,47.084207,22.762577,2065,2065,true,within-country validation and boundary diagnostic only
huddersfield,England,English IoD 2025 Living Environment,39.338,32.000617,E08000034,36.874001,-4.873385,140930,140930,true,within-country validation and boundary diagnostic only
