metric,pillar,tail,quality_direction,rank_within_tail,bua_code,bua_name,country,value,population_expected,is_candidate_component,review_status
air_burden,Clean air,lowest,best,1,W45000903,Dinas Cross,Wales,0.4366,484,false,reviewed-plausible
air_burden,Clean air,lowest,best,2,W45000814,Mynytho,Wales,0.4399,556,false,reviewed-plausible
air_burden,Clean air,lowest,best,3,W45000866,Pontrhydfendigaid,Wales,0.4403,312,false,reviewed-plausible
air_burden,Clean air,lowest,best,4,W45000834,Llwyngwril,Wales,0.4413,514,false,reviewed-plausible
air_burden,Clean air,lowest,best,5,W45000902,Newport (Pembrokeshire),Wales,0.4414,563,false,reviewed-plausible
air_burden,Clean air,highest,worst,1,E63012025,City and County of the City of London,England,2.2168,7820,false,reviewed-plausible
air_burden,Clean air,highest,worst,2,E63012036,City of Westminster,England,1.8308,203262,false,reviewed-plausible
air_burden,Clean air,highest,worst,3,E63012023,Tower Hamlets,England,1.8154,310303,false,reviewed-plausible
air_burden,Clean air,highest,worst,4,E63011980,Islington,England,1.7933,216751,false,reviewed-plausible
air_burden,Clean air,highest,worst,5,E63011985,Camden,England,1.7731,209342,false,reviewed-plausible
noise_exposed_pct,Quiet surroundings,lowest,best,1,E63007290,Kirkoswald,England,1.000,520,false,reviewed-plausible
noise_exposed_pct,Quiet surroundings,lowest,best,2,E63007511,Bootle (Cumberland),England,2.400,468,false,reviewed-plausible
noise_exposed_pct,Quiet surroundings,lowest,best,3,E63013730,West Thorney,England,2.500,1729,false,reviewed-plausible
noise_exposed_pct,Quiet surroundings,lowest,best,4,W45001181,Bettws,Wales,4.200,2237,false,reviewed-plausible
noise_exposed_pct,Quiet surroundings,lowest,best,5,E63014237,Hugh Town,England,5.600,950,false,reviewed-plausible
noise_exposed_pct,Quiet surroundings,highest,worst,1,E63012143,Horton (Windsor and Maidenhead),England,99.900,844,false,reviewed-plausible
noise_exposed_pct,Quiet surroundings,highest,worst,2,E63012123,Poyle,England,99.900,1736,false,reviewed-plausible
noise_exposed_pct,Quiet surroundings,highest,worst,3,E63012106,Colnbrook,England,99.839,1898,false,reviewed-plausible
noise_exposed_pct,Quiet surroundings,highest,worst,4,E63012104,Datchet,England,99.753,4807,false,reviewed-plausible
noise_exposed_pct,Quiet surroundings,highest,worst,5,E63012146,Stanwell Moor,England,99.700,1431,false,reviewed-plausible
green_within_300m_pct,Green-space proximity,lowest,worst,1,E63007097,Cornhill on Tweed,England,0.000,326,false,reviewed-plausible
green_within_300m_pct,Green-space proximity,lowest,worst,2,E63007104,Embleton,England,0.000,350,false,reviewed-plausible
green_within_300m_pct,Green-space proximity,lowest,worst,3,E63007108,Whittingham,England,0.000,228,false,reviewed-plausible
green_within_300m_pct,Green-space proximity,lowest,worst,4,E63007115,Thropton,England,0.000,441,false,reviewed-plausible
green_within_300m_pct,Green-space proximity,lowest,worst,5,E63007119,South Broomhill,England,0.000,1520,false,reviewed-plausible
green_within_300m_pct,Green-space proximity,highest,best,1,W45001231,Llanmaes,Wales,100.000,413,false,reviewed-plausible
green_within_300m_pct,Green-space proximity,highest,best,2,W45001226,Wick (Vale of Glamorgan),Wales,100.000,926,false,reviewed-plausible
green_within_300m_pct,Green-space proximity,highest,best,3,W45001219,Colwinston,Wales,100.000,619,false,reviewed-plausible
