location_id,scenario,pillar_weights,q20,q40,q60,q80,scenario_index_0_100,scenario_score,baseline_score,absolute_band_change,changes_more_than_one_band
bangor,leave_out_air,air=0.000000;quiet=33.333333;green=33.333333;housing_environment=33.333333,35.135333,46.381333,54.314333,63.896667,38.730333,2,4,2,true
barnsley,leave_out_air,air=0.000000;quiet=33.333333;green=33.333333;housing_environment=33.333333,35.135333,46.381333,54.314333,63.896667,62.714333,4,4,0,false
bath,leave_out_air,air=0.000000;quiet=33.333333;green=33.333333;housing_environment=33.333333,35.135333,46.381333,54.314333,63.896667,54.459333,4,4,0,false
birmingham,leave_out_air,air=0.000000;quiet=33.333333;green=33.333333;housing_environment=33.333333,35.135333,46.381333,54.314333,63.896667,35.135333,2,1,1,false
blackburn,leave_out_air,air=0.000000;quiet=33.333333;green=33.333333;housing_environment=33.333333,35.135333,46.381333,54.314333,63.896667,30.621667,1,2,1,false
blackpool,leave_out_air,air=0.000000;quiet=33.333333;green=33.333333;housing_environment=33.333333,35.135333,46.381333,54.314333,63.896667,33.996333,1,3,2,true
bolton,leave_out_air,air=0.000000;quiet=33.333333;green=33.333333;housing_environment=33.333333,35.135333,46.381333,54.314333,63.896667,43.470667,2,2,0,false
bournemouth-poole,leave_out_air,air=0.000000;quiet=33.333333;green=33.333333;housing_environment=33.333333,35.135333,46.381333,54.314333,63.896667,58.582667,4,5,1,false
bradford,leave_out_air,air=0.000000;quiet=33.333333;green=33.333333;housing_environment=33.333333,35.135333,46.381333,54.314333,63.896667,41.336000,2,2,0,false
bridgend,leave_out_air,air=0.000000;quiet=33.333333;green=33.333333;housing_environment=33.333333,35.135333,46.381333,54.314333,63.896667,67.461000,5,5,0,false
brighton-hove,leave_out_air,air=0.000000;quiet=33.333333;green=33.333333;housing_environment=33.333333,35.135333,46.381333,54.314333,63.896667,43.274667,2,3,1,false
bristol,leave_out_air,air=0.000000;quiet=33.333333;green=33.333333;housing_environment=33.333333,35.135333,46.381333,54.314333,63.896667,69.059667,5,5,0,false
burford,leave_out_air,air=0.000000;quiet=33.333333;green=33.333333;housing_environment=33.333333,35.135333,46.381333,54.314333,63.896667,13.743333,1,1,0,false
burnley,leave_out_air,air=0.000000;quiet=33.333333;green=33.333333;housing_environment=33.333333,35.135333,46.381333,54.314333,63.896667,34.482333,1,2,1,false
burton-on-trent,leave_out_air,air=0.000000;quiet=33.333333;green=33.333333;housing_environment=33.333333,35.135333,46.381333,54.314333,63.896667,32.223000,1,2,1,false
cambridge,leave_out_air,air=0.000000;quiet=33.333333;green=33.333333;housing_environment=33.333333,35.135333,46.381333,54.314333,63.896667,70.689000,5,5,0,false
cardiff,leave_out_air,air=0.000000;quiet=33.333333;green=33.333333;housing_environment=33.333333,35.135333,46.381333,54.314333,63.896667,66.829333,5,5,0,false
cheltenham,leave_out_air,air=0.000000;quiet=33.333333;green=33.333333;housing_environment=33.333333,35.135333,46.381333,54.314333,63.896667,64.526667,5,5,0,false
chepstow,leave_out_air,air=0.000000;quiet=33.333333;green=33.333333;housing_environment=33.333333,35.135333,46.381333,54.314333,63.896667,79.550333,5,5,0,false
chester,leave_out_air,air=0.000000;quiet=33.333333;green=33.333333;housing_environment=33.333333,35.135333,46.381333,54.314333,63.896667,49.684000,3,4,1,false
chesterfield,leave_out_air,air=0.000000;quiet=33.333333;green=33.333333;housing_environment=33.333333,35.135333,46.381333,54.314333,63.896667,45.688667,2,3,1,false
colchester,leave_out_air,air=0.000000;quiet=33.333333;green=33.333333;housing_environment=33.333333,35.135333,46.381333,54.314333,63.896667,68.713000,5,4,1,false
coventry,leave_out_air,air=0.000000;quiet=33.333333;green=33.333333;housing_environment=33.333333,35.135333,46.381333,54.314333,63.896667,46.945000,3,2,1,false
darlington,leave_out_air,air=0.000000;quiet=33.333333;green=33.333333;housing_environment=33.333333,35.135333,46.381333,54.314333,63.896667,45.666000,2,4,2,true
