location_id,category,csp_code,csp_name,force_code,force_name,period_start,period_end,count,population,population_period,population_rounding,published_rate_per_1000,force_count,force_unallocated_count,coverage,evidence_id,source_url,retrieval_date,source_cells,source_sha256
barnsley,violence_against_person,E22000259,Barnsley,E23000011,South Yorkshire,2025-04-01,2026-03-31,9210,251800,mid-2024,nearest 100,36.581006474162926,54042,641,Published annual CSP total; monthly completeness not independently verified,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,Table C2!H307; Table C4!G307; Table C4!J307,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f
barnsley,sexual_offences,E22000259,Barnsley,E23000011,South Yorkshire,2025-04-01,2026-03-31,886,251800,mid-2024,nearest 100,3.5190848790562814,5705,389,Published annual CSP total; monthly completeness not independently verified,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,Table C2!N307; Table C4!G307; Table C4!P307,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f
birmingham,violence_against_person,E22000335,Birmingham,E23000014,West Midlands,2025-04-01,2026-03-31,54628,1183600,mid-2024,nearest 100,46.153404223322049,120341,1301,Published annual CSP total; monthly completeness not independently verified,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,Table C2!H389; Table C4!G389; Table C4!J389,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f
birmingham,sexual_offences,E22000335,Birmingham,E23000014,West Midlands,2025-04-01,2026-03-31,5734,1183600,mid-2024,nearest 100,4.8444684011226595,12069,233,Published annual CSP total; monthly completeness not independently verified,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,Table C2!N389; Table C4!G389; Table C4!P389,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f
blackburn,violence_against_person,E22000150,Blackburn with Darwen,E23000003,Lancashire,2025-04-01,2026-03-31,5943,162500,mid-2024,nearest 100,36.563307493540051,56236,980,Published annual CSP total; monthly completeness not independently verified,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,Table C2!H177; Table C4!G177; Table C4!J177,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f
blackburn,sexual_offences,E22000150,Blackburn with Darwen,E23000003,Lancashire,2025-04-01,2026-03-31,551,162500,mid-2024,nearest 100,3.3899347852836228,5950,183,Published annual CSP total; monthly completeness not independently verified,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,Table C2!N177; Table C4!G177; Table C4!P177,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f
blackpool,violence_against_person,E22000151,Blackpool,E23000003,Lancashire,2025-04-01,2026-03-31,9949,144200,mid-2024,nearest 100,68.998758591035511,56236,980,Published annual CSP total; monthly completeness not independently verified,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,Table C2!H178; Table C4!G178; Table C4!J178,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f
blackpool,sexual_offences,E22000151,Blackpool,E23000003,Lancashire,2025-04-01,2026-03-31,989,144200,mid-2024,nearest 100,6.8589579099943823,5950,183,Published annual CSP total; monthly completeness not independently verified,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,Table C2!N178; Table C4!G178; Table C4!P178,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f
bolton,violence_against_person,E22000099,Bolton,E23000005,Greater Manchester,2025-04-01,2026-03-31,13243,310100,mid-2024,nearest 100,42.707644678072143,125640,205,Published annual CSP total; monthly completeness not independently verified,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,Table C2!H111; Table C4!G111; Table C4!J111,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f
bolton,sexual_offences,E22000099,Bolton,E23000005,Greater Manchester,2025-04-01,2026-03-31,1232,310100,mid-2024,nearest 100,3.9731041488624084,12751,23,Published annual CSP total; monthly completeness not independently verified,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,Table C2!N111; Table C4!G111; Table C4!P111,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f
