location_id,geography_code,geography_name
barnsley,E63008268,Barnsley
birmingham,E63010038,Birmingham
blackburn,E63007969,Blackburn (Blackburn with Darwen)
blackpool,E63007890,Blackpool
bolton,E63008201,Bolton (Bolton)
bradford,E63007920,Bradford
burnley,E63007907,Burnley
burton-on-trent,E63009360,Burton upon Trent
cardiff,W45001208,Cardiff
chester,K08000011,Chester
chesterfield,E63008717,Chesterfield
coventry,E63010120,Coventry
darlington,E63007428,Darlington
derby,E63009183,Derby
doncaster,E63008314,Doncaster
gateshead,E63007200,Gateshead
gloucester,E63011389,Gloucester
halifax,E63007966,Halifax
hartlepool,E63007337,Hartlepool
huddersfield,E63008114,Huddersfield
hull-kingston-upon-hull,E63007930,Kingston upon Hull
ipswich,E63010852,Ipswich
kettering,E63010129,Kettering
lancaster,E63007656,Lancaster
leeds,E63007883,Leeds (Leeds)
leicester,E63009743,Leicester
lincoln,E63008729,Lincoln
liverpool,E63008477,Liverpool
loughborough,E63009412,Loughborough
manchester,E63008401,Manchester
merthyr-tydfil,W45001012,Merthyr Tydfil
middlesbrough,E63007408,Middlesbrough
neath,W45001091,Neath
newcastle-upon-tyne,E63007169,Newcastle upon Tyne
newport,W45001174,Newport (Newport)
northampton,E63010463,Northampton
norwich,E63009624,Norwich
nottingham,E63009088,Nottingham
peterborough,E63009810,Peterborough
plymouth,E63014082,Plymouth
portsmouth,E63013748,Portsmouth
preston,E63007926,Preston (Preston)
rotherham,E63008458,Rotherham
salford,E63008377,Salford
sheffield,E63008489,Sheffield
shrewsbury,E63009578,Shrewsbury
st-helens,E63008434,St Helens (St. Helens)
stafford,E63009353,Stafford
stockport,E63008478,Stockport
stockton-on-tees,E63007405,Stockton-on-Tees
stoke-on-trent,E63009014,Stoke-on-Trent
sunderland,E63007220,Sunderland
swansea,W45001113,Swansea
swindon,E63011979,Swindon (Swindon)
telford,E63009565,Telford
torbay,E63014039,Torquay
torbay,E63014055,Paignton
torbay,E63014084,Brixham
wakefield,E63008062,Wakefield
walsall,E63009845,Walsall
warrington,E63008488,Warrington
wigan,E63008282,Wigan
wolverhampton,E63009805,Wolverhampton
worcester,E63010595,Worcester
wrexham,W45000777,Wrexham
bristol,E63012168,Bristol
southampton,E63013524,Southampton
bournemouth-poole,E63013847,Bournemouth
bournemouth-poole,E63013860,Poole
brighton-hove,E63013666,Brighton and Hove
exeter,E63013856,Exeter
reading,E63012182,Reading
milton-keynes,E63010901,Milton Keynes
luton,E63011256,Luton
southend-on-sea,E63011939,Southend-on-Sea
cambridge,E63010556,Cambridge (Cambridge)
colchester,E63011220,Colchester
oxford,E63011595,Oxford
bath,E63012364,Bath
bridgend,W45001212,Bridgend
llanelli,W45001070,Llanelli
bangor,W45000697,Bangor
rhyl,W45000645,Rhyl
york,E63007706,York
durham,E63007282,Durham
cheltenham,E63011286,Cheltenham
newbridge,W45001098,Newbridge
burford,E63011479,Burford
rye,E63013389,Rye
tenby,W45001069,Tenby
chepstow,W45001132,Chepstow
hay-on-wye,K08000019,Hay-on-Wye
narberth,W45000950,Narberth
