id,name,country,localAuthority,lat,lon
barnsley,Barnsley,England,Barnsley,53.553523,-1.482593
birmingham,Birmingham,England,Birmingham,52.479284,-1.902941
blackburn,Blackburn,England,Blackburn with Darwen,53.750073,-2.481528
blackpool,Blackpool,England,Blackpool,53.82086,-3.051542
bolton,Bolton,England,Bolton,53.577709,-2.431041
bradford,Bradford,England,Bradford,53.790778,-1.754561
burnley,Burnley,England,Burnley,53.787517,-2.24439
burton-on-trent,Burton-on-Trent,England,East Staffordshire,52.807376,-1.644791
cardiff,Cardiff,Wales,Cardiff,51.480005,-3.176855
chester,Chester,England,Cheshire West and Chester,53.190204,-2.891644
chesterfield,Chesterfield,England,Chesterfield,53.23633,-1.429206
coventry,Coventry,England,Coventry,52.407707,-1.506857
darlington,Darlington,England,Darlington,54.523274,-1.553611
derby,Derby,England,Derby,52.924693,-1.478054
doncaster,Doncaster,England,Doncaster,53.522723,-1.132352
gateshead,Gateshead,England,Gateshead,54.959914,-1.604945
gloucester,Gloucester,England,Gloucester,51.86455,-2.246934
halifax,Halifax,England,Calderdale,53.722827,-1.860176
hartlepool,Hartlepool,England,Hartlepool,54.685388,-1.212911
huddersfield,Huddersfield,England,Kirklees,53.644281,-1.782201
hull-kingston-upon-hull,Hull (Kingston upon Hull),England,"Kingston upon Hull, City of",53.744587,-0.332576
ipswich,Ipswich,England,Ipswich,52.057066,1.152832
kettering,Kettering,England,North Northamptonshire,52.399947,-0.728307
lancaster,Lancaster,England,Lancaster,54.050069,-2.803161
leeds,Leeds,England,Leeds,53.800703,-1.550264
leicester,Leicester,England,Leicester,52.633614,-1.133462
lincoln,Lincoln,England,Lincoln,53.234841,-0.53844
liverpool,Liverpool,England,Liverpool,53.40935,-2.978495
loughborough,Loughborough,England,Charnwood,52.7721,-1.206164
manchester,Manchester,England,Manchester,53.47894,-2.245278
merthyr-tydfil,Merthyr Tydfil,Wales,Merthyr Tydfil,51.745911,-3.378347
middlesbrough,Middlesbrough,England,Middlesbrough,54.576431,-1.236825
neath,Neath,Wales,Neath Port Talbot,51.664226,-3.803389
newcastle-upon-tyne,Newcastle upon Tyne,England,Newcastle upon Tyne,54.978011,-1.610189
newport,Newport,Wales,Newport,51.587902,-2.996742
northampton,Northampton,England,West Northamptonshire,52.237858,-0.895046
norwich,Norwich,England,Norwich,52.628869,1.293307
nottingham,Nottingham,England,Nottingham,52.956196,-1.151204
peterborough,Peterborough,England,Peterborough,52.572509,-0.242498
plymouth,Plymouth,England,Plymouth,50.370015,-4.142068
portsmouth,Portsmouth,England,Portsmouth,50.79685,-1.09117
preston,Preston,England,Preston,53.760554,-2.698528
rotherham,Rotherham,England,Rotherham,53.43072,-1.354738
salford,Salford,England,Salford,53.480643,-2.294998
sheffield,Sheffield,England,Sheffield,53.382508,-1.468536
shrewsbury,Shrewsbury,England,Shropshire,52.708167,-2.754329
st-helens,St Helens,England,St. Helens,53.455338,-2.738189
stafford,Stafford,England,Stafford,52.8058,-2.116656
stockport,Stockport,England,Stockport,53.408023,-2.158961
stockton-on-tees,Stockton-on-Tees,England,Stockton-on-Tees,54.563971,-1.312668
stoke-on-trent,Stoke-on-Trent,England,Stoke-on-Trent,53.022184,-2.173369
sunderland,Sunderland,England,Sunderland,54.902165,-1.383803
swansea,Swansea,Wales,Swansea,51.62011,-3.941418
swindon,Swindon,England,Swindon,51.561532,-1.785458
telford,Telford,England,Telford and Wrekin,52.675404,-2.448752
torbay,Torbay,England,Torbay,50.468826,-3.531407
wakefield,Wakefield,England,Wakefield,53.683704,-1.498169
walsall,Walsall,England,Walsall,52.586221,-1.980341
warrington,Warrington,England,Warrington,53.38957,-2.590897
wigan,Wigan,England,Wigan,53.545539,-2.629695
wolverhampton,Wolverhampton,England,Wolverhampton,52.586205,-2.129916
worcester,Worcester,England,Worcester,52.192932,-2.221088
wrexham,Wrexham,Wales,Wrexham,53.047921,-2.994781
bristol,Bristol,England,"Bristol, City of",51.454513,-2.58791
southampton,Southampton,England,Southampton,50.9097,-1.404351
bournemouth-poole,Bournemouth–Poole,England,"Bournemouth, Christchurch and Poole",50.758,-1.879
brighton-hove,Brighton & Hove,England,Brighton and Hove,50.82253,-0.137163
exeter,Exeter,England,Exeter,50.718412,-3.533899
reading,Reading,England,Reading,51.454264,-0.97813
milton-keynes,Milton Keynes,England,Milton Keynes,52.040623,-0.759417
luton,Luton,England,Luton,51.87867,-0.420025
southend-on-sea,Southend-on-Sea,England,Southend-on-Sea,51.545926,0.707713
cambridge,Cambridge,England,Cambridge,52.205337,0.121817
colchester,Colchester,England,Colchester,51.88921,0.90421
oxford,Oxford,England,Oxford,51.752021,-1.257726
bath,Bath,England,Bath and North East Somerset,51.381064,-2.359016
bridgend,Bridgend,Wales,Bridgend,51.505829,-3.576945
llanelli,Llanelli,Wales,Carmarthenshire,51.681,-4.161
bangor,Bangor,Wales,Gwynedd,53.227409,-4.129263
rhyl,Rhyl,Wales,Denbighshire,53.319141,-3.491635
york,York,England,York,53.959055,-1.081536
durham,Durham,England,County Durham,54.77525,-1.584852
