location_id,population,census_date,retrieval_date,evidence_id,geography_code,geography_name,geography_vintage,method_version,confidence,reason
bangor,16994,2021-03-21,2026-09-09,POP-ONS-CENSUS-2021-BUA24,W45000697,Bangor,April 2024,census2021-ts001-bua24-v1,High,Sum of Census 2021 usual residents in Output Areas assigned by the official best-fit lookup to Bangor; Reviewed official BUA name corresponds directly to the broad screen location.
barnsley,71394,2021-03-21,2026-09-09,POP-ONS-CENSUS-2021-BUA24,E63008268,Barnsley,April 2024,census2021-ts001-bua24-v1,High,Sum of Census 2021 usual residents in Output Areas assigned by the official best-fit lookup to Barnsley; Reviewed official BUA name corresponds directly to the broad screen location.
bath,94080,2021-03-21,2026-09-09,POP-ONS-CENSUS-2021-BUA24,E63012364,Bath,April 2024,census2021-ts001-bua24-v1,High,Sum of Census 2021 usual residents in Output Areas assigned by the official best-fit lookup to Bath; Reviewed official BUA name corresponds directly to the broad screen location.
birmingham,1119786,2021-03-21,2026-09-09,POP-ONS-CENSUS-2021-BUA24,E63010038,Birmingham,April 2024,census2021-ts001-bua24-v1,High,Sum of Census 2021 usual residents in Output Areas assigned by the official best-fit lookup to Birmingham; Reviewed official BUA name corresponds directly to the broad screen location.
blackburn,124958,2021-03-21,2026-09-09,POP-ONS-CENSUS-2021-BUA24,E63007969,Blackburn (Blackburn with Darwen),April 2024,census2021-ts001-bua24-v1,High,Sum of Census 2021 usual residents in Output Areas assigned by the official best-fit lookup to Blackburn (Blackburn with Darwen); Reviewed official BUA name corresponds to the screen location Blackburn.
blackpool,149087,2021-03-21,2026-09-09,POP-ONS-CENSUS-2021-BUA24,E63007890,Blackpool,April 2024,census2021-ts001-bua24-v1,High,Sum of Census 2021 usual residents in Output Areas assigned by the official best-fit lookup to Blackpool; Reviewed official BUA name corresponds directly to the broad screen location.
bolton,184618,2021-03-21,2026-09-09,POP-ONS-CENSUS-2021-BUA24,E63008201,Bolton (Bolton),April 2024,census2021-ts001-bua24-v1,High,Sum of Census 2021 usual residents in Output Areas assigned by the official best-fit lookup to Bolton (Bolton); Reviewed official BUA name corresponds to the screen location Bolton.
bournemouth-poole,337141,2021-03-21,2026-09-09,POP-ONS-CENSUS-2021-BUA24,E63013847;E63013860,Bournemouth + Poole,April 2024,census2021-ts001-bua24-v1,High,"Sum of Census 2021 usual residents in Output Areas assigned by the official best-fit lookup to Bournemouth, Poole; Reviewed composite represents the named two-settlement location using the Bournemouth and Poole BUAs."
bradford,333968,2021-03-21,2026-09-09,POP-ONS-CENSUS-2021-BUA24,E63007920,Bradford,April 2024,census2021-ts001-bua24-v1,High,Sum of Census 2021 usual residents in Output Areas assigned by the official best-fit lookup to Bradford; Reviewed official BUA name corresponds directly to the broad screen location.
bridgend,51751,2021-03-21,2026-09-09,POP-ONS-CENSUS-2021-BUA24,W45001212,Bridgend,April 2024,census2021-ts001-bua24-v1,High,Sum of Census 2021 usual residents in Output Areas assigned by the official best-fit lookup to Bridgend; Reviewed official BUA name corresponds directly to the broad screen location.
