location_id,proxyMonthly,affordabilityConfidence,oneBedCount,affordabilityReason
barnsley,505,Medium,21,Official one-bedroom modelled average for Barnsley LA; underlying observation count is not published in the table.
birmingham,825,Medium,1257,Official one-bedroom modelled average for Birmingham LA; underlying observation count is not published in the table.
blackburn,534,Medium,2,Official one-bedroom modelled average for Blackburn with Darwen LA; underlying observation count is not published in the table and the LA is broader than the named town.
blackpool,498,Medium,75,Official one-bedroom modelled average for Blackpool LA; underlying observation count is not published in the table.
bolton,647,Medium,78,Official one-bedroom modelled average for Bolton LA; underlying observation count is not published in the table.
bradford,553,Medium,91,Official one-bedroom modelled average for Bradford LA; underlying observation count is not published in the table.
burnley,463,Medium,22,Official one-bedroom modelled average for Burnley LA; underlying observation count is not published in the table.
burton-on-trent,610,Medium,34,Official one-bedroom modelled average for East Staffordshire LA; underlying observation count is not published in the table and the LA is broader than the named town.
cardiff,902,Medium,468,Official one-bedroom modelled average for Cardiff LA; underlying observation count is not published in the table.
chester,721,Medium,54,Official one-bedroom modelled average for Cheshire West and Chester LA; underlying observation count is not published in the table and the LA is broader than the named town.
chesterfield,538,Medium,31,Official one-bedroom modelled average for Chesterfield LA; underlying observation count is not published in the table.
coventry,759,Medium,184,Official one-bedroom modelled average for Coventry LA; underlying observation count is not published in the table.
darlington,494,Medium,24,Official one-bedroom modelled average for Darlington LA; underlying observation count is not published in the table.
derby,606,Medium,214,Official one-bedroom modelled average for Derby LA; underlying observation count is not published in the table.
doncaster,491,Medium,27,Official one-bedroom modelled average for Doncaster LA; underlying observation count is not published in the table.
gateshead,587,Medium,27,Official one-bedroom modelled average for Gateshead LA; underlying observation count is not published in the table.
gloucester,743,Medium,65,Official one-bedroom modelled average for Gloucester LA; underlying observation count is not published in the table.
halifax,546,Medium,49,Official one-bedroom modelled average for Calderdale LA; underlying observation count is not published in the table and the LA is broader than the named town.
hartlepool,400,Medium,9,Official one-bedroom modelled average for Hartlepool LA; underlying observation count is not published in the table.
huddersfield,582,Medium,91,Official one-bedroom modelled average for Kirklees LA; underlying observation count is not published in the table and the LA is broader than the named town.
hull-kingston-upon-hull,498,Medium,128,"Official one-bedroom modelled average for Kingston upon Hull, City of LA; underlying observation count is not published in the table."
ipswich,743,Medium,80,Official one-bedroom modelled average for Ipswich LA; underlying observation count is not published in the table.
kettering,681,Medium,30,Official one-bedroom modelled average for North Northamptonshire LA; underlying observation count is not published in the table and the LA is broader than the named town.
lancaster,596,Medium,9,Official one-bedroom modelled average for Lancaster LA; underlying observation count is not published in the table.
leeds,779,Medium,627,Official one-bedroom modelled average for Leeds LA; underlying observation count is not published in the table.
leicester,717,Medium,386,Official one-bedroom modelled average for Leicester LA; underlying observation count is not published in the table.
lincoln,661,Medium,68,Official one-bedroom modelled average for Lincoln LA; underlying observation count is not published in the table.
liverpool,683,Medium,347,Official one-bedroom modelled average for Liverpool LA; underlying observation count is not published in the table.
loughborough,677,Medium,20,Official one-bedroom modelled average for Charnwood LA; underlying observation count is not published in the table and the LA is broader than the named town.
manchester,998,Medium,1456,Official one-bedroom modelled average for Manchester LA; underlying observation count is not published in the table.
merthyr-tydfil,552,Medium,3,Official one-bedroom modelled average for Merthyr Tydfil LA; underlying observation count is not published in the table.
middlesbrough,499,Medium,50,Official one-bedroom modelled average for Middlesbrough LA; underlying observation count is not published in the table.
neath,498,Medium,3,Official one-bedroom modelled average for Neath Port Talbot LA; underlying observation count is not published in the table and the LA is broader than the named town.
newcastle-upon-tyne,810,Medium,124,Official one-bedroom modelled average for Newcastle upon Tyne LA; underlying observation count is not published in the table.
