location_id,air_burden,no2_ug_m3,pm25_ug_m3,pm10_ug_m3,noise_exposed_pct,green_within_300m_pct,green_area_within_1000m_m2,epc_sap_mean,air_percentile,quiet_percentile,green_percentile,housing_environment_percentile,environment_index_0_100,national_percentile,score,air_period,quiet_period,green_period,housing_environment_period,air_evidence_id,quiet_evidence_id,green_evidence_id,housing_environment_evidence_id,geography_code,geography_vintage,air_population_covered,quiet_population_covered,green_population_covered,housing_environment_population_covered,population_expected,method_version,confidence,reason
bangor,0.6178,4.469,4.563,7.407,37.177,66.894,41731.55,65.622,98.142,38.748,24.443,50.713,53.011,58.616,3,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,W45000697,April 2024,16994,16994,16994,16994,16994,residential-environment-bua24-v2,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, and green space uses current OA origins and the union of eligible OS Open Greenspace polygons."
barnsley,1.0578,9.524,7.220,11.654,34.505,80.991,301778.99,65.659,44.928,50.722,86.787,51.100,58.384,69.365,4,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,E63008268,April 2024,71394,71394,71394,71394,71394,residential-environment-bua24-v2,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, and green space uses current OA origins and the union of eligible OS Open Greenspace polygons."
bath,0.8985,7.782,6.279,9.921,28.442,76.351,172606.05,64.267,74.955,79.697,57.334,26.684,59.668,72.888,4,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,E63012364,April 2024,94080,94080,94080,94080,94080,residential-environment-bua24-v2,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, and green space uses current OA origins and the union of eligible OS Open Greenspace polygons."
birmingham,1.2895,14.575,7.890,12.493,38.139,65.533,264277.58,63.173,18.864,35.701,57.068,12.892,31.131,10.796,1,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,E63010038,April 2024,1119786,1119786,1119786,1119786,1119786,residential-environment-bua24-v2,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, and green space uses current OA origins and the union of eligible OS Open Greenspace polygons."
blackburn,0.9160,8.363,6.308,9.753,35.677,55.800,174226.15,63.687,71.879,45.383,28.573,18.123,40.990,29.400,2,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,E63007969,April 2024,124958,124958,124958,124958,124958,residential-environment-bua24-v2,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, and green space uses current OA origins and the union of eligible OS Open Greenspace polygons."
blackpool,0.7489,6.276,5.386,8.128,30.803,59.307,144534.93,61.939,91.048,68.626,26.722,6.699,48.274,48.132,3,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,E63007890,April 2024,149087,149087,149087,149087,149087,residential-environment-bua24-v2,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, and green space uses current OA origins and the union of eligible OS Open Greenspace polygons."
bolton,1.0831,11.504,6.882,10.835,37.599,73.558,230517.01,64.642,40.599,37.361,62.840,30.614,42.854,33.912,2,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,E63008201,April 2024,184618,184618,184618,184618,184618,residential-environment-bua24-v2,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, and green space uses current OA origins and the union of eligible OS Open Greenspace polygons."
bournemouth-poole,0.8823,8.550,5.950,9.029,27.928,64.539,191735.21,65.805,77.207,80.801,40.517,54.590,63.279,81.013,5,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,E63013847;E63013860,April 2024,337141,337141,337141,337141,337141,residential-environment-bua24-v2,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, and green space uses current OA origins and the union of eligible OS Open Greenspace polygons."
bradford,1.1775,13.017,7.378,11.328,33.365,77.237,187716.40,61.340,27.535,57.216,62.205,4.927,37.971,21.510,2,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,E63007920,April 2024,333968,333968,333968,333968,333968,residential-environment-bua24-v2,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, and green space uses current OA origins and the union of eligible OS Open Greenspace polygons."
bridgend,0.7626,7.138,5.045,8.477,24.053,60.352,66269.04,68.573,89.762,91.480,17.794,91.324,72.590,92.168,5,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,W45001212,April 2024,51751,51751,51751,51751,51751,residential-environment-bua24-v2,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, and green space uses current OA origins and the union of eligible OS Open Greenspace polygons."
