relative_path,original_url,request_query,retrieved_at,data_period,sha256,byte_size,mime_type,publisher,licence_or_terms,coverage_limitations
iod2025-domains-v2.xlsx,https://assets.publishing.service.gov.uk/media/691decfae39a085bda43efcd/File_2_IoD2025_Domains_of_Deprivation.xlsx,,2026-09-10T14:52:49Z,"English IoD 2025 domains, corrected v2",c8524b26c2d05c7e1d6693e5b1be0c40162eafa82a1e94c5d8da0ae6c03aa408,4337372,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Ministry of Housing Communities and Local Government,Open Government Licence v3.0,England only; official relative ranks are used solely for within-country validation.
iod2025-underlying-indicators-v2.xlsx,https://assets.publishing.service.gov.uk/media/691dec012c6b98ecdbc500d4/File_8_IoD2025_Underlying_Indicators.xlsx,,2026-09-09T17:51:13Z,"English IoD 2025 underlying indicators, corrected v2",cbc9ba7072bd4afb1f90897a872210ada7f20165fe400ef40d9417c238fb6ae0,14500506,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Ministry of Housing Communities and Local Government,Open Government Licence v3.0,England only; noise includes major-airport exposure and published fields apply shrinkage.
wimd2025-physical-environment.csv,https://stats.gov.wales/en-GB/2f8dfe38-bfa8-4f61-bc34-1d84d470a940/download,"view_type=unfiltered&format=csv&view_choice=raw&extended=yes&download_language=en-GB&selected_filter_options=[]&action=download",2026-09-09T17:52:22Z,WIMD 2025 physical-environment indicators,0199e04fbf25e92aa31536e84632b303b2623fbe5a55403eee16424653b0f9f9,2228453,text/csv,Welsh Government,Open Government Licence v3.0,Wales only; released LSOA values are rounded.
wimd2025-housing.csv,https://stats.gov.wales/en-GB/8c4e387a-d221-4a24-9fd4-50bdaacbe273/download,"view_type=unfiltered&format=csv&view_choice=raw&extended=yes&download_language=en-GB&selected_filter_options=[]&action=download",2026-09-09T17:52:30Z,WIMD 2025 housing indicators,e5e9b0e22a7f3b658fe11bca8a2fc29ea915d5963f7ec17ffbe92fbc484dafaf,3385750,text/csv,Welsh Government,Open Government Licence v3.0,Wales only; released LSOA values are rounded.
wimd2025-domain-ranks.csv,https://stats.gov.wales/en-GB/9706edd9-73ad-4902-bb12-7ccd7038626e/download,"view_type=unfiltered&format=csv&view_choice=raw&extended=yes&download_language=en-GB&selected_filter_options=[]&action=download",2026-09-10T14:54:04Z,WIMD 2025 index and domain ranks,e211da6c657c4d36dc0579a6de99f2b9428810d6184b6003afff7fa14aaf6443,8995356,text/csv,Welsh Government,Open Government Licence v3.0,Wales only; official relative ranks are used solely for within-country validation.
defra-no2-2024.csv,https://uk-air.defra.gov.uk/datastore/pcm/mapno22024.csv,,2026-09-09T17:53:52Z,2024 annual mean NO2 1 km grid,d169e49479d817800be625dc75abb91870ddddfb0c1d7195f1d3fe2e98930c9d,7900343,text/csv,Department for Environment Food & Rural Affairs,Open Government Licence v3.0,Modelled background concentration; coastal grid cells may be missing.
defra-pm25-2024.csv,https://uk-air.defra.gov.uk/datastore/pcm/mappm252024g.csv,,2026-09-09T17:53:52Z,2024 annual mean PM2.5 1 km grid,cb95c290ef004152cf78b637a7814b9591d32f111308dd85bd9e7810a5950ed7,7857123,text/csv,Department for Environment Food & Rural Affairs,Open Government Licence v3.0,Modelled background concentration; coastal grid cells may be missing.
defra-pm10-2024.csv,https://uk-air.defra.gov.uk/datastore/pcm/mappm102024g.csv,,2026-09-09T17:53:51Z,2024 annual mean PM10 1 km grid,a0e8f44029c870c348f6a0319ab04f7d5d50913277488c55787084b357ee2bce,7857121,text/csv,Department for Environment Food & Rural Affairs,Open Government Licence v3.0,Modelled background concentration; coastal grid cells may be missing.
os-open-greenspace-product.json,https://api.os.uk/downloads/v1/products/OpenGreenspace,,2026-09-09T19:46:12Z,OS Open Greenspace 2026-04,3ad85a031e676546b9987c48cf3d60126e888f5969cfc8d2ba47aa255c930137,1470,application/json,Ordnance Survey,Open Government Licence v3.0,Product metadata captured with the selected national bulk snapshot.
os-open-greenspace-gb.gpkg.zip,https://api.os.uk/downloads/v1/products/OpenGreenspace/downloads,area=GB&format=GeoPackage,2026-09-09T19:46:12Z,OS Open Greenspace 2026-04,f152217482fe7a0f2f950e47b83d4ccbe3d53c673ab05e4862160d1e5ac6862d,59489052,application/zip,Ordnance Survey,Open Government Licence v3.0,Product inclusion does not guarantee unrestricted public access; only Public Park Or Garden and Playing Field are used.
oa21-population-weighted-centroids.csv,https://hub.arcgis.com/api/v3/datasets/558170d37ab04f34845034db91a86914_0/downloads/data?format=csv&spatialRefId=27700,,2026-09-09T17:53:35Z,December 2021 OA population-weighted centroids v4,00e1d0532798d9f7a129d79b7b5f25fab6fc3cb0f282def3089948b05449f11a,22030298,text/csv,Office for National Statistics,Open Government Licence v3.0,Point representation in British National Grid EPSG:27700.
oa21-lsoa21-msoa21-lookup.csv,https://hub.arcgis.com/api/download/v1/items/b9ca90c10aaa4b8d9791e9859a38ca67/csv?layers=0,,2026-09-09T17:57:15Z,December 2021 OA to LSOA and MSOA exact-fit lookup v3,1b7e715936374c586efbe669d82e3f3d6d093dc5295c2d99ce6ea2349f85153a,18193283,text/csv,Office for National Statistics,Open Government Licence v3.0,Exact-fit statistical-geography lookup.
