Data values,Data values_sort,Data description,Data description_reference,Data description_sort,Data description_hierarchy,Area code,Area code_reference,Area code_sort,Area code_hierarchy,Area name,Area name_reference,Area name_sort,Area name_hierarchy,Domain,Domain_reference,Domain_sort,Domain_hierarchy,Notes
570,570,Rank,Rank,1,,W01000003,W01000003,1,,Amlwch Port,W01000003,1,W06000001,WIMD,wimd,1,,
407,407,Rank,Rank,1,,W01000003,W01000003,1,,Amlwch Port,W01000003,1,W06000001,Income,inc,2,,
589,589,Rank,Rank,1,,W01000003,W01000003,1,,Amlwch Port,W01000003,1,W06000001,Employment,emp,3,,
566,566,Rank,Rank,1,,W01000003,W01000003,1,,Amlwch Port,W01000003,1,W06000001,Health,heal,4,,
607,607,Rank,Rank,1,,W01000003,W01000003,1,,Amlwch Port,W01000003,1,W06000001,Education,educ,5,,
1301,1301,Rank,Rank,1,,W01000003,W01000003,1,,Amlwch Port,W01000003,1,W06000001,Access to services,ats,6,,
618,618,Rank,Rank,1,,W01000003,W01000003,1,,Amlwch Port,W01000003,1,W06000001,Housing,hous,7,,
582,582,Rank,Rank,1,,W01000003,W01000003,1,,Amlwch Port,W01000003,1,W06000001,Community safety,cs,8,,
820,820,Rank,Rank,1,,W01000003,W01000003,1,,Amlwch Port,W01000003,1,W06000001,Physical environment,pe,9,,
1132,1132,Rank,Rank,1,,W01000004,W01000004,2,,Amlwch Rural,W01000004,2,W06000001,WIMD,wimd,1,,
1215,1215,Rank,Rank,1,,W01000004,W01000004,2,,Amlwch Rural,W01000004,2,W06000001,Income,inc,2,,
1061,1061,Rank,Rank,1,,W01000004,W01000004,2,,Amlwch Rural,W01000004,2,W06000001,Employment,emp,3,,
1574,1574,Rank,Rank,1,,W01000004,W01000004,2,,Amlwch Rural,W01000004,2,W06000001,Health,heal,4,,
637,637,Rank,Rank,1,,W01000004,W01000004,2,,Amlwch Rural,W01000004,2,W06000001,Education,educ,5,,
263,263,Rank,Rank,1,,W01000004,W01000004,2,,Amlwch Rural,W01000004,2,W06000001,Access to services,ats,6,,
844,844,Rank,Rank,1,,W01000004,W01000004,2,,Amlwch Rural,W01000004,2,W06000001,Housing,hous,7,,
1447,1447,Rank,Rank,1,,W01000004,W01000004,2,,Amlwch Rural,W01000004,2,W06000001,Community safety,cs,8,,
1543,1543,Rank,Rank,1,,W01000004,W01000004,2,,Amlwch Rural,W01000004,2,W06000001,Physical environment,pe,9,,
676,676,Rank,Rank,1,,W01000005,W01000005,3,,Beaumaris,W01000005,3,W06000001,WIMD,wimd,1,,
719,719,Rank,Rank,1,,W01000005,W01000005,3,,Beaumaris,W01000005,3,W06000001,Income,inc,2,,
810,810,Rank,Rank,1,,W01000005,W01000005,3,,Beaumaris,W01000005,3,W06000001,Employment,emp,3,,
983,983,Rank,Rank,1,,W01000005,W01000005,3,,Beaumaris,W01000005,3,W06000001,Health,heal,4,,
428,428,Rank,Rank,1,,W01000005,W01000005,3,,Beaumaris,W01000005,3,W06000001,Education,educ,5,,
491,491,Rank,Rank,1,,W01000005,W01000005,3,,Beaumaris,W01000005,3,W06000001,Access to services,ats,6,,
792,792,Rank,Rank,1,,W01000005,W01000005,3,,Beaumaris,W01000005,3,W06000001,Housing,hous,7,,
