Data values,Data values_sort,Data description,Data description_reference,Data description_sort,Data description_hierarchy,Area code,Area code_reference,Area code_sort,Area code_hierarchy,Area name,Area name_reference,Area name_sort,Area name_hierarchy,Indicator,Indicator_reference,Indicator_sort,Indicator_hierarchy,Notes
61.7,61.7,Average,Average,,,W01000003,W01000003,1,,Amlwch Port,W01000003,1,W06000001,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
57.9,57.9,Average,Average,,,W01000004,W01000004,2,,Amlwch Rural,W01000004,2,W06000001,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
58,58,Average,Average,,,W01000005,W01000005,3,,Beaumaris,W01000005,3,W06000001,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
49.5,49.5,Average,Average,,,W01000006,W01000006,4,,Bodffordd,W01000006,4,W06000001,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
49.6,49.6,Average,Average,,,W01000007,W01000007,5,,Bodorgan,W01000007,5,W06000001,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
62.7,62.7,Average,Average,,,W01000008,W01000008,6,,Braint,W01000008,6,W06000001,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
49.7,49.7,Average,Average,,,W01000009,W01000009,7,,Bryngwran,W01000009,7,W06000001,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
51,51,Average,Average,,,W01000010,W01000010,8,,Brynteg,W01000010,8,W06000001,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
63.9,63.9,Average,Average,,,W01000011,W01000011,9,,Cadnant (Isle of Anglesey),W01000011,9,W06000001,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
65.6,65.6,Average,Average,,,W01000012,W01000012,10,,Cefni,W01000012,10,W06000001,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
57.2,57.2,Average,Average,,,W01000013,W01000013,11,,Cwm Cadnant,W01000013,11,W06000001,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
66.1,66.1,Average,Average,,,W01000014,W01000014,12,,Cyngar,W01000014,12,W06000001,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
61.9,61.9,Average,Average,,,W01000015,W01000015,13,,Gwyngyll,W01000015,13,W06000001,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
58.4,58.4,Average,Average,,,W01000016,W01000016,14,,Tref Cybi,W01000016,14,W06000001,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
63.9,63.9,Average,Average,,,W01000017,W01000017,15,,Kingsland,W01000017,15,W06000001,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
51.1,51.1,Average,Average,,,W01000018,W01000018,16,,Llanbadrig,W01000018,16,W06000001,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
48.6,48.6,Average,Average,,,W01000019,W01000019,17,,Llanbedr-goch,W01000019,17,W06000001,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
47.5,47.5,Average,Average,,,W01000021,W01000021,18,,Llaneilian,W01000021,18,W06000001,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
49.5,49.5,Average,Average,,,W01000022,W01000022,19,,Llanfaethlu,W01000022,19,W06000001,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
59.7,59.7,Average,Average,,,W01000023,W01000023,20,,Llanfair-yn-Neubwll 1,W01000023,20,W06000001,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
61.6,61.6,Average,Average,,,W01000024,W01000024,21,,Llanfair-yn-Neubwll 2,W01000024,21,W06000001,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
52.5,52.5,Average,Average,,,W01000025,W01000025,22,,Llanfihangel Ysgeifiog,W01000025,22,W06000001,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
46.9,46.9,Average,Average,,,W01000026,W01000026,23,,Llangoed,W01000026,23,W06000001,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
49.2,49.2,Average,Average,,,W01000027,W01000027,24,,Llanidan,W01000027,24,W06000001,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
51.9,51.9,Average,Average,,,W01000028,W01000028,25,,Llannerch-y-medd,W01000028,25,W06000001,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
63.4,63.4,Average,Average,,,W01000029,W01000029,26,,London Road,W01000029,26,W06000001,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
63.8,63.8,Average,Average,,,W01000030,W01000030,27,,Maeshyfryd,W01000030,27,W06000001,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
49.1,49.1,Average,Average,,,W01000031,W01000031,28,,Mechell,W01000031,28,W06000001,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
71.7,71.7,Average,Average,,,W01000033,W01000033,29,,Morawelon,W01000033,29,W06000001,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
68.4,68.4,Average,Average,,,W01000034,W01000034,30,,Parc a'r Mynydd,W01000034,30,W06000001,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
50,50,Average,Average,,,W01000035,W01000035,31,,Pentraeth,W01000035,31,W06000001,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
63,63,Average,Average,,,W01000036,W01000036,32,,Porthyfelin 1,W01000036,32,W06000001,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
60.7,60.7,Average,Average,,,W01000037,W01000037,33,,Porthyfelin 2,W01000037,33,W06000001,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
49.5,49.5,Average,Average,,,W01000038,W01000038,34,,Rhosyr,W01000038,34,W06000001,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
61,61,Average,Average,,,W01000040,W01000040,35,,Trearddur 2,W01000040,35,W06000001,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
72.3,72.3,Average,Average,,,W01000041,W01000041,36,,Tudur,W01000041,36,W06000001,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
63.8,63.8,Average,Average,,,W01000042,W01000042,37,,Tysilio,W01000042,37,W06000001,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
62.3,62.3,Average,Average,,,W01000044,W01000044,38,,Valley 2,W01000044,38,W06000001,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
50.4,50.4,Average,Average,,,W01000047,W01000047,39,,Abererch,W01000047,39,W06000002,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
53.9,53.9,Average,Average,,,W01000050,W01000050,40,,"Abergwyngregyn, Llanllechid a Llandygai",W01000050,40,W06000002,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
61.9,61.9,Average,Average,,,W01000051,W01000051,41,,Y Bala,W01000051,41,W06000002,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
59.4,59.4,Average,Average,,,W01000052,W01000052,42,,Bethel,W01000052,42,W06000002,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
46.7,46.7,Average,Average,,,W01000053,W01000053,43,,"Ceunant, Cwm-y-glo",W01000053,43,W06000002,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
56.2,56.2,Average,Average,,,W01000054,W01000054,44,,Y Bontnewydd a Llanfaglan,W01000054,44,W06000002,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
53.9,53.9,Average,Average,,,W01000056,W01000056,45,,Bowydd a'r Rhiw,W01000056,45,W06000002,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
43.2,43.2,Average,Average,,,W01000057,W01000057,46,,"Brithdir a Llanfachreth, Y Ganllwyd a Llanelltud",W01000057,46,W06000002,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
63.3,63.3,Average,Average,,,W01000059,W01000059,47,,Cadnant,W01000059,47,W06000002,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
41.8,41.8,Average,Average,,,W01000060,W01000060,48,,Corris a Mawddwy,W01000060,48,W06000002,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
59.1,59.1,Average,Average,,,W01000061,W01000061,49,,Criccieth,W01000061,49,W06000002,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
67.2,67.2,Average,Average,,,W01000062,W01000062,50,,Deiniol,W01000062,50,W06000002,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
41.9,41.9,Average,Average,,,W01000063,W01000063,51,,Deiniolen,W01000063,51,W06000002,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
66.4,66.4,Average,Average,,,W01000064,W01000064,52,,Dewi,W01000064,52,W06000002,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
57.6,57.6,Average,Average,,,W01000065,W01000065,53,,Diffwys a Maenofferen,W01000065,53,W06000002,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
45.5,45.5,Average,Average,,,W01000066,W01000066,54,,Dolbenmaen,W01000066,54,W06000002,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
54.3,54.3,Average,Average,,,W01000067,W01000067,55,,Gogledd Dolgellau,W01000067,55,W06000002,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
62.5,62.5,Average,Average,,,W01000068,W01000068,56,,De Dolgellau,W01000068,56,W06000002,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
45.7,45.7,Average,Average,,,W01000070,W01000070,57,,Efailnewydd a Buan,W01000070,57,W06000002,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
58.1,58.1,Average,Average,,,W01000071,W01000071,58,,Gerlan a Rachub,W01000071,58,W06000002,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
62.7,62.7,Average,Average,,,W01000072,W01000072,59,,Glyder,W01000072,59,W06000002,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
51,51,Average,Average,,,W01000073,W01000073,60,,Y Groeslon,W01000073,60,W06000002,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
48.1,48.1,Average,Average,,,W01000074,W01000074,61,,Harlech,W01000074,61,W06000002,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
63.3,63.3,Average,Average,,,W01000075,W01000075,62,,Hendre (Bangor),W01000075,62,W06000002,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
63.2,63.2,Average,Average,,,W01000076,W01000076,63,,Garth,W01000076,63,W06000002,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
65.2,65.2,Average,Average,,,W01000077,W01000077,64,,Hirael,W01000077,64,W06000002,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
45.7,45.7,Average,Average,,,W01000078,W01000078,65,,Yr Eifl,W01000078,65,W06000002,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
49.2,49.2,Average,Average,,,W01000080,W01000080,66,,Abersoch a Llanbedrog,W01000080,66,W06000002,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
60.2,60.2,Average,Average,,,W01000081,W01000081,67,,Llanberis,W01000081,67,W06000002,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
45.8,45.8,Average,Average,,,W01000082,W01000082,68,,Llandderfel a Llanfor,W01000082,68,W06000002,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
44.7,44.7,Average,Average,,,W01000083,W01000083,69,,Llanuwchllyn a Llanycil,W01000083,69,W06000002,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
43.8,43.8,Average,Average,,,W01000084,W01000084,70,,Llanengan a Mynytho,W01000084,70,W06000002,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
44.7,44.7,Average,Average,,,W01000085,W01000085,71,,"Arthog, Llangelynnin a Llanegryn",W01000085,71,W06000002,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
49.7,49.7,Average,Average,,,W01000086,W01000086,72,,Clynnog a Llanllyfni,W01000086,72,W06000002,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
61.4,61.4,Average,Average,,,W01000087,W01000087,73,,Llanrug,W01000087,73,W06000002,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
46.7,46.7,Average,Average,,,W01000088,W01000088,74,,"Llanwnda, Rhostryfan a Rhosgadfan",W01000088,74,W06000002,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
48.6,48.6,Average,Average,,,W01000089,W01000089,75,,Llanystumdwy,W01000089,75,W06000002,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
66.9,66.9,Average,Average,,,W01000090,W01000090,76,,De Marchog,W01000090,76,W06000002,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
68.5,68.5,Average,Average,,,W01000091,W01000091,77,,Gogledd Marchog,W01000091,77,W06000002,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
62.8,62.8,Average,Average,,,W01000092,W01000092,78,,Bangor Uchaf,W01000092,78,W06000002,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
60.9,60.9,Average,Average,,,W01000093,W01000093,79,,Menai a Doc Fictoria Caernarfon,W01000093,79,W06000002,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
47.3,47.3,Average,Average,,,W01000094,W01000094,80,,Morfa Nefyn,W01000094,80,W06000002,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
46.8,46.8,Average,Average,,,W01000095,W01000095,81,,Nefyn,W01000095,81,W06000002,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
62.7,62.7,Average,Average,,,W01000096,W01000096,82,,De Bethesda,W01000096,82,W06000002,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
62.5,62.5,Average,Average,,,W01000097,W01000097,83,,Gogledd Bethesda,W01000097,83,W06000002,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
65.7,65.7,Average,Average,,,W01000098,W01000098,84,,Peblig,W01000098,84,W06000002,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
47.7,47.7,Average,Average,,,W01000099,W01000099,85,,Penisa'r-waun a Brynrefail,W01000099,85,W06000002,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
54.5,54.5,Average,Average,,,W01000100,W01000100,86,,Llanfrothen,W01000100,86,W06000002,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
57,57,Average,Average,,,W01000101,W01000101,87,,Penrhyndeudraeth,W01000101,87,W06000002,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
71.2,71.2,Average,Average,,,W01000102,W01000102,88,,Penrhosgarnedd,W01000102,88,W06000002,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
51.3,51.3,Average,Average,,,W01000103,W01000103,89,,"Glasinfryn, Pentir, Treborth",W01000103,89,W06000002,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
61.4,61.4,Average,Average,,,W01000104,W01000104,90,,Pen-y-groes (Gwynedd),W01000104,90,W06000002,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
61.1,61.1,Average,Average,,,W01000105,W01000105,91,,Dwyrain Porthmadog,W01000105,91,W06000002,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
54.5,54.5,Average,Average,,,W01000106,W01000106,92,,Gorllewin Porthmadog,W01000106,92,W06000002,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
54.2,54.2,Average,Average,,,W01000107,W01000107,93,,"Beddgelert, Tremadog",W01000107,93,W06000002,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
60.5,60.5,Average,Average,,,W01000108,W01000108,94,,Gogledd Pwllheli,W01000108,94,W06000002,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
61.5,61.5,Average,Average,,,W01000109,W01000109,95,,De Pwllheli,W01000109,95,W06000002,Energy efficiency of residential properties (Standard Assessment Procedure score),epc,4,,
