relative_path,original_url,request_query,retrieved_at,data_period,sha256,mime_type,publisher,licence_or_terms,coverage_limitations
geography/cheltenham-places.json,https://api.postcodes.io/places?q=Cheltenham,GET /places?q=Cheltenham,2026-09-07T08:30:57Z,Current lookup,b89d9505a10501598b9a36971548f1418bdda6d8e2a40c495043b5740e8185db,application/json,Postcodes.io,Open Government Licence v3.0,Place-name matching is not a statutory boundary lookup; the selected town record supplies a practical broad-place centroid only.
market-stock/resolver/bristol.json,https://los.rightmove.co.uk/typeahead?query=Bristol,GET /typeahead?query=Bristol; User-Agent: Mozilla/5.0 (compatible; UKFlatsResearch/1.0; controlled-manual-capture),2026-09-07T08:46:07Z,Snapshot 2026-09-07,212d3a1eb811382410066414c6c2fd15efba541664debee31c3ac7a6d58242ed,application/json,Rightmove,"Rightmove website terms; controlled light-use manual capture, no listing pages opened.",Portal place geography is proprietary and may not match the broad comparison geography.
market-stock/resolver/southampton.json,https://los.rightmove.co.uk/typeahead?query=Southampton,GET /typeahead?query=Southampton; User-Agent: Mozilla/5.0 (compatible; UKFlatsResearch/1.0; controlled-manual-capture),2026-09-07T08:46:06Z,Snapshot 2026-09-07,57433b6d05b364ae8abe4b44529fdd21f2305da8cbf84f10300d9f4df532fbc7,application/json,Rightmove,"Rightmove website terms; controlled light-use manual capture, no listing pages opened.",Portal place geography is proprietary and may not match the broad comparison geography.
market-stock/resolver/bournemouth.json,https://los.rightmove.co.uk/typeahead?query=Bournemouth,GET /typeahead?query=Bournemouth; User-Agent: Mozilla/5.0 (compatible; UKFlatsResearch/1.0; controlled-manual-capture),2026-09-07T08:46:07Z,Snapshot 2026-09-07,7eb71afb0e5cfc294e13995f58e286bd48d4cd56bb41bfb1df58c4bc85c9d359,application/json,Rightmove,"Rightmove website terms; controlled light-use manual capture, no listing pages opened.",Portal place geography is proprietary and may not match the broad comparison geography.
market-stock/resolver/poole.json,https://los.rightmove.co.uk/typeahead?query=Poole,GET /typeahead?query=Poole; User-Agent: Mozilla/5.0 (compatible; UKFlatsResearch/1.0; controlled-manual-capture),2026-09-07T08:46:07Z,Snapshot 2026-09-07,4bcf9fe2eca172be1400fa2693d437d1e52f552f82b7bcefed1bc5c9ef75a078,application/json,Rightmove,"Rightmove website terms; controlled light-use manual capture, no listing pages opened.",Portal place geography is proprietary and may not match the broad comparison geography.
market-stock/resolver/brighton.json,https://los.rightmove.co.uk/typeahead?query=Brighton,GET /typeahead?query=Brighton; User-Agent: Mozilla/5.0 (compatible; UKFlatsResearch/1.0; controlled-manual-capture),2026-09-07T08:46:07Z,Snapshot 2026-09-07,90d6fc5d5e2f28fc509f938a30c2910e3d26204290bf7f748496871cfd286113,application/json,Rightmove,"Rightmove website terms; controlled light-use manual capture, no listing pages opened.",Portal place geography is proprietary and may not match the broad comparison geography.
market-stock/resolver/hove.json,https://los.rightmove.co.uk/typeahead?query=Hove,GET /typeahead?query=Hove; User-Agent: Mozilla/5.0 (compatible; UKFlatsResearch/1.0; controlled-manual-capture),2026-09-07T08:46:07Z,Snapshot 2026-09-07,68d95e8303e9d08c1e94e9294f20cc3999a9407679f07d240c1ce72764f890bb,application/json,Rightmove,"Rightmove website terms; controlled light-use manual capture, no listing pages opened.",Portal place geography is proprietary and may not match the broad comparison geography.
market-stock/resolver/exeter.json,https://los.rightmove.co.uk/typeahead?query=Exeter,GET /typeahead?query=Exeter; User-Agent: Mozilla/5.0 (compatible; UKFlatsResearch/1.0; controlled-manual-capture),2026-09-07T08:46:08Z,Snapshot 2026-09-07,b9c3676b8091cc99fbb59645ceede5c39284e708b7646827667381f97935c9ac,application/json,Rightmove,"Rightmove website terms; controlled light-use manual capture, no listing pages opened.",Portal place geography is proprietary and may not match the broad comparison geography.
market-stock/resolver/reading.json,https://los.rightmove.co.uk/typeahead?query=Reading,GET /typeahead?query=Reading; User-Agent: Mozilla/5.0 (compatible; UKFlatsResearch/1.0; controlled-manual-capture),2026-09-07T08:46:07Z,Snapshot 2026-09-07,753f6e9ea403429af292f71325224b9ecb16d688ea16a1ccab915e603a531207,application/json,Rightmove,"Rightmove website terms; controlled light-use manual capture, no listing pages opened.",Portal place geography is proprietary and may not match the broad comparison geography.
market-stock/resolver/milton-keynes.json,https://los.rightmove.co.uk/typeahead?query=Milton%20Keynes,GET /typeahead?query=Milton Keynes; User-Agent: Mozilla/5.0 (compatible; UKFlatsResearch/1.0; controlled-manual-capture),2026-09-07T08:46:07Z,Snapshot 2026-09-07,7f58b5bcf1e9455bffcf1c8c3edc513392e4b1928dcfc8f69c87a4526a8de0eb,application/json,Rightmove,"Rightmove website terms; controlled light-use manual capture, no listing pages opened.",Portal place geography is proprietary and may not match the broad comparison geography.
market-stock/resolver/luton.json,https://los.rightmove.co.uk/typeahead?query=Luton,GET /typeahead?query=Luton; User-Agent: Mozilla/5.0 (compatible; UKFlatsResearch/1.0; controlled-manual-capture),2026-09-07T08:46:07Z,Snapshot 2026-09-07,6b09f73fffaac46631c3f523018327f1f3c5666356969618bb33c5e083fea0b4,application/json,Rightmove,"Rightmove website terms; controlled light-use manual capture, no listing pages opened.",Portal place geography is proprietary and may not match the broad comparison geography.
market-stock/resolver/southend-on-sea.json,https://los.rightmove.co.uk/typeahead?query=Southend%20On%20Sea,GET /typeahead?query=Southend On Sea; User-Agent: Mozilla/5.0 (compatible; UKFlatsResearch/1.0; controlled-manual-capture),2026-09-07T08:46:07Z,Snapshot 2026-09-07,edc34d971bf0e96a1cf5d000c308f1c9365baaff874fdd35a7ffbad9f9a40802,application/json,Rightmove,"Rightmove website terms; controlled light-use manual capture, no listing pages opened.",Portal place geography is proprietary and may not match the broad comparison geography.
market-stock/resolver/cambridge.json,https://los.rightmove.co.uk/typeahead?query=Cambridge,GET /typeahead?query=Cambridge; User-Agent: Mozilla/5.0 (compatible; UKFlatsResearch/1.0; controlled-manual-capture),2026-09-07T08:46:07Z,Snapshot 2026-09-07,ed8b0c35faef06d963b4a348f8a54e7976478b46319eb313dd17412af9f31511,application/json,Rightmove,"Rightmove website terms; controlled light-use manual capture, no listing pages opened.",Portal place geography is proprietary and may not match the broad comparison geography.
market-stock/resolver/colchester.json,https://los.rightmove.co.uk/typeahead?query=Colchester,GET /typeahead?query=Colchester; User-Agent: Mozilla/5.0 (compatible; UKFlatsResearch/1.0; controlled-manual-capture),2026-09-07T08:46:08Z,Snapshot 2026-09-07,3d3b1de9ba64a6458ab0b6e977bacab7a062706f505ebb588be69bebd345ea34,application/json,Rightmove,"Rightmove website terms; controlled light-use manual capture, no listing pages opened.",Portal place geography is proprietary and may not match the broad comparison geography.
market-stock/resolver/oxford.json,https://los.rightmove.co.uk/typeahead?query=Oxford,GET /typeahead?query=Oxford; User-Agent: Mozilla/5.0 (compatible; UKFlatsResearch/1.0; controlled-manual-capture),2026-09-07T08:46:07Z,Snapshot 2026-09-07,b8c8c49c9ff38ba1480ea5933310ccda016668e69b9b7c8cbdfa3e48f3c3ead6,application/json,Rightmove,"Rightmove website terms; controlled light-use manual capture, no listing pages opened.",Portal place geography is proprietary and may not match the broad comparison geography.
market-stock/resolver/bath.json,https://los.rightmove.co.uk/typeahead?query=Bath,GET /typeahead?query=Bath; User-Agent: Mozilla/5.0 (compatible; UKFlatsResearch/1.0; controlled-manual-capture),2026-09-07T08:46:07Z,Snapshot 2026-09-07,8366bdd224d009f749e1aa6ee62ef06fdd4d4ac33923538386af805e93e48cf4,application/json,Rightmove,"Rightmove website terms; controlled light-use manual capture, no listing pages opened.",Portal place geography is proprietary and may not match the broad comparison geography.
market-stock/resolver/bridgend.json,https://los.rightmove.co.uk/typeahead?query=Bridgend,GET /typeahead?query=Bridgend; User-Agent: Mozilla/5.0 (compatible; UKFlatsResearch/1.0; controlled-manual-capture),2026-09-07T08:46:08Z,Snapshot 2026-09-07,e0e1ba6398fd946b32901b13c63c5963f6682b9154065568b5d12b585cdb0850,application/json,Rightmove,"Rightmove website terms; controlled light-use manual capture, no listing pages opened.",Portal place geography is proprietary and may not match the broad comparison geography.
market-stock/resolver/llanelli.json,https://los.rightmove.co.uk/typeahead?query=Llanelli,GET /typeahead?query=Llanelli; User-Agent: Mozilla/5.0 (compatible; UKFlatsResearch/1.0; controlled-manual-capture),2026-09-07T08:46:06Z,Snapshot 2026-09-07,5f10b418e0b2cfadf7f2c57557e365448631faafd62dd94d6aaa66a02b972214,application/json,Rightmove,"Rightmove website terms; controlled light-use manual capture, no listing pages opened.",Portal place geography is proprietary and may not match the broad comparison geography.
