location_id,location_name,origin_crs,origin_station_name,destination_id,destination_name,destination_planner_id,measurement_date,window_start_local,window_end_local,search_times_local,status,reason
barnsley,Barnsley,BNY,Barnsley,london,London (All Stations),182,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,pending,Use visible Journey Planner controls; transcribe only displayed values after capture review.
barnsley,Barnsley,BNY,Barnsley,birmingham,Birmingham New Street,BHM,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,pending,Use visible Journey Planner controls; transcribe only displayed values after capture review.
birmingham,Birmingham,,,london,London (All Stations),182,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
birmingham,Birmingham,,,birmingham,Birmingham New Street,BHM,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
blackburn,Blackburn,,,london,London (All Stations),182,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
blackburn,Blackburn,,,birmingham,Birmingham New Street,BHM,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
blackpool,Blackpool,,,london,London (All Stations),182,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
blackpool,Blackpool,,,birmingham,Birmingham New Street,BHM,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
bolton,Bolton,,,london,London (All Stations),182,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
bolton,Bolton,,,birmingham,Birmingham New Street,BHM,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
bradford,Bradford,,,london,London (All Stations),182,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
bradford,Bradford,,,birmingham,Birmingham New Street,BHM,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
burnley,Burnley,,,london,London (All Stations),182,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
burnley,Burnley,,,birmingham,Birmingham New Street,BHM,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
burton-on-trent,Burton-on-Trent,,,london,London (All Stations),182,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
burton-on-trent,Burton-on-Trent,,,birmingham,Birmingham New Street,BHM,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
cardiff,Cardiff,,,london,London (All Stations),182,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
cardiff,Cardiff,,,birmingham,Birmingham New Street,BHM,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
chester,Chester,,,london,London (All Stations),182,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
chester,Chester,,,birmingham,Birmingham New Street,BHM,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
chesterfield,Chesterfield,,,london,London (All Stations),182,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
chesterfield,Chesterfield,,,birmingham,Birmingham New Street,BHM,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
coventry,Coventry,,,london,London (All Stations),182,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
coventry,Coventry,,,birmingham,Birmingham New Street,BHM,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
darlington,Darlington,,,london,London (All Stations),182,2026-09-11,2026-09-11T10:00:00+01:00,2026-09-11T14:00:00+01:00,10:00;11:00;12:00;13:00,blocked-mapping,Reviewed origin-station mapping is required before collection.
