relative_path,original_url,request_query,retrieved_at,data_period,publisher,licence_or_terms,coverage_limitations
transport/bangor__birmingham/request-10.json,https://jpservices.nationalrail.co.uk/journey-planner,"{""destination"":{""crs"":""BHM"",""group"":false},""directTrains"":false,""fareRequestDetails"":{""fareClass"":""ANY"",""passengers"":{""adult"":1,""child"":0},""railcards"":[]},""increasedInterchange"":""ZERO"",""onlySearchForSleeper"":false,""origin"":{""crs"":""BNG"",""group"":false},""outwardTime"":{""travelTime"":""2026-09-11T10:00:00+01:00"",""type"":""DEPART""},""overtakenTrains"":false,""reducedTransferTime"":false,""useAlternativeServices"":false}",2026-09-08T22:55:29+01:00,2026-09-11,National Rail,National Rail website Terms and Conditions; public Journey Planner snapshot.,Responses are dated planner snapshots. Review must exclude unsuitable non-rail itineraries and select the shortest suitable itinerary within the stated window.
transport/bangor__birmingham/response-10.json,https://jpservices.nationalrail.co.uk/journey-planner,"{""destination"":{""crs"":""BHM"",""group"":false},""directTrains"":false,""fareRequestDetails"":{""fareClass"":""ANY"",""passengers"":{""adult"":1,""child"":0},""railcards"":[]},""increasedInterchange"":""ZERO"",""onlySearchForSleeper"":false,""origin"":{""crs"":""BNG"",""group"":false},""outwardTime"":{""travelTime"":""2026-09-11T10:00:00+01:00"",""type"":""DEPART""},""overtakenTrains"":false,""reducedTransferTime"":false,""useAlternativeServices"":false}",2026-09-08T22:55:29+01:00,2026-09-11,National Rail,National Rail website Terms and Conditions; public Journey Planner snapshot.,Responses are dated planner snapshots. Review must exclude unsuitable non-rail itineraries and select the shortest suitable itinerary within the stated window.
transport/bangor__birmingham/request-11.json,https://jpservices.nationalrail.co.uk/journey-planner,"{""destination"":{""crs"":""BHM"",""group"":false},""directTrains"":false,""fareRequestDetails"":{""fareClass"":""ANY"",""passengers"":{""adult"":1,""child"":0},""railcards"":[]},""increasedInterchange"":""ZERO"",""onlySearchForSleeper"":false,""origin"":{""crs"":""BNG"",""group"":false},""outwardTime"":{""travelTime"":""2026-09-11T11:00:00+01:00"",""type"":""DEPART""},""overtakenTrains"":false,""reducedTransferTime"":false,""useAlternativeServices"":false}",2026-09-08T22:55:30+01:00,2026-09-11,National Rail,National Rail website Terms and Conditions; public Journey Planner snapshot.,Responses are dated planner snapshots. Review must exclude unsuitable non-rail itineraries and select the shortest suitable itinerary within the stated window.
transport/bangor__birmingham/response-11.json,https://jpservices.nationalrail.co.uk/journey-planner,"{""destination"":{""crs"":""BHM"",""group"":false},""directTrains"":false,""fareRequestDetails"":{""fareClass"":""ANY"",""passengers"":{""adult"":1,""child"":0},""railcards"":[]},""increasedInterchange"":""ZERO"",""onlySearchForSleeper"":false,""origin"":{""crs"":""BNG"",""group"":false},""outwardTime"":{""travelTime"":""2026-09-11T11:00:00+01:00"",""type"":""DEPART""},""overtakenTrains"":false,""reducedTransferTime"":false,""useAlternativeServices"":false}",2026-09-08T22:55:30+01:00,2026-09-11,National Rail,National Rail website Terms and Conditions; public Journey Planner snapshot.,Responses are dated planner snapshots. Review must exclude unsuitable non-rail itineraries and select the shortest suitable itinerary within the stated window.
transport/bangor__birmingham/request-12.json,https://jpservices.nationalrail.co.uk/journey-planner,"{""destination"":{""crs"":""BHM"",""group"":false},""directTrains"":false,""fareRequestDetails"":{""fareClass"":""ANY"",""passengers"":{""adult"":1,""child"":0},""railcards"":[]},""increasedInterchange"":""ZERO"",""onlySearchForSleeper"":false,""origin"":{""crs"":""BNG"",""group"":false},""outwardTime"":{""travelTime"":""2026-09-11T12:00:00+01:00"",""type"":""DEPART""},""overtakenTrains"":false,""reducedTransferTime"":false,""useAlternativeServices"":false}",2026-09-08T22:55:31+01:00,2026-09-11,National Rail,National Rail website Terms and Conditions; public Journey Planner snapshot.,Responses are dated planner snapshots. Review must exclude unsuitable non-rail itineraries and select the shortest suitable itinerary within the stated window.
transport/bangor__birmingham/response-12.json,https://jpservices.nationalrail.co.uk/journey-planner,"{""destination"":{""crs"":""BHM"",""group"":false},""directTrains"":false,""fareRequestDetails"":{""fareClass"":""ANY"",""passengers"":{""adult"":1,""child"":0},""railcards"":[]},""increasedInterchange"":""ZERO"",""onlySearchForSleeper"":false,""origin"":{""crs"":""BNG"",""group"":false},""outwardTime"":{""travelTime"":""2026-09-11T12:00:00+01:00"",""type"":""DEPART""},""overtakenTrains"":false,""reducedTransferTime"":false,""useAlternativeServices"":false}",2026-09-08T22:55:31+01:00,2026-09-11,National Rail,National Rail website Terms and Conditions; public Journey Planner snapshot.,Responses are dated planner snapshots. Review must exclude unsuitable non-rail itineraries and select the shortest suitable itinerary within the stated window.
transport/bangor__birmingham/request-13.json,https://jpservices.nationalrail.co.uk/journey-planner,"{""destination"":{""crs"":""BHM"",""group"":false},""directTrains"":false,""fareRequestDetails"":{""fareClass"":""ANY"",""passengers"":{""adult"":1,""child"":0},""railcards"":[]},""increasedInterchange"":""ZERO"",""onlySearchForSleeper"":false,""origin"":{""crs"":""BNG"",""group"":false},""outwardTime"":{""travelTime"":""2026-09-11T13:00:00+01:00"",""type"":""DEPART""},""overtakenTrains"":false,""reducedTransferTime"":false,""useAlternativeServices"":false}",2026-09-08T22:55:32+01:00,2026-09-11,National Rail,National Rail website Terms and Conditions; public Journey Planner snapshot.,Responses are dated planner snapshots. Review must exclude unsuitable non-rail itineraries and select the shortest suitable itinerary within the stated window.
transport/bangor__birmingham/response-13.json,https://jpservices.nationalrail.co.uk/journey-planner,"{""destination"":{""crs"":""BHM"",""group"":false},""directTrains"":false,""fareRequestDetails"":{""fareClass"":""ANY"",""passengers"":{""adult"":1,""child"":0},""railcards"":[]},""increasedInterchange"":""ZERO"",""onlySearchForSleeper"":false,""origin"":{""crs"":""BNG"",""group"":false},""outwardTime"":{""travelTime"":""2026-09-11T13:00:00+01:00"",""type"":""DEPART""},""overtakenTrains"":false,""reducedTransferTime"":false,""useAlternativeServices"":false}",2026-09-08T22:55:32+01:00,2026-09-11,National Rail,National Rail website Terms and Conditions; public Journey Planner snapshot.,Responses are dated planner snapshots. Review must exclude unsuitable non-rail itineraries and select the shortest suitable itinerary within the stated window.
transport/bangor__birmingham/capture-metadata.json,https://jpservices.nationalrail.co.uk/journey-planner,Direct capture metadata for BNG to BHM.,2026-09-08T22:55:32+01:00,2026-09-11,National Rail,National Rail website Terms and Conditions; public Journey Planner snapshot.,Responses are dated planner snapshots. Review must exclude unsuitable non-rail itineraries and select the shortest suitable itinerary within the stated window.
transport/bangor__london/request-10.json,https://jpservices.nationalrail.co.uk/journey-planner,"{""destination"":{""crs"":""182"",""group"":true},""directTrains"":false,""fareRequestDetails"":{""fareClass"":""ANY"",""passengers"":{""adult"":1,""child"":0},""railcards"":[]},""increasedInterchange"":""ZERO"",""onlySearchForSleeper"":false,""origin"":{""crs"":""BNG"",""group"":false},""outwardTime"":{""travelTime"":""2026-09-11T10:00:00+01:00"",""type"":""DEPART""},""overtakenTrains"":false,""reducedTransferTime"":false,""useAlternativeServices"":false}",2026-09-08T22:55:18+01:00,2026-09-11,National Rail,National Rail website Terms and Conditions; public Journey Planner snapshot.,Responses are dated planner snapshots. Review must exclude unsuitable non-rail itineraries and select the shortest suitable itinerary within the stated window.
