relative_path,original_url,request_query,retrieved_at,data_period,sha256,mime_type,publisher,licence_or_terms,coverage_limitations
cardiff-london-results.png,https://www.nationalrail.co.uk/journey-planner/?type=single&origin=CDF&destination=182&leavingType=departing&leavingDate=110926&leavingHour=10&leavingMin=00&adults=1&extraTime=0#O,"Visible Journey Planner controls: Cardiff Central (CDF) selected from the Cardiff suggestions; London (All Stations) selected from the London suggestions; departing Friday 11 September 2026 at 10:00; one adult; no railcard.",2026-09-08T13:24:31+01:00,Journey date 2026-09-11; selection window 10:00-14:00 local,b2abd2f1688bd9591b58dabf8f2aa830c1cd8cc59de0c954702110ef7eff556a,image/png,Rail Delivery Group,Public planner browser screenshot,"Visible results captured. Shortest displayed suitable journey within the window was 11:18-13:10 (112 minutes), direct. No frequency count recorded."
cardiff-london-details.png,https://www.nationalrail.co.uk/journey-planner/?type=single&origin=CDF&destination=182&leavingType=departing&leavingDate=110926&leavingHour=10&leavingMin=00&adults=1&extraTime=0#O,"Visible Journey Details for the selected Cardiff Central 11:18 to London Paddington 13:10 itinerary.",2026-09-08T13:24:36+01:00,Journey date 2026-09-11; selection window 10:00-14:00 local,ca5cf1ce6598cfbe9fee6c2dd5afe503b0cb87221f53dde3bff08ac81bb52fcb,image/png,Rail Delivery Group,Public planner browser screenshot,"Visible details confirm one Train Service leg (Great Western Railway), therefore direct."
cardiff-birmingham-results.png,https://www.nationalrail.co.uk/journey-planner/?type=single&origin=CDF&destination=BHM&leavingType=departing&leavingDate=110926&leavingHour=10&leavingMin=00&adults=1&extraTime=0#O,"Visible Journey Planner controls: Cardiff Central (CDF) retained; Birmingham New Street (BHM) selected from its visible suggestion; departing Friday 11 September 2026 at 10:00; one adult; no railcard.",2026-09-08T13:25:28+01:00,Journey date 2026-09-11; selection window 10:00-14:00 local,2d5a9e1034bdb8e38d8d7b7ccb2871e0209b349cb6a36c78086b3569e6c8ee99,image/png,Rail Delivery Group,Public planner browser screenshot,"Visible results captured. Shortest displayed suitable journey within the window was 10:45-12:45 (120 minutes), direct. No frequency count recorded."
cardiff-birmingham-details.png,https://www.nationalrail.co.uk/journey-planner/?type=single&origin=CDF&destination=BHM&leavingType=departing&leavingDate=110926&leavingHour=10&leavingMin=00&adults=1&extraTime=0#O,"Visible Journey Details for the selected Cardiff Central 10:45 to Birmingham New Street 12:45 itinerary.",2026-09-08T13:25:32+01:00,Journey date 2026-09-11; selection window 10:00-14:00 local,e0e1fa87953f01e991429e4aa052a1b19deb6e8fc1cb1801de1c864e46390926,image/png,Rail Delivery Group,Public planner browser screenshot,"Visible details capture retained for the selected direct itinerary."
bangor-london-results.png,https://www.nationalrail.co.uk/journey-planner/?type=single&origin=BNG&destination=182&leavingType=departing&leavingDate=110926&leavingHour=10&leavingMin=00&adults=1&extraTime=0#O,"Visible Journey Planner controls: Bangor (Gwynedd) (BNG) and London (All Stations) selected from visible suggestions; departing Friday 11 September 2026 at 10:00; one adult; no railcard.",2026-09-08T13:27:56+01:00,Journey date 2026-09-11; selection window 10:00-14:00 local,2037d1c03acad15c6823c83eb50360854b7058ea3d9882ed35176bcc9b34f550,image/png,Rail Delivery Group,Public planner browser screenshot,"Visible results captured. Shortest displayed suitable journey within the window was 13:16-16:37 (201 minutes), direct. No frequency count recorded."
bangor-london-details.png,https://www.nationalrail.co.uk/journey-planner/?type=single&origin=BNG&destination=182&leavingType=departing&leavingDate=110926&leavingHour=10&leavingMin=00&adults=1&extraTime=0#O,"Visible Journey Details for the selected Bangor (Gwynedd) 13:16 to London Euston 16:37 itinerary.",2026-09-08T13:28:00+01:00,Journey date 2026-09-11; selection window 10:00-14:00 local,298bc1cd10828defb9f6b3565f4f4ef0b2f3a33da0e2aca40493acabc2166dd5,image/png,Rail Delivery Group,Public planner browser screenshot,"Visible details capture retained for the selected direct itinerary."
bangor-birmingham-results.png,https://www.nationalrail.co.uk/journey-planner/?type=single&origin=BNG&destination=BHM&leavingType=departing&leavingDate=110926&leavingHour=10&leavingMin=00&adults=1&extraTime=0#O,"Visible Journey Planner controls: Bangor (Gwynedd) (BNG) retained and Birmingham New Street (BHM) selected from visible suggestion; departing Friday 11 September 2026 at 10:00; one adult; no railcard.",2026-09-08T13:28:43+01:00,Journey date 2026-09-11; selection window 10:00-14:00 local,4f8bf0db0890594e41acd11a6a72f65faed916864ece388c20a22459f80ad885,image/png,Rail Delivery Group,Public planner browser screenshot,"Visible results captured. Shortest displayed suitable journey within the window was 13:16-15:57 (161 minutes), one change. No frequency count recorded."
bangor-birmingham-details.png,https://www.nationalrail.co.uk/journey-planner/?type=single&origin=BNG&destination=BHM&leavingType=departing&leavingDate=110926&leavingHour=10&leavingMin=00&adults=1&extraTime=0#O,"Visible Journey Details for the selected Bangor (Gwynedd) 13:16 to Birmingham New Street 15:57 itinerary.",2026-09-08T13:28:48+01:00,Journey date 2026-09-11; selection window 10:00-14:00 local,43ae8e48b3e112233d15d7a6aafe252ab96a766c8fa30852548d51d3db005b4e,image/png,Rail Delivery Group,Public planner browser screenshot,"Visible details capture retained for selected one-change itinerary."
reading-london-results.png,https://www.nationalrail.co.uk/journey-planner/?type=single&origin=RDG&destination=182&leavingType=departing&leavingDate=110926&leavingHour=10&leavingMin=00&adults=1&extraTime=0#O,"Visible Journey Planner controls: Reading (RDG) and London (All Stations) selected from visible suggestions; departing Friday 11 September 2026 at 10:00; one adult; no railcard.",2026-09-08T13:29:44+01:00,Journey date 2026-09-11; selection window 10:00-14:00 local,d8ea547341d1de01f2ff91acf40d6cc970f79129a02596ef0d4ff33e65c16d9b,image/png,Rail Delivery Group,Public planner browser screenshot,"Visible results included a 09:58 departure outside the documented window; shortest suitable departure within the window was 10:02-10:26 (24 minutes), direct. No frequency count recorded."
reading-london-details.png,https://www.nationalrail.co.uk/journey-planner/?type=single&origin=RDG&destination=182&leavingType=departing&leavingDate=110926&leavingHour=10&leavingMin=00&adults=1&extraTime=0#O,"Visible Journey Details for the selected Reading 10:02 to London Paddington 10:26 itinerary.",2026-09-08T13:29:50+01:00,Journey date 2026-09-11; selection window 10:00-14:00 local,17de052ef68381e5ce9d5ea94113b4886f18114676390a89d4aace8242033b1e,image/png,Rail Delivery Group,Public planner browser screenshot,"Visible details capture retained for selected direct itinerary."
