relative_path,original_url,request_query,retrieved_at,data_period,publisher,licence_or_terms,coverage_limitations
blackburn.html,https://www.nationalrail.co.uk/stations/blackburn/,National Rail station page for Blackburn (BBN).,2026-09-08T23:44:32+01:00,Station suggestions current at retrieval.,National Rail,National Rail website Terms and Conditions; public Journey Planner station-picker snapshot.,"National Rail station pages verify station identity and CRS. Each mapping is a representative broad-place origin, not a whole-place accessibility measurement."
blackpool.html,https://www.nationalrail.co.uk/stations/blackpool-north/,National Rail station page for Blackpool North (BPN).,2026-09-08T23:44:32+01:00,Station suggestions current at retrieval.,National Rail,National Rail website Terms and Conditions; public Journey Planner station-picker snapshot.,"National Rail station pages verify station identity and CRS. Each mapping is a representative broad-place origin, not a whole-place accessibility measurement."
bolton.html,https://www.nationalrail.co.uk/stations/bolton/,National Rail station page for Bolton (BON).,2026-09-08T23:44:32+01:00,Station suggestions current at retrieval.,National Rail,National Rail website Terms and Conditions; public Journey Planner station-picker snapshot.,"National Rail station pages verify station identity and CRS. Each mapping is a representative broad-place origin, not a whole-place accessibility measurement."
bradford.html,https://www.nationalrail.co.uk/stations/bradford-interchange/,National Rail station page for Bradford Interchange (BDI).,2026-09-08T23:44:32+01:00,Station suggestions current at retrieval.,National Rail,National Rail website Terms and Conditions; public Journey Planner station-picker snapshot.,"National Rail station pages verify station identity and CRS. Each mapping is a representative broad-place origin, not a whole-place accessibility measurement."
burnley.html,https://www.nationalrail.co.uk/stations/burnley-manchester-road/,National Rail station page for Burnley Manchester Road (BYM).,2026-09-08T23:44:32+01:00,Station suggestions current at retrieval.,National Rail,National Rail website Terms and Conditions; public Journey Planner station-picker snapshot.,"National Rail station pages verify station identity and CRS. Each mapping is a representative broad-place origin, not a whole-place accessibility measurement."
burton-on-trent.html,https://www.nationalrail.co.uk/stations/burton-on-trent/,National Rail station page for Burton-on-Trent (BUT).,2026-09-08T23:44:32+01:00,Station suggestions current at retrieval.,National Rail,National Rail website Terms and Conditions; public Journey Planner station-picker snapshot.,"National Rail station pages verify station identity and CRS. Each mapping is a representative broad-place origin, not a whole-place accessibility measurement."
chester.html,https://www.nationalrail.co.uk/stations/chester/,National Rail station page for Chester (CTR).,2026-09-08T23:44:32+01:00,Station suggestions current at retrieval.,National Rail,National Rail website Terms and Conditions; public Journey Planner station-picker snapshot.,"National Rail station pages verify station identity and CRS. Each mapping is a representative broad-place origin, not a whole-place accessibility measurement."
chesterfield.html,https://www.nationalrail.co.uk/stations/chesterfield/,National Rail station page for Chesterfield (CHD).,2026-09-08T23:44:32+01:00,Station suggestions current at retrieval.,National Rail,National Rail website Terms and Conditions; public Journey Planner station-picker snapshot.,"National Rail station pages verify station identity and CRS. Each mapping is a representative broad-place origin, not a whole-place accessibility measurement."
coventry.html,https://www.nationalrail.co.uk/stations/coventry/,National Rail station page for Coventry (COV).,2026-09-08T23:44:32+01:00,Station suggestions current at retrieval.,National Rail,National Rail website Terms and Conditions; public Journey Planner station-picker snapshot.,"National Rail station pages verify station identity and CRS. Each mapping is a representative broad-place origin, not a whole-place accessibility measurement."
darlington.html,https://www.nationalrail.co.uk/stations/darlington/,National Rail station page for Darlington (DAR).,2026-09-08T23:44:32+01:00,Station suggestions current at retrieval.,National Rail,National Rail website Terms and Conditions; public Journey Planner station-picker snapshot.,"National Rail station pages verify station identity and CRS. Each mapping is a representative broad-place origin, not a whole-place accessibility measurement."
derby.html,https://www.nationalrail.co.uk/stations/derby/,National Rail station page for Derby (DBY).,2026-09-08T23:44:32+01:00,Station suggestions current at retrieval.,National Rail,National Rail website Terms and Conditions; public Journey Planner station-picker snapshot.,"National Rail station pages verify station identity and CRS. Each mapping is a representative broad-place origin, not a whole-place accessibility measurement."
doncaster.html,https://www.nationalrail.co.uk/stations/doncaster/,National Rail station page for Doncaster (DON).,2026-09-08T23:44:33+01:00,Station suggestions current at retrieval.,National Rail,National Rail website Terms and Conditions; public Journey Planner station-picker snapshot.,"National Rail station pages verify station identity and CRS. Each mapping is a representative broad-place origin, not a whole-place accessibility measurement."
gateshead.html,https://www.nationalrail.co.uk/stations/heworth/,National Rail station page for Heworth (HEW).,2026-09-08T23:44:33+01:00,Station suggestions current at retrieval.,National Rail,National Rail website Terms and Conditions; public Journey Planner station-picker snapshot.,"National Rail station pages verify station identity and CRS. Each mapping is a representative broad-place origin, not a whole-place accessibility measurement."
gloucester.html,https://www.nationalrail.co.uk/stations/gloucester/,National Rail station page for Gloucester (GCR).,2026-09-08T23:44:33+01:00,Station suggestions current at retrieval.,National Rail,National Rail website Terms and Conditions; public Journey Planner station-picker snapshot.,"National Rail station pages verify station identity and CRS. Each mapping is a representative broad-place origin, not a whole-place accessibility measurement."
halifax.html,https://www.nationalrail.co.uk/stations/halifax/,National Rail station page for Halifax (HFX).,2026-09-08T23:44:33+01:00,Station suggestions current at retrieval.,National Rail,National Rail website Terms and Conditions; public Journey Planner station-picker snapshot.,"National Rail station pages verify station identity and CRS. Each mapping is a representative broad-place origin, not a whole-place accessibility measurement."
hartlepool.html,https://www.nationalrail.co.uk/stations/hartlepool/,National Rail station page for Hartlepool (HPL).,2026-09-08T23:44:33+01:00,Station suggestions current at retrieval.,National Rail,National Rail website Terms and Conditions; public Journey Planner station-picker snapshot.,"National Rail station pages verify station identity and CRS. Each mapping is a representative broad-place origin, not a whole-place accessibility measurement."
huddersfield.html,https://www.nationalrail.co.uk/stations/huddersfield/,National Rail station page for Huddersfield (HUD).,2026-09-08T23:44:33+01:00,Station suggestions current at retrieval.,National Rail,National Rail website Terms and Conditions; public Journey Planner station-picker snapshot.,"National Rail station pages verify station identity and CRS. Each mapping is a representative broad-place origin, not a whole-place accessibility measurement."
hull-kingston-upon-hull.html,https://www.nationalrail.co.uk/stations/hull/,National Rail station page for Hull (HUL).,2026-09-08T23:44:33+01:00,Station suggestions current at retrieval.,National Rail,National Rail website Terms and Conditions; public Journey Planner station-picker snapshot.,"National Rail station pages verify station identity and CRS. Each mapping is a representative broad-place origin, not a whole-place accessibility measurement."
