relative_path,original_url,request_query,retrieved_at,data_period,sha256,mime_type,publisher,licence_or_terms,coverage_limitations
blackburn.html,https://www.nationalrail.co.uk/stations/blackburn/,National Rail station page for Blackburn (BBN).,2026-09-08T23:44:32+01:00,Station suggestions current at retrieval.,ec7b804dc31ff3c51ecec7e0cb68794aba1114bc5c7c9c46dba3ff570e78b7d9,text/html,National Rail,National Rail website Terms and Conditions; public Journey Planner station-picker snapshot.,"National Rail station pages verify station identity and CRS. Each mapping is a representative broad-place origin, not a whole-place accessibility measurement."
blackpool.html,https://www.nationalrail.co.uk/stations/blackpool-north/,National Rail station page for Blackpool North (BPN).,2026-09-08T23:44:32+01:00,Station suggestions current at retrieval.,72f32b709a5bf226eca797c62779cd787960d8695fbb32f8948aaf2e7dd3637a,text/html,National Rail,National Rail website Terms and Conditions; public Journey Planner station-picker snapshot.,"National Rail station pages verify station identity and CRS. Each mapping is a representative broad-place origin, not a whole-place accessibility measurement."
bolton.html,https://www.nationalrail.co.uk/stations/bolton/,National Rail station page for Bolton (BON).,2026-09-08T23:44:32+01:00,Station suggestions current at retrieval.,5af1d488fbce17e0b3669f3513d35009eb7c29157c535db9262dafee9e42f4c4,text/html,National Rail,National Rail website Terms and Conditions; public Journey Planner station-picker snapshot.,"National Rail station pages verify station identity and CRS. Each mapping is a representative broad-place origin, not a whole-place accessibility measurement."
bradford.html,https://www.nationalrail.co.uk/stations/bradford-interchange/,National Rail station page for Bradford Interchange (BDI).,2026-09-08T23:44:32+01:00,Station suggestions current at retrieval.,1cd37229d7d94fe1dc8edd05643cb4ea4ee514b8c6538afe40f47bbadfcdb2b8,text/html,National Rail,National Rail website Terms and Conditions; public Journey Planner station-picker snapshot.,"National Rail station pages verify station identity and CRS. Each mapping is a representative broad-place origin, not a whole-place accessibility measurement."
burnley.html,https://www.nationalrail.co.uk/stations/burnley-manchester-road/,National Rail station page for Burnley Manchester Road (BYM).,2026-09-08T23:44:32+01:00,Station suggestions current at retrieval.,d170e3486cf9a112a679e0f433d0d3c1b657e881bd61c2c5f5d52a948f1c93cc,text/html,National Rail,National Rail website Terms and Conditions; public Journey Planner station-picker snapshot.,"National Rail station pages verify station identity and CRS. Each mapping is a representative broad-place origin, not a whole-place accessibility measurement."
burton-on-trent.html,https://www.nationalrail.co.uk/stations/burton-on-trent/,National Rail station page for Burton-on-Trent (BUT).,2026-09-08T23:44:32+01:00,Station suggestions current at retrieval.,d9a537de145c68fb0f7243cbe4f991374e4a2787bc7056119c0146d3d41c11f4,text/html,National Rail,National Rail website Terms and Conditions; public Journey Planner station-picker snapshot.,"National Rail station pages verify station identity and CRS. Each mapping is a representative broad-place origin, not a whole-place accessibility measurement."
chester.html,https://www.nationalrail.co.uk/stations/chester/,National Rail station page for Chester (CTR).,2026-09-08T23:44:32+01:00,Station suggestions current at retrieval.,28723665d4a28a1cb804c494a0b087ec8ddb51575752325ba454ef9090343fae,text/html,National Rail,National Rail website Terms and Conditions; public Journey Planner station-picker snapshot.,"National Rail station pages verify station identity and CRS. Each mapping is a representative broad-place origin, not a whole-place accessibility measurement."
chesterfield.html,https://www.nationalrail.co.uk/stations/chesterfield/,National Rail station page for Chesterfield (CHD).,2026-09-08T23:44:32+01:00,Station suggestions current at retrieval.,70e6a35a1be8ae5118da32f3d3ffff588ddcc07f9031528308ad76b6b5283970,text/html,National Rail,National Rail website Terms and Conditions; public Journey Planner station-picker snapshot.,"National Rail station pages verify station identity and CRS. Each mapping is a representative broad-place origin, not a whole-place accessibility measurement."
coventry.html,https://www.nationalrail.co.uk/stations/coventry/,National Rail station page for Coventry (COV).,2026-09-08T23:44:32+01:00,Station suggestions current at retrieval.,5df6fcf108634c6ee3728756d5c3d2270e7e0717cca828c646af29842837dde0,text/html,National Rail,National Rail website Terms and Conditions; public Journey Planner station-picker snapshot.,"National Rail station pages verify station identity and CRS. Each mapping is a representative broad-place origin, not a whole-place accessibility measurement."
darlington.html,https://www.nationalrail.co.uk/stations/darlington/,National Rail station page for Darlington (DAR).,2026-09-08T23:44:32+01:00,Station suggestions current at retrieval.,5ea390a548081addffd907711a0eb950e8b7f0e367076e6db91f8833bcbdeb3b,text/html,National Rail,National Rail website Terms and Conditions; public Journey Planner station-picker snapshot.,"National Rail station pages verify station identity and CRS. Each mapping is a representative broad-place origin, not a whole-place accessibility measurement."
